聲韻	調類	調值	
fɛy	2	14	浮
fɛy	3	35	否
fɛy	6	223	阜覆（又）缶
tɛy	1	443	兜蔸逗
tɛy	3	35	斗抖陡
tɛy	5	554	斗
tʱɛy	1	443	偷
tʱɛy	2	14	头投
tʱɛy	3	35	敨
tʱɛy	5	554	透
tʱɛy	6	223	豆逗痘窦
nɛy	1	443	抠（训）眍（训）
nɛy	2	14	楼
nɛy	4	11	娄缕搂篓屡
nɛy	5	554	褥
nɛy	6	223	漏陋
ʦɛy	1	443	邹鲰诹
ʦɛy	3	35	走
ʦɛy	5	554	揍皱绉
ʦʱɛy	1	443	搊掫（搬也）
ʦʱɛy	2	14	愁
ʦʱɛy	5	554	奏凑
ʦʱɛy	6	223	骤
sɛy	1	443	搜馊
sɛy	3	35	叟艘擞
sɛy	5	554	瘦漱嗽
kɛy	1	443	勾钩沟篝
kɛy	3	35	狗枸苟
kɛy	5	554	购构够垢
kʱɛy	1	443	抠眍
kʱɛy	2	14	□（言搔痒也）
kʱɛy	3	35	口
kʱɛy	5	554	扣叩蔻寇
ŋɛy	1	443	讴欧殴鸥
ŋɛy	3	35	呕
ŋɛy	4	11	偶藕鸟（文）
ŋɛy	5	554	怄沤
xɛy	1	443	齁
xɛy	2	14	猴喉䞀侯瘊
xɛy	3	35	吼
xɛy	4	11	厚
xɛy	6	223	后後候
xiɛ	3	35	晓（又，不～得）
pan	1	443	班斑颁掰扳
pan	3	35	板版
pan	5	554	扮跘
pʱan	1	443	攀
pʱan	3	35	爿
pʱan	4	11	□（扔也）
pʱan	5	554	盼襻绊袢
pʱan	6	223	办瓣
man	2	14	蛮
man	4	11	晚（～崽：言排行最小也）
man	5	554	迈漫（文）□（看也）
man	6	223	曼蔓幔慢墁
fan	1	443	番蕃藩翻
fan	2	14	凡帆矾还（文）环寰烦樊繁
fan	3	35	反返□（骂人也）
fan	4	11	犯（白：制～，一种迷信活动也）
fan	5	554	贩泛
fan	6	223	饭犯（文）氾范範患宦幻
tan	1	443	担丹单耽眈觇
tan	3	35	胆掸
tan	5	554	旦担石
tʱan	1	443	滩摊瘫坍
tʱan	2	14	弹痰谈檀坛昙
tʱan	3	35	坦袒毯啖诞
tʱan	4	11	但淡氮
tʱan	5	554	叹歎炭碳
tʱan	6	223	但又蛋弹惮掸
nan	2	14	蓝篮兰拦栏难
nan	4	11	榄缆揽懒谰
nan	5	554	览滥难文
nan	6	223	烂难白
ʦan	1	443	挣
ʦan	3	35	攒斩崭盏
ʦan	5	554	赞灒瓒站绽䋎蘸
ʦʱan	1	443	餐搀掺羼
ʦʱan	2	14	残惭涎（白）馋谗□（蜇也）
ʦʱan	3	35	产铲
ʦʱan	4	11	湛栈□（挡住）
ʦʱan	5	554	粲璨灿忏孱潺绽（破～）
ʦʱan	6	223	暂站赚栈
san	1	443	三山讪衫删珊闩栓拴
san	3	35	散伞
san	5	554	散涮疝
ʧan	1	443	占沾粘毡詹瞻
ʧan	3	35	展辗
ʧan	5	554	占佔战颤
ʧʱan	2	14	缠禅（又）蝉（文，又）
ʧʱan	3	35	阐
ʃan	1	443	扇膻羶
ʃan	2	14	禅蝉（文婵）
ʃan	3	35	闪陕
ʃan	5	554	扇煽□（语气词）
ʃan	6	223	善蟮缮膳赡擅单
kan	1	443	间奸尴监
kan	3	35	简柬拣擀减碱
kan	5	554	间谏舰监鉴鑑
kʱan	1	443	艰戡
kʱan	3	35	槛槏（～眼：窗户）
kʱan	5	554	嵌看旁
ŋan	1	443	淹（白）庵鹌
ŋan	2	14	颜严顽□（～媳妇）
ŋan	3	35	掩（白）□（～事：旧事）
ŋan	4	11	眼俺
ŋan	5	554	晏谚（白）
ŋan	6	223	雁
xan	1	443	艰（又）
xan	2	14	咸衔闲邯还白
xan	3	35	喊瞰
xan	4	11	□（～□□□，言正好也）
xan	5	554	□（□□～□，言正好也）
xan	6	223	陷限苋
kuan	1	443	关鳏
kuan	5	554	惯
kʱuan	4	11	掼
uan	1	443	弯湾豌
uan	2	14	顽（文）玩（文）还（白）纨
uan	3	35	挽輓
uan	4	11	晚
uan	5	554	湾（又）
uan	6	223	万
ʧʯan	1	443	涓捐娟鹃专砖占（又：～卦）沾（又）粘（又）毡（又）詹（又）瞻（又）
ʧʯan	3	35	卷转展（又）辗（又）
ʧʯan	5	554	卷桊眷绢转颤（又）
ʧʱʯan	1	443	圈川穿钏
ʧʱʯan	2	14	拳权颧传缠（又）
ʧʱʯan	3	35	犬吠喘舛阐（又）
ʧʱʯan	5	554	劝券串
ʧʱʯan	4	11	□（用手巾扫掉灰尘也）
ʧʱʯan	6	223	倦传篆
ɳʯan	2	14	原（文）源（文）塬铅（旧）元阮
ɳʯan	4	11	软
ɳʯan	6	223	砚（白）愿
ʃʯan	1	443	轩喧掀揎
ʃʯan	2	14	玄（文）眩悬椽船蝉（白）
ʃʯan	5	554	炫眩（又）绚□（丢也）
ʃʯan	6	223	县
ʯan	1	443	冤渊箢鸳
ʯan	2	14	员圆园袁辕猿援媛缘垣然燃文完白丸
ʯan	4	11	远
ʯan	5	554	怨
ʯan	6	223	院苑
pɔn	1	443	般搬
pɔn	5	554	半
pʱɔn	1	443	潘
pʱɔn	2	14	盘磐槃
pʱɔn	4	11	伴拌
pʱɔn	5	554	拚判叛畔泮
mɔn	2	14	馒瞒
mɔn	4	11	满
mɔn	6	223	漫（白，溢出也）
fɔn	1	443	欢
fɔn	2	14	桓完文
fɔn	3	35	皖
fɔn	4	11	缓
fɔn	5	554	焕浣
fɔn	6	223	唤换
tɔn	1	443	端篅
tɔn	3	35	短□（拦截也）
tɔn	5	554	椴□（骂也）
tʱɔn	1	443	贪
tʱɔn	2	14	谭潭罈团
tʱɔn	3	35	毯（旧）湍
tʱɔn	4	11	断缎凼
tʱɔn	5	554	探
tʱɔn	6	223	段锻塅
nɔn	1	443	喃
nɔn	2	14	男南楠喃栾鸾婪
nɔn	4	11	暖
nɔn	6	223	乱
ʦɔn	1	443	簪钻
ʦɔn	3	35	纂
ʦɔn	5	554	钻
ʦʱɔn	1	443	参窜氽
ʦʱɔn	2	14	蚕䂎
ʦʱɔn	3	35	惨
ʦʱɔn	4	11	撰噆蹿
ʦʱɔn	5	554	窜篡
ʦʱɔn	6	223	錾
sɔn	1	443	酸痠
sɔn	5	554	蒜算
kɔn	1	443	甘泔柑干文乾杆肝竿
kɔn	3	35	敢橄感
kɔn	5	554	幹干赣
kʱɔn	1	443	刊勘堪龛瞰看（～护）
kʱɔn	2	14	□（弯也：～腰）
kʱɔn	3	35	坎砍侃
kʱɔn	4	11	弇（训，拿被子盖着也）
kʱɔn	5	554	磡看（文：～望）
ŋɔn	1	443	安鞍谙
ŋɔn	3	35	揞（低头也）
ŋɔn	5	554	暗按案
ŋɔn	6	223	岸玩白
xɔn	1	443	鼾憨酣
xɔn	2	14	寒函含韩涵
xɔn	4	11	旱悍撼罕
xɔn	5	554	汉熯
xɔn	6	223	汗焊銲憾翰
kuɔn	1	443	干白官棺观冠讫训
kuɔn	3	35	管馆赶稈果又
kuɔn	5	554	贯灌罐瓘观冠
kʱuɔn	1	443	宽
kʱuɔn	3	35	款
uɔn	2	14	圞（训：～心）完文
uɔn	3	35	碗腕
uɔn	4	11	宛婉惋
pen	1	443	崩
pʱen	1	443	抨（～击）烹
pʱen	2	14	彭（文）膨（文）澎（文）
pʱen	4	11	凭（训：靠住也）
pʱen	6	223	凭（训：靠住也）
men	2	14	萌盟
men	5	554	□（牵、拉也）
fen	1	443	轰訇
fen	2	14	横（文）
ten	1	443	灯登镫蹬（文）
ten	3	35	等磴戥
ten	5	554	凳瞪
tʱen	1	443	吞
tʱen	2	14	腾滕藤誊疼
tʱen	3	35	隥
tʱen	5	554	僜（～头：邻居也，见《词源》））
tʱen	6	223	邓□（说话时断时停也）
nen	1	443	捻
nen	2	14	能楞
nen	4	11	冷（文）棱（文）捻（～紧：握紧也）
ʦen	1	443	榛臻曾增僧罾争文筝挣睁文
ʦen	3	35	□（损、朽也）
ʦen	5	554	憎甑
ʦʱen	1	443	参撑文
ʦʱen	2	14	岑涔梣层曾
ʦʱen	4	11	揿（用手压也，或作“捘”）
ʦʱen	5	554	衬蹭
ʦʱen	6	223	赠
sen	1	443	森参僧生文牲笙甥
sen	3	35	省（文）眚
ken	1	443	根跟更文庚羹文耕文
ken	3	35	哽（文）粳耿梗（文）整（训）
ken	5	554	更埂亘
kʱen	1	443	坑
kʱen	3	35	很（又）垦恳肯啃
ŋen	1	443	恩
ŋen	3	35	摁（硌也）
ŋen	6	223	硬（文）
xen	1	443	亨哼
xen	2	14	衡恒痕
xen	3	35	佷很狠
xen	4	11	□（言有把柄抓在人手里也）
xen	6	223	恨
piɛn	1	443	边鞭鲏鳑（～屎：鱼名也，即鳑鲏）
piɛn	3	35	扁编蝙匾贬
piɛn	5	554	变遍
pʱiɛn	1	443	偏篇编（又）翩
pʱiɛn	2	14	便骈
pʱiɛn	3	35	匾（又）
pʱiɛn	5	554	片骗汴避
pʱiɛn	6	223	辩辨辫便
miɛn	2	14	棉绵□（～秤）眠
miɛn	4	11	免勉缅娩冕
miɛn	5	554	□（牵、拉也）
miɛn	6	223	面麫麺
tiɛn	1	443	颠癫巅踮掂
tiɛn	3	35	点典碘
tiɛn	5	554	店惦甸
tʱiɛn	1	443	添天
tʱiɛn	2	14	田甜恬填
tʱiɛn	3	35	舔腆
tʱiɛn	4	11	簟
tʱiɛn	5	554	拼（训，～命）
tʱiɛn	6	223	奠电殿佃垫淀靛
niɛn	2	14	帘联怜连鲢莲涟簾濂廉镰奁
niɛn	4	11	脸敛
niɛn	5	554	炼练敛（又）
niɛn	6	223	殓链恋
ʦiɛn	1	443	尖煎歼笺
ʦiɛn	3	35	剪
ʦiɛn	5	554	箭煎饯荐僭牮
ʦʱiɛn	1	443	千迁芊签
ʦʱiɛn	2	14	钱潜前泉全痊挦
ʦʱiɛn	3	35	浅
ʦʱiɛn	5	554	倩堑
ʦʱiɛn	6	223	渐践贱溅旋
siɛn	1	443	仙鲜先宣
siɛn	2	14	潜（又）涎（文）旋璇漩
siɛn	3	35	选癣
siɛn	5	554	线羡腺鏾
kiɛn	1	443	肩掮兼坚𣚙
kiɛn	3	35	茧俭捡检笕
kiɛn	5	554	建剑见
kʱiɛn	1	443	谦牵缱（～布）
kʱiɛn	2	14	钳箝乾虔黔
kʱiɛn	3	35	遣谴歉
kʱiɛn	5	554	歉又牵欠芡纤
kʱiɛn	6	223	件俭健键腱
ŋiɛn	1	443	拈研蔫
ŋiɛn	2	14	年阎言原（白）源（白）燃（白）
ŋiɛn	4	11	俨辇撵碾染撚冉□（犹言“哪”也）
ŋiɛn	5	554	谚（文）□（踮起脚后跟也）
ŋiɛn	6	223	念验砚（文）酽
xiɛn	1	443	掀（又）
xiɛn	2	14	贤嫌玄（白）弦舷
xiɛn	3	35	险显
xiɛn	5	554	宪献馅
xiɛn	6	223	现
iɛn	1	443	烟胭阉淹文醃焉燕
iɛn	2	14	盐炎延筵檐沿芫
iɛn	3	35	厣
iɛn	4	11	演掩（文）魇衍
iɛn	5	554	宴厌咽燕堰
iɛn	6	223	艳焰
pən	1	443	畚奔锛
pən	3	35	本
pən	5	554	奔贲
pʱən	1	443	喷烹（又）
pʱən	2	14	盆湓豮（～猪）
pʱən	4	11	笨坌（训，混也）
mən	1	443	蠓（训：～虫，蚊子也）
mən	2	14	门们
mən	3	35	□（言木材腐烂变质也）
mən	5	554	焖懑蚊（训）
mən	6	223	闷
fən	1	443	分纷芬氛浑荤昏婚
fən	2	14	坟浑（又）魂馄焚
fən	3	35	粉
fən	4	11	混
fən	5	554	奋粪忿愤喷
fən	6	223	分份诨
tən	1	443	蹲（余虎～，“余蛮子”原名也）蹬（白）敦（文）墩（三～：平江地名也）礅
tən	3	35	□（小木头块也）
tən	5	554	炖饨吨顿盾敦（白）
tʱən	2	14	豚臀屯囤
tʱən	3	35	□（打～：言话事停住也）
tʱən	5	554	退（训，退后也）
tʱən	6	223	遁钝
nən	1	443	□（～子：小鱼也）
nən	2	14	仑沦轮论伦崙
nən	3	35	沦（训：掉也）
nən	5	554	落（训：掉也）
nən	6	223	嫩论
ʦən	1	443	尊樽遵
ʦən	3	35	怎
ʦən	5	554	俊浚竣峻
ʦʱən	1	443	村皴
ʦʱən	2	14	存
ʦʱən	3	35	忖
ʦʱən	5	554	寸
sən	1	443	孙狲
sən	2	14	旬询荀徇殉巡循
sən	3	35	损
sən	5	554	逊绚渗瘆
ʧən	1	443	真珍针贞侦勘斟蒸正文征
ʧən	3	35	诊枕赈砧拯整文
ʧən	5	554	震振赈镇疹正文症证政
ʧʱən	1	443	抻蛏称秤
ʧʱən	2	14	陈沉忱尘臣橙澄呈程文成文诚城文盛丞承文
ʧʱən	3	35	惩逞骋
ʧʱən	5	554	趁称秤
ʧʱən	6	223	阵朕郑（文）
ʃən	1	443	身申伸绅深娠升声（文）
ʃən	2	14	神辰唇晨成（文，又）乘绳塍承（白）
ʃən	3	35	沈审婶
ʃən	4	11	甚（～物）
ʃən	5	554	胜圣
ʃən	6	223	甚葚慎肾盛剩
pin	1	443	宾缤滨槟彬斌濒豳兵冰
pin	3	35	禀饼（文）丙柄炳秉
pin	5	554	殡鬓并倂
pʱin	1	443	拼姘娉
pʱin	2	14	贫嫔频濒（文）凭平（文）苹评坪（文）萍瓶屏
pʱin	3	35	牝品乒
pʱin	5	554	聘
pʱin	6	223	並白病文
min	1	443	抿
min	2	14	民泯缗闽鸣明（文）名（文）铭冥螟瞑缗
min	4	11	敏悯皿
min	5	554	茗
min	6	223	命（文）
tin	1	443	丁（文）钉（文）疔（文）叮
tin	3	35	顶鼎
tin	5	554	钉（文）订（文）
tʱin	1	443	汀厅
tʱin	2	14	亭停渟婷廷庭霆蜓宁（又）
tʱin	3	35	挺艇
tʱin	5	554	听文
tʱin	6	223	定（文）锭
nin	1	443	□（轻轻地也）
nin	2	14	临林淋琳邻鳞燐粼磷麟陵菱凌灵玲铃伶拎零文翎文宁
nin	4	11	凛檩廪领（文）岭（文）
nin	5	554	令（文，周～钊，平江画家也）
nin	6	223	令白凌另
ʦin	1	443	津精（文）睛（文）旌晶
ʦin	3	35	侭（犹言“蛮”也）井（文）阱
ʦin	5	554	进晋浸
ʦʱin	1	443	亲侵厅白青（文）清（文）蜻
ʦʱin	2	14	秦寻（白）情晴（文）
ʦʱin	3	35	寝请（文）
ʦʱin	4	11	吮（白）
ʦʱin	5	554	沁亲
ʦʱin	6	223	尽烬靖静（文）净（文）
sin	1	443	心新薪辛鋅星（文）
sin	2	14	寻（文）荨秦（又）
sin	3	35	笋榫醒（文）
sin	5	554	信擤迅讯殉腥（文）性（文）姓
kin	1	443	金禁襟今巾斤筋径泾经文京文鲸惊文荆兢
kin	3	35	紧谨瑾锦景颈（文）警（文）
kin	5	554	禁劲径茎竞竟境镜（文）敬
kʱin	1	443	钦卿氢轻（文）倾（文）
kʱin	2	14	琴禽擒芹勤擎（文）琼
kʱin	3	35	顷
kʱin	4	11	近仅妗
kʱin	5	554	庆（文）罄（文）磬（文）
ŋin	2	14	银龈凝吟宁（又）您人（白）
ŋin	4	11	拧
ŋin	5	554	吝佞𨈓（犹言“点儿”也）人（包括式也，我～）意（生～）
ŋin	6	223	认
xin	1	443	欣鑫馨兴
xin	2	14	形刑邢型行
xin	4	11	嚚（蠢也）
xin	5	554	衅兴
xin	6	223	幸杏
in	1	443	因姻殷音喑阴荫英鹰莺婴樱缨鹦
in	2	14	淫赢（文）仍扔寅迎蝇盈营萤（文）莹荧萦
in	3	35	隐
in	4	11	引瘾饮影（文）颖
in	5	554	印饮荫映应
kuən	3	35	滚衮鲧
kuən	5	554	棍
kʱuən	1	443	昆鲲焜琨坤堃
kʱuən	3	35	捆
kʱuən	5	554	困睏
uən	1	443	温瘟
uən	2	14	文纹蚊（文）雯玟炆闻
uən	3	35	稳吻刎
uən	4	11	紊
uən	5	554	汶蕴
uən	6	223	问
ʧʯən	1	443	军皲君均钧谆
ʧʯən	3	35	准
ʧʯən	5	554	圳
ʧʱʯən	1	443	春椿
ʧʱʯən	2	14	群裙莼鹑
ʧʱʯən	3	35	窘蠢
ʧʱʯən	4	11	菌覃郡肫
ʃʯən	1	443	熏薰勋
ʃʯən	2	14	纯淳醇
ʃʯən	3	35	炯迥瞬盾（旧）
ʃʯən	5	554	训驯楦舜
ʃʯən	6	223	顺
ɳʯən	6	223	闰润
ʯən	1	443	晕
ʯən	2	14	云芸耘匀筠郧荣萤（文）人（文）仁仍（又：～至）
ʯən	3	35	恽
ʯən	4	11	允尹永忍
ʯən	5	554	韵酝熨（文）韫愠氲蕴泳咏刃韧仞纫
ʯən	6	223	运孕认（文）壬任妊
pɑŋ	1	443	绷（白，～紧）浜梆（～硬）
pʱɑŋ	1	443	嘭乓（训）□（犹言一群、一伙也）
pʱɑŋ	2	14	彭（白）澎（白）膨（白）棚（白：瓜～）庞白
pʱɑŋ	4	11	甏（大缸也）呯（～门）
pʱɑŋ	5	554	嘭（～式一下）
mɑŋ	5	554	幪（白）
fɑŋ	2	14	横（～批）
fɑŋ	5	554	□（～清）
tɑŋ	1	443	噹（白）铛
tʱɑŋ	1	443	嘡（白）
nɑŋ	1	443	□（言细、不结实也）
nɑŋ	2	14	棱（白，印迹也）阆（～场，犹言“地方”也）
nɑŋ	4	11	冷（白）
nɑŋ	5	554	□（撑也）
ʦɑŋ	1	443	争（白）睁（白）
ʦɑŋ	5	554	挣（白）
ʦʱɑŋ	1	443	撑（白）
ʦʱɑŋ	2	14	□（言不用的物件自己抢占，不给别人用也）
ʦʱɑŋ	5	554	牚
sɑŋ	1	443	生（白）
sɑŋ	3	35	省
ʧɑŋ	1	443	正（白）
ʧɑŋ	3	35	整（白）
ʧɑŋ	5	554	正（白）
ʧʱɑŋ	2	14	城（白）程（白：～家园）
ʧʱɑŋ	6	223	郑（白）
ʃɑŋ	1	443	声（白）
ʃɑŋ	2	14	成（白）
kɑŋ	1	443	更（白）羹（白）耕（白）
kɑŋ	3	35	哽（白）
kɑŋ	4	11	鲠
kɑŋ	5	554	筻（渔具也）
kʱɑŋ	1	443	坑（白）
kʱɑŋ	2	14	扛（白）
kʱɑŋ	3	35	謦（咳嗽也）
kʱɑŋ	4	11	□（跨大步也）
kʱɑŋ	5	554	吭（狗～：狗叫也）□（活～～）
ŋɑŋ	5	554	□（言执拗也）
ŋɑŋ	6	223	硬（白）
piɑŋ	3	35	饼（白）
pʱiɑŋ	2	14	坪平（白）
pʱiɑŋ	3	35	□（犹言一“片”也）
pʱiɑŋ	6	223	病（白）
miɑŋ	2	14	明（白）名（白）
miɑŋ	6	223	命（白）
tiɑŋ	1	443	丁（白）钉（白）盯（白）疔（白）蜩（白，蝉～：蝉也）
tiɑŋ	3	35	鼎（白，锅也）
tiɑŋ	5	554	钉（白）
tʱiɑŋ	2	14	铤（纺纱车部件也）
tʱiɑŋ	3	35	挺（白）
tʱiɑŋ	5	554	听（白）
tʱiɑŋ	6	223	定（白）
niɑŋ	2	14	零（白）翎（白，～胛：翅膀也）
niɑŋ	4	11	领（白：衣～）岭（白）
niɑŋ	5	554	□（□～□～，言正好也）
ʦiɑŋ	1	443	精（白）睛（白）
ʦiɑŋ	3	35	井（白）
ʦʱiɑŋ	1	443	清（白）青（白）
ʦʱiɑŋ	2	14	晴（白）
ʦʱiɑŋ	3	35	请（白）
ʦʱiɑŋ	4	11	静（白：寂寂～～）
ʦʱiɑŋ	6	223	净（白）
siɑŋ	1	443	星（白）
siɑŋ	3	35	醒（白）
siɑŋ	5	554	腥（白）性（～命）
kiɑŋ	1	443	京（白）惊（白）经（白）
kiɑŋ	3	35	颈（白）警（白，～醒）
kiɑŋ	5	554	镜（白）
kʱiɑŋ	1	443	轻（白）倾（白）
kʱiɑŋ	2	14	擎（白）
kʱiɑŋ	5	554	磬（白）罄（白）庆（白，长～：虹桥一乡也）
ŋiɑŋ	6	223	硬（白）
xiɑŋ	1	443	兄（白）
xiɑŋ	5	554	□（高～～：言高也）
iɑŋ	1	443	□（散步也，～街）萦（白）
iɑŋ	2	14	赢（白）萤（白）盈（训：留也）伶（训：～个，犹言“别人”也）
iɑŋ	3	35	影（白：～戏，皮影戏也）□（言摆手也：手一～）
iɑŋ	4	11	影（白）
iɑŋ	5	554	映暎
iɑŋ	6	223	□（言拿着火把转圆圈也）
kuɑŋ	1	443	□（～青更白，～古台，平江地名也）
kuɑŋ	3	35	梗（白）
kʱuɑŋ	5	554	哐（雷公～～，雨落长庆）
uɑŋ	1	443	横（白，～古襻筋）
uɑŋ	2	14	横（白）
uɑŋ	4	11	旺（训，天晴～旺）
uɑŋ	5	554	旺（训，天晴旺～）
uɑŋ	6	223	横（白，～子）
poŋ	1	443	邦帮梆
poŋ	3	35	绑榜
poŋ	5	554	棒谤磅泵
pʱoŋ	1	443	□（鱼名也）
pʱoŋ	2	14	旁滂螃彷庞（文）
pʱoŋ	4	11	傍蚌□（言碰撞也）
pʱoŋ	5	554	胖膀
pʱoŋ	6	223	塝傍（靠也）
moŋ	2	14	忙芒茫盲虻氓
moŋ	4	11	莽蟒
moŋ	6	223	帽
foŋ	1	443	方芳坊荒慌
foŋ	2	14	防妨肪房坊（又）黄（文）簧鐄皇蝗煌凰
foŋ	3	35	访仿纺恍谎晃
foŋ	5	554	放□（包括式也，我～）□（言下崽也）
toŋ	1	443	当
toŋ	3	35	挡档党
toŋ	5	554	当档
tʱoŋ	1	443	汤
tʱoŋ	2	14	糖唐塘溏搪堂螳膛棠
tʱoŋ	3	35	躺倘淌挡
tʱoŋ	4	11	荡
tʱoŋ	5	554	烫盪耥（～耙街）
tʱoŋ	6	223	趟垱（～头，地方也）
noŋ	1	443	□（慢慢走也）
noŋ	2	14	郎廊狼琅螂瓤囊曩
noŋ	4	11	朗
noŋ	6	223	浪踉晾
ʦoŋ	1	443	臧髒妆装（文）庄桩赃
ʦoŋ	5	554	葬壮
ʦʱoŋ	1	443	仓沧舱苍疮窗
ʦʱoŋ	2	14	藏床
ʦʱoŋ	4	11	撞
ʦʱoŋ	5	554	创呛
ʦʱoŋ	6	223	脏臓藏状
soŋ	1	443	丧桑双霜孀
soŋ	3	35	嗓搡颡磉縔（量词，长度单位也：一～布）爽
soŋ	5	554	丧
ʧoŋ	1	443	张章樟璋彰薑礓僵疆缰装（白）姜江（文）
ʧoŋ	3	35	长涨掌
ʧoŋ	5	554	胀帐账涨瘴障幛犟
ʧʱoŋ	1	443	昌倡娼猖菖羌腔筐框（白）
ʧʱoŋ	2	14	长场肠强
ʧʱoŋ	3	35	厂敞闯彊
ʧʱoŋ	4	11	丈仗杖
ʧʱoŋ	6	223	彊丈（～田）
ʧʱoŋ	5	554	唱畅
ʃoŋ	1	443	商伤殇觞乡香
ʃoŋ	2	14	尝裳常嫦
ʃoŋ	3	35	偿赏享尚（～往）响晌饷飨
ʃoŋ	4	11	上绱
ʃoŋ	5	554	向萫
ʃoŋ	6	223	上尚
koŋ	1	443	冈岗刚纲钢豇肛缸江（白）光
koŋ	3	35	港讲（白）广
koŋ	5	554	钢（～锄头）杠降虹
kʱoŋ	1	443	康糠穅亢匡筐眶
kʱoŋ	2	14	扛（文）狂逛
kʱoŋ	3	35	慷糠
kʱoŋ	4	11	闶
kʱoŋ	5	554	抗炕（～鱼啧）旷况矿
kʱoŋ	6	223	扛（训，搁也）牂（羊～，小母羊也）
ŋoŋ	1	443	肮
ŋoŋ	2	14	昂
xoŋ	1	443	夯
xoŋ	2	14	航杭行绗降
xoŋ	3	35	□（米变质了也）
xoŋ	5	554	□（包括式也，西乡声：我～）
xoŋ	6	223	项巷
nioŋ	2	14	良量粮凉梁粱
nioŋ	4	11	两辆
nioŋ	5	554	谅（文）量（文）
nioŋ	6	223	亮谅（白）量（白）
ʦioŋ	1	443	将浆
ʦioŋ	3	35	蒋奖桨
ʦioŋ	5	554	酱将
ʦʱioŋ	1	443	枪戕
ʦʱioŋ	2	14	墙详祥翔
ʦʱioŋ	3	35	抢
ʦʱioŋ	4	11	像象（对～）
ʦʱioŋ	5	554	戗呛
ʦʱioŋ	6	223	匠橡
sioŋ	1	443	相箱厢湘襄镶
sioŋ	3	35	想
sioŋ	5	554	相
kioŋ	3	35	讲（文）
ŋioŋ	1	443	攘
ŋioŋ	2	14	娘
ŋioŋ	4	11	仰
ŋioŋ	5	554	攘
ŋioŋ	6	223	酿让壤嚷
xioŋ	1	443	香（又）
ioŋ	1	443	央秧殃鸯
ioŋ	2	14	洋羊杨扬阳瓤
ioŋ	4	11	养痒氧疡两（懒）辆（懒）
ioŋ	5	554	漾恙
ioŋ	6	223	样
uoŋ	1	443	汪
uoŋ	2	14	王亡忘黄（白）
uoŋ	4	11	枉网往
uoŋ	5	554	旺（文）妄
uoŋ	6	223	望旺（白）
pəŋ	1	443	绷（文）嘣
pəŋ	3	35	凸（训）
pəŋ	5	554	蹦（文）迸泵
pʱəŋ	1	443	喷（～臭）
pʱəŋ	2	14	朋鹏棚（文）蹦（白）蓬蓬
pʱəŋ	3	35	捧
pʱəŋ	4	11	蓬砰
pʱəŋ	5	554	碰䭰（～香）
məŋ	1	443	幪（文）
məŋ	2	14	蒙檬矇
məŋ	4	11	猛锰懵
məŋ	6	223	梦孟
fəŋ	1	443	丰鄷风疯枫封峰锋蜂烽烘
fəŋ	2	14	冯逢缝红虹（文：～桥）鸿弘泓洪宏
fəŋ	3	35	讽哄
fəŋ	4	11	烘𠥰
fəŋ	5	554	俸
fəŋ	6	223	凤缝奉蕻
təŋ	1	443	东冬
təŋ	3	35	董懂侗（大～）抍
təŋ	4	11	侗（训：～大）
təŋ	5	554	栋冻
tʱəŋ	1	443	通
tʱəŋ	2	14	同茼筒桐铜峒酮童瞳彤
tʱəŋ	3	35	桶捅统
tʱəŋ	4	11	动
tʱəŋ	5	554	痛
tʱəŋ	6	223	洞
nəŋ	1	443	聋
nəŋ	2	14	龙（文）笼垅珑隆窿农脓侬浓齈
nəŋ	4	11	垄（文）陇拢
nəŋ	5	554	弄（文）垅栊
nəŋ	6	223	弄（白）
ʦəŋ	1	443	宗棕踪淙综鬃
ʦəŋ	3	35	总
ʦəŋ	5	554	棕粽踪纵
ʦʱəŋ	1	443	从囱骢聪匆葱
ʦʱəŋ	2	14	從丛枞（文）崇
ʦʱəŋ	3	35	𢱤（推也）
səŋ	1	443	松（～散）淞
səŋ	3	35	怂
səŋ	4	11	耸
səŋ	5	554	送宋
ʧəŋ	1	443	中忠种钟盅衷终螽供（白：喫轮～）
ʧəŋ	3	35	肿种冢
ʧəŋ	5	554	中种众
ʧʱəŋ	1	443	蛏充冲舂
ʧʱəŋ	2	14	虫重穹穷
ʧʱəŋ	3	35	宠
ʧʱəŋ	4	11	重
ʧʱəŋ	5	554	冲铳
ʧʱəŋ	6	223	仲
ʃəŋ	1	443	凶汹匈胸兄（文）
ʃəŋ	2	14	熊雄鳙
ʃəŋ	5	554	嗅
kəŋ	1	443	宫公蚣工攻功弓躬恭龚肱供（文）
kəŋ	3	35	巩拱
kəŋ	4	11	公（变，～公：爷爷也）□（把水搅浑也）
kəŋ	5	554	贡羾供拱公（变，公～：爷爷也）
kʱəŋ	1	443	空崆
kʱəŋ	3	35	恐孔
kʱəŋ	4	11	汞
kʱəŋ	5	554	空控
kʱəŋ	6	223	共
xəŋ	1	443	轰（又）
xəŋ	5	554	讧
niəŋ	2	14	龙（白）
niəŋ	5	554	垄（白）
ʦʱiəŋ	2	14	枞（白）
siəŋ	1	443	松鬆嵩
siəŋ	6	223	诵颂讼
kʱiəŋ	2	14	穷（又）
xiəŋ	1	443	兄（文、又）胸（又）
xiəŋ	2	14	雄（文）熊（文）
iəŋ	1	443	雍臃痈
