聲韻	調類	調值	
ʧʱʯ	6	223	具俱惧拒距柜（白）住处箸
ɳʯ	2	14	鱼文渔文愚虞娱寓隅儒浯（～口）
ɳʯ	4	11	女语
ɳʯ	5	554	癒
ɳʯ	6	223	御俞喻愈遇寓
ʃʯ	1	443	虚墟嘘书输舒
ʃʯ	2	14	殊姝茱（～桐岭:山名也，水桐岭的又称，今作薯藤岭，在长沙县、平江县界[同治]《长沙县志》）谁垂
ʃʯ	3	35	许暑薯（文）鼠黍水
ʃʯ	5	554	煦恕庶墅署鼠戍税
ʃʯ	6	223	竖树睡瑞
ʯ	1	443	於淤于（～是）迂盂游
ʯ	2	14	於于盂余馀榆愉渝萸谀舆如孺儿而舁
ʯ	4	11	雨羽宇禹与予汝乳尔迩耳（文）饵珥蕊
ʯ	5	554	誉吁玉饫锐尉蔚慰
ʯ	6	223	于芋预豫裕二贰
pɑ	1	443	巴笆爸芭粑疤杷
pɑ	3	35	畀（训）把靶
pɑ	5	554	霸欛坝伯（变，伯～）
pʱɑ	1	443	趴
pʱɑ	2	14	爬扒钯琶
pʱɑ	4	11	罢（语气词也）趴
pʱɑ	5	554	怕
pʱɑ	6	223	罢耙稗（白）
mɑ	1	443	妈（文）矇
mɑ	2	14	麻痲
mɑ	3	35	摸（白：摸、抓也）
mɑ	4	11	马码玛蚂
mɑ	5	554	吗蟆沫（油～水光）
mɑ	6	223	骂
fɑ	1	443	花
fɑ	2	14	华铧桦搳划
fɑ	4	11	划（～现）
fɑ	5	554	化
fɑ	6	223	画话（文，名词也）
tɑ	3	35	打
tɑ	4	11	嗒（～松）
tɑ	6	223	著（动态助词，常弱读，犹言“了”也）
tʱɑ	1	443	他（文）她它牠祂
nɑ	1	443	他（懒音）钠挪
nɑ	2	14	拿（文：加～大）娜
nɑ	4	11	哪啦（语气词：蛮好～）
nɑ	5	554	那（文）
nɑ	6	223	那（白）
ʦɑ	1	443	抓渣喳吒咱
ʦɑ	3	35	鲊酢
ʦɑ	5	554	诈柞炸榨
ʦʱɑ	1	443	差杈叉钗馇
ʦʱɑ	2	14	茶搽查
ʦʱɑ	4	11	茬槎（～柴）□（一种植物也）
ʦʱɑ	5	554	岔诧汊茬
ʦʱɑ	6	223	乍
sɑ	1	443	沙纱挱痧砂杉鲨裟㸺（母水牛也）
sɑ	3	35	傻耍
ʧɑ	1	443	遮
ʧɑ	3	35	者赭
ʧɑ	5	554	蔗嗻
ʧʱɑ	1	443	车
ʧʱɑ	3	35	扯
ʧʱɑ	4	11	扯
ʃɑ	1	443	奢赊畲（向家～：地名也）□（言解开衣服也）
ʃɑ	2	14	蛇佘
ʃɑ	3	35	舍（～高）
ʃɑ	4	11	社射
ʃɑ	5	554	舍赦
ʃɑ	6	223	射麝
kɑ	1	443	家（白：～～户户）痂枷加（白）噶（语气词也）
kɑ	3	35	假
kɑ	5	554	嫁驾（白）架（白）
kʱɑ	1	443	拁□（一～：犹言一“把”也）
kʱɑ	2	14	□（咒声骂也）
kʱɑ	3	35	卡
kʱɑ	4	11	㐄（言一只脚在门槛这边，一只脚在门槛那边也）
kʱɑ	5	554	胯
kʱɑ	6	223	㐄（言跨在人家头上过也）
ŋɑ	1	443	鸦桠丫（张也：口一～）
ŋɑ	2	14	牙芽伢衙涯
ŋɑ	3	35	哑
ŋɑ	4	11	雅瓦
ŋɑ	5	554	□（～啧：犹言“点儿”也）
ŋɑ	6	223	砑
xɑ	1	443	虾哈
xɑ	2	14	蛤
xɑ	3	35	哈（蠢也）
xɑ	4	11	下（白）
xɑ	5	554	哈（言放荡的笑也）
xɑ	6	223	下（白：犹言“全都”也；又作量词）
ɑ	1	443	家（白，用于词中姓氏后也：张～里、向～畲）
ɑ	5	554	啊（助词，会与前字连读，犹言“都、也”也：我～冇听过）訖（训读：冇～著）
piɑ	4	11	□（枪声也）
tiɑ	1	443	爹（白，城关、东北乡片部分人称祖父也：～～）
tʱiɑ	2	14	提
niɑ	3	35	□（歪斜也）
niɑ	4	11	舐（训，言把舌子伸出来也）
ʦiɑ	1	443	嗟
ʦiɑ	3	35	姐（老～）
ʦiɑ	5	554	姐（白）借
ʦʱiɑ	1	443	𨉖（躲藏也）
ʦʱiɑ	2	14	邪斜
ʦʱiɑ	3	35	且
ʦʱiɑ	5	554	斜（又）笡
ʦʱiɑ	6	223	谢
siɑ	1	443	些
siɑ	3	35	写
siɑ	4	11	□（言很快也）
siɑ	5	554	泻卸
kiɑ	1	443	家（文：大～）傢加佳嘉
kiɑ	3	35	贾
kiɑ	5	554	稼架（文：～势）驾（文）价（文）
kʱiɑ	2	14	瘸茄（白）
ŋiɑ	1	443	嗲（训，撒娇也）
ŋiɑ	2	14	黏（训，黏住也）
ŋiɑ	4	11	喏（唱～：平江人见面的礼节也）
xiɑ	1	443	靴
xiɑ	2	14	霞瑕暇遐
xiɑ	4	11	下（文）夏
xiɑ	6	223	夏厦
iɑ	1	443	耶椰
iɑ	2	14	爷
iɑ	4	11	也野惹冶
iɑ	5	554	亚讶
iɑ	6	223	夜
kuɑ	1	443	瓜呱
kuɑ	2	14	□（言肚大也）
kuɑ	3	35	寡剐
kuɑ	5	554	挂卦褂
kʱuɑ	1	443	夸
kʱuɑ	2	14	□（言肚大、怀孕也）
kʱuɑ	3	35	垮挎
kʱuɑ	4	11	咵
kʱuɑ	5	554	跨（文）胯（文）
ŋuɑ	4	11	瓦（又）
uɑ	1	443	蛙洼哇窊剜娲
uɑ	2	14	娃
uɑ	3	35	搲
uɑ	4	11	佤
uɑ	5	554	哇凹
uɑ	6	223	话（白读，动词：～事哩）
po	4	11	□（～啵蛋）
po	5	554	啵（打～：亲嘴也）
pʱo	4	11	啵（疑问语气词也）
pʱo	6	223	薄（～荷）
mo	2	14	摸馍模膜摹麽（～里：犹言“什么”也）
mo	4	11	母拇麽（～里：犹言“什么”也，西乡声）
mo	5	554	慕麽
mo	6	223	墓暮幕募
fo	5	554	□（包括式也，我～）
to	1	443	多哆
tʱo	1	443	拖
tʱo	2	14	陀驼鸵佗驮
no	1	443	啰
no	2	14	罗箩萝锣脶
no	4	11	猡卵（文：～鸡）謱（～謰：言迂腐过细也）
no	5	554	啰□（言很凶、很顽皮也）
ʧʱo	1	443	□（言缸没盖好或袋子没扎好也）
ʧʱo	2	14	茄（白：～子）
ʧʱo	5	554	喌（唤鸡的声音也）
ʃo	5	554	□（坏也）
ko	1	443	哥歌
ko	3	35	箇（远指：犹“那”也）
ko	4	11	嘅（结构助词，犹言“的”也）
ko	5	554	个個
ko	6	223	咯（语气词，表停顿或者解释也）
kʱo	1	443	苛柯
kʱo	2	14	□（～～起：言呆呆地也）
kʱo	3	35	可
kʱo	5	554	课
ŋo	1	443	□（～脑壳：抬头也）
ŋo	2	14	俄蛾峨娥鹅讹□（言惊呆也）
ŋo	4	11	我
ŋo	5	554	卧（文）
ŋo	6	223	饿卧（白）
xo	1	443	嗬呵（放肆夸大也）
xo	2	14	河何荷
xo	6	223	贺
o	1	443	阿（～胶）屙
o	4	11	我（懒音）哦
ʦio	6	223	□（言不正也）
ʦʱio	6	223	□（言不正也）
sio	1	443	梭（言从上往下滑动也）
io	1	443	哟
io	2	14	哟呦□（～子：犹“怎么”也）□（言变软、蔫也）
pø	1	443	波菠玻
pø	3	35	跛
