#备注：甘肃秦安县郭嘉方言语音研究 李小洁	
#符号：-白=文 	
#调值	[1]¹¹³ [3]⁵³ [5]⁴⁴
#ɿᵊ	
p	[1]鐾{~刀布，把刀鐾鐾}碑卑{自~}臂婢泌逼璧壁[3]蔽蓖{~麻}比{~较}[5]弊毙币闭箅{~子}陛{~下}被{~卧，~子}被{~打，~迫}备篦
ᵐ	[1]迷𪎭{~子}弥䉲{竹~}秘眉密蜜觅咪{甜~~}[3]米[5]谜靡
lᵈ	[1]犁黎隶离{~别，~开半寸}篱璃{玻~}荔{~枝}梨厘立笠粒历栗力□{扢~娃儿：挠脚肢窝}[3]礼{狸~}李里理鲤[5]例厉励丽{美~}利痢吏
ts	[1]支枝低肢咨鲫积滋之芝迹脊的{目~}敌疾即狄绩寂资姿[3]紫底挤纸只{~有}抵姊脂旨指子滓止趾址[5]祭际帝弟第递济荠剂{一~药，面~子}至矢痔志痣□{~起来：形容惯得难以管教}
tsʰ	[1]堤梯题提蹄啼妻齐脐雌疵{吹毛求~}瓷{~器}糍{~巴}迟兹慈磁{~石}词祠集泣七漆籍藉{狼~}踢剔笛戚□{打~滑}[3]体齿[5]替剃砌此刺翅地次自字伺嗣
sᵗ	[1]西犀婿{女~}斯厮撕玺赐施私师狮尸司丝思辞诗时习悉膝息熄媳饰惜昔席夕锡析[3]洗死屎使史驶始袭[5]细是氏四肆示视嗜似祀祭{~祀}巳{辰~}寺饲士仕柿事试市恃侍
z	[1]儿-{~子}[3]耳-遗{丢东西}[5]二贰{~心}
ȵʑ	[1]泥倪尼匿[3]你[5]腻

#ʅ	
tʂ	[1]知={~识}蜘{~蛛}栀{~子花}汁秩质织职[5]滞{停~，积~}制智致稚{幼~}置治
tʂʰ	[1]知-{~道}池驰侈{奢~}痴持嗤{~笑}执侄饬直值殖植赤尺吃[3]耻斥
ʂ	[1]湿十拾{~起来}蜇{鞋子~人}实失室蠚{蜂~人}食蚀识式适释石[5]世势誓逝
ɻ	[1]日
	
#i	
p	[1]毕必鄙碧笔弼[3]蔽彼秕{~子，~谷}敝
pʰ	[1]批皮疲脾庇痹{麻~}琵{~琶}枇{~杷}鼻[3]避匹僻辟劈[5]譬{~喻}屁
tɕ	[1]鸡稽系{~鞋带}饥肌基机讥饥{~荒}缉{~鞋口}辑急级给={供~}及吉极戟击激[3]几{茶~}幾{~個，~乎}己[5]计继寄技妓冀纪{~律}记既季□{动词，用水把火浇火}忌{~妒}
tɕʰ	[1]畦{菜~}企奇骑岐祈欺杞其棋期旗祈乞□{嘴~下：咧着嘴笑}[3]启起岂□{磕~~地：形容很墨迹}[5]去-契{~约}器弃忌{~口}气汽
ɕ	[1]溪奚兮牺熙希稀吸[3]系嬉喜蟢{~子}[5]繫{聯~}戏□{~人：故意卖弄某物，让别人眼馋} 
ʑ	[1]艺刈宜谊议移易{难~；交~}伊夷姨疑医矣饴{高粱~}异沂{~河}毅衣依遗揖{作~}乙一逸翼肄{~业}逆{顺~，~风}益亦译液溺{~死}疫役[3]椅拟已以尾[5]仪蚁义意忆亿抑
	
#ʋ̩ᵄ	
p	[1]不[3]补堡[5]布佈怖{恐~}
pʰ	[1]铺{~设}菩{~萨}殕{食上生白毛}扑卜仆{~人}谱普埠{商~}脯{杏~}赴朴瀑{~布}浦蒲捕[5]部步铺{店~}脯{胸~}甫{王~}
ᵐ	[1]谋木目穆牧[3]某亩牡母拇[5]模{~子}暮慕墓募幕
f	[1]夫肤敷俘{~虏}孵{~小鸡}麸{~子}抚扶芙{~蓉}辅浮妇复{~兴}缚福幅蝠{蝙~}腹覆{反~}服伏复{~原}[3]跗{~面：脚面}府腑俯斧付赋傅符腐附负[5]父釜富副
t	[1]都{~城}笃[3]堵赌肚{鱼~，猪~}督[5]度渡妒镀
tʰ	[1]徒屠途涂图突秃独读毒[3]土吐[5]兔杜肚{腹~}
l	[1]奴卢炉芦{~苇}鸬{~鹚}庐楼搂{~取，~抱}鹿禄陆录[3]努鲁橹虏卤[5]怒路赂露鹭{~鸶}漏陋
k	[1]姑孤箍估牯骨谷[3]古股鼓□{门~子}□{骂}[5]故固雇顾
kʰ	[1]窟哭[3]枯苦酷[5]库裤
Ø	[1]吴蜈{~蚣}吾梧{~桐}乌污坞无巫诬屋[3]五伍午武舞侮鹉{鹦~}[5]□{代词：那个}误悟恶{恨，可~}务雾兀

#y	
l	[1]律率{速~}[3]屡
tɕ	[1]居车{~马炮}橘菊掬{一~}[3]举□{~得很：皮肤干燥得很}[5]据锯巨拒距聚矩{规~}剧{~烈；戏~}
tɕʰ	[1]蛆{生~}渠趋眍{眼~}曲局[3]去=取娶趣
ȵ	[1]驴[3]女吕旅[5]虑滤
ç	[1]徐墟{~市}虚嘘{吹~}须需恤畜{~牧}蓄{储~}[3]许[5]絮序叙绪戌续□{~牙：换牙}
Ø	[1]鱼渔於淤余馀舁{抬}与{及，给~}愚虞娱吁迂于盂宇裕玉欲浴[3]稆{野生}雨[5]语御誉狱荣誉预豫遇寓禹羽芋逾愉愈喻味-域育

#ʮ	
ts	[1]卒{兵~}族足[3]租祖组阻[5]做
tsʰ	[1]粗促猝{仓~}[5]醋措{~施}
sᵗ	[1]苏酥速肃宿粟俗[5]素诉塑嗉{鸟~子}
