#注释	文成县志，落橙抄
#调值	[1]55[2]13[3]54[4]33[5]435[6]312[7]35[8]213
#ɿ	
ts	[1]资咨姿脂兹滋之芝知蜘[3]姊旨指子止趾址紫[5]致志痣置
tsʰ	[1]雌疵[3]齿耻此[5]次刺
dz	[2]迟持驰[4]稚痔[6]治
s	[1]私司丝咝思尸诗斯嘶厮撕施师[3]死始使史[5]四肆试赐
z	[2]瓷辞词祠饲慈磁时而[4]似市耳=士柿尔是[6]自示视字事待寺氏
#i	
p	[3]彼比[5]庇闭蔽鄙[7]逼碧壁璧臂泌毕必
pʰ	[1]披批[5]屁[7]辟劈僻
b	[2]皮疲琵{〜琶}枇{〜杷}脾[4]被[6]备弊币
m	[2]眉楣迷谜靡[4]美米[6]未味
f	[1]非飞妃[3]匪[5]废肺费
v	[2]肥微
t	[1]低[3]底抵[4]帝[7]的{目〜}滴嫡
tʰ	[1]梯[3]体[5]替涕剃[7]踢剔
d	[2]题提蹄啼堤[4]弟[6]第递地[8]笛敌狄
l	[2]犁黎离篱璃{玻〜}梨厘[4]礼李里理鲤[6]隶厉励荔{〜枝}利吏[8]历力
tɕ	[1]鸡稽饥肌基机讥几{〜乎}猪支枝肢[3]己纸煮纪[5]计继系{〜鞋带}寄记借挤济剂祭际制[7]织职鲫积迹脊绩只{量}击激
tɕʰ	[1]溪欺妻[3]启企{又}起岂鼠[5]契器弃气讫[7]赤斥尺戚砌
dʑ	[2]奇骑岐祁鳍其棋期旗池企[6]技妓忌箸滞{停滞}[6]极剧值殖植
ȵ	[2]泥宜值疑尼[4]你蚁拟议[6]义艺[8]聂孽逆
ɡ	[2]他{佢}
ɦ	[2]爷系{联〜}移夷姨肄{〜业}[4]已[6]以[8]逸易翼亦译腋异
∅	[1]医衣依倚[3]椅[5]忆亿意[7]抑益
#u	
p	[1]坡菠玻{〜璃}[3]补谱[5]布怖
pʰ	[1]铺{动}[3]普浦铺{店〜}[5]破=
b	[2]婆蒲菩[4]部簿[6]步捕埠[7]扑[8]卜仆
f	[1]夫肤敷俘呼[3]府俯腑斧火伙[5]付赋傅赴讣货[7]福幅蝠{蝙〜}复腹覆
v	[2]河何荷和禾胡湖狐壶[4]祸户父武舞侮[6]互护附务雾贺腐[8]服伏
t	[1]多[5]剁[7]笃督
tʰ	[1]拖{又}[3]妥椭{〜圆}
d	[2]驼驮[4]舵[6]大-
n	[2]奴努[6]怒
l	[2]罗锣箩螺{〜蛳}[4]鲁橹虏
ts	[3]左佐阻组[5]做[7]竹筑祝粥菊
tsʰ	[1]初[3]楚础[7]促蹙
s	[1]梭疏蔬[3]锁琐数{动}[5]数[7]速肃宿叔缩蓄
z	[2]锄[6]助[8]熟族辱褥
k	[1]哥歌锅戈姑孤裹[3]果古股鼓裹{动}[5]过故固雇顾[7]谷
kʰ	[1]科窠棵颗枯估[3]苦[5]课库裤[7]哭酷
ŋ	[2]吴鹅俄蛾鱼-[4]我五伍午[6]卧误悟饿
∅	[1]乌污[7]屋握
#y	
f	[1]虚嘘辉挥[3]许毁[5]讳纬
t	[1]都[3]赌堵肚{猪〜}[5]妒
tʰ	[3]土吐{〜痰}[5]兔吐{呕〜}
d	[2]屠途涂图徒[4]肚{〜腹}杜[6]度渡镀
l	[2]卢炉芦{〜苇}庐{〜山}驴[4]吕旅屡卤[6]路露鹭虑滤
tɕ	[1]居车{车马炮}拘规{〜划}龟租诸朱诛蛛株珠追轨[3]举鬼-诡祖主嘴矩{规〜}[5]据锯句桂季贵拄驻注蛀铸著{显〜}醉-
tɕ	[1]区驱粗趋吹炊[3]娶取[5]去处趣醋
dʑ	[2]瞿渠逵葵除储锤厨巨距柜[4]跪-拒矩柱绪署[6]具惧住
ȵ	[2]愚虞鱼=渔危伪寓[4]语女[6]御遇
s	[1]苏酥书舒须需输虽绥庶[3]水许{又}[5]诉塑絮恕税岁暑黍
z	[2]如儒随垂谁遂[4]叙聚竖序瑞绪{又}署{又}汝殊[6]树
ɦ	[2]余盂预豫榆逾愉愈违围维唯遗为{行〜}[4]雨禹宇[6]誉芋喻裕位胃谓卫惠慧为{因〜}
∅	[1]于迂淤威畏
#a	
p	[7]百伯柏
pʰ	[1]烹[7]拍魄擘{用手〜开}
b	[2]彭膨[3]白
m	[2]盲虻{牛〜}[4]猛孟[8]陌麦脉
v	[8]佛物或获划活滑猾
t	[3]打
l	[4]冷
ts	[1]筝睁[7]摘责汁质卒{兵〜}札
tsʰ	[1]撑搓{〜麻将}[7]拆七漆
s	[1]生笙甥牲[3]省[7]湿虱失室撒率{〜领} dz[8]泽择宅
z	[8]集习袭十什拾入疾实日=
k	[1]更粳{〜米}庚羹耕[3]耿梗[7]格隔
kʰ	[7]客
ŋ	[6]硬
h	[1]亨
ɦ	[2]行[4]杏
∅	[1]阿{〜哥}
#ia	
tɕ	[1]争[7]急级吉
dʑ	[8]及
ɦ	[8]药跃钥{〜匙}
∅	[7]乙一壹约
#o	
p	[1]巴芭疤[3]把{〜握}[5]霸坝[7]驳
pʰ	[5]怕[7]朴
b	[2]爬琶{琵〜}杷{枇〜}[6]耙{犁〜}[8]薄
m	[2]麻蟆{蛤〜}[4]鸟码[7]摸膜摸[8]莫寞幕
t	[1]当[3]党朵
tʰ	[1]汤[3]躺[5]烫
d	[2]堂棠唐糖塘[4]宕[6]荡
l	[2]郎廊狼[4]朗[6]浪[8]落洛络乐{快〜}
ts	[1]脏庄装渣[5]葬炸榨[7]作
tsʰ	[1]叉仓苍车={汽〜}疮搓{又}差{〜不多}[5]岔创[7]曲错
dz	[2]茶搽查
s	[1]纱沙桑丧蓑[3]所爽{~快}[7]索{绳〜}
z	[2]藏[4]坐[6]咋座[8]凿
k	[1]加伽袈嘉家傢{〜具}佳瓜[3]假[5]教挂卦[7]各阁搁郭廓觉角
kʰ	[3]可[7]确壳
ŋ	[2]牙芽衙[4]雅瓦[8]鄂鹤岳
h	[1]虾花荒慌[5]化
ɦ	[2]俊霞行{银〜}航杭黄皇蝗华[4]下[6]夏厦旺巷[8]镬{锅}学峃
∅	[1]鸦肮{〜脏}蛙[3]哑亚[7]恶
#ɔ	
p	[1]班斑颁扳[3]板版摆[5]扮拜
pʰ	[1]攀[5]盼派破-
b	[2]爿牌排筏[6]办败
m	[2]蛮埋[4]买[6]慢漫万-骂卖
f	[1]番翻蕃[3]反[5]泛贩
v	[2]凡帆烦繁矾怀淮还坏[4]范犯[6]饭万
t	[1]耽担丹单[3]胆弹[5]旦带戴[7]搭
tʰ	[1]坍滩摊他=塌[3]毯坦{〜白}[5]炭叹太泰[7]塔榻
d	[2]谭谈痰檀坛弹{〜琴}[4]淡[6]但蛋弹{子〜}大=[8]达
n	[2]难[8]捺
l	[2]蓝篮上拦栏澜[4]览揽榄{撤〜}懒[6]滥烂[8]腊蜡辣
ts	[3]斩盏[5]赞蘸债
tsʰ	[1]餐[3]铲[5]蔡[7]插察擦策册
s	[1]杉衫三山珊删[3]散伞产[5]晒[7]杀萨煞
z	[2]残惭暂{短〜}
k	[1]监艰间奸关[3]减碱简裥拣[5]谏鉴介界届戒怪[7]夹甲胛{肩〜}
kʰ	[1]宽夸垮誇跨[5]嵌快[7]恰掐阔
ɡ	[2]衔
ŋ	[2]岩颜崖[4]眼[6]雁外
h	[3]喊[7]喝
