	註釋：-白讀，=文讀									
k	[1]金京驚=經=兢今涇鯨鈞□{冰凍}禁{又}[2]瓊荊[3]景緊僅憬境錦儆警瑾璟槿=									
kʰ	[1]金{～貴}輕卿欽傾衾矜襟=[2]禽琴芩鉗-[3]肯=頃=									
ŋ	[1]□{凍}[2]凝=迎=吟詠									
h	[1]興{～旺}兄=馨歆昕忻[2]形眩-邢刑型									
∅	[1]音英陰瑛煙-嬰=櫻=鸚=鷹=膺應{～該}因茵姻荏湮仍蔭[2]仁螢營=贏=盈楹寅淫榮瑩塋瀛妊壬[3]飲=永引影=穎蚓=									
#uŋ										
p	[1]埲{塵起}枋崩-方-{量詞，蜀～糖粿}痭{血～}[2]房㖹{吹，～火}									
pʰ	[1]蜂潘-{米～}[2]捧-蓬帆篷縫{～紉}[3]捧=紡-									
m	[1]悶{～～熱}懞{又}檬{又}[2]蒙濛{又}朦檬[3]懞									
t	[1]東=敦□{碰}諄惇屯=[2]同=桐=童僮=瞳彤艟幢衕[3]懂董									
tʰ	[1]通=[2]同純[3]統塚塚寵									
n	[1]冗{～囑，等一下}[2]農濃膿=噥儂=[3]冗忍-{吞～}									
l	[1]掄[2]輪倫崙綸{經～}淪圇瓏=[3]隴壟=									
ts	[1]宗蹤綜[2]叢崇悰[3]總准準									
tsʰ	[1]春椿聰驄蔥=蔥囪[3]蠢睶									
s	[1]嵩崧淞[2]徇巡船唇純醇循詢殉旬淳鶉[3]筍恂悚竦聳慫榫									
k	[1]公=功蚣工攻君軍[2]群裙拳[3]滾鯀緄									
kʰ	[1]空=倥[2]群{又}[3]孔捆綑									
h	[1]風分=芬葷豐封峰鋒紛楓瘋烘=吩氛轟{又}[2]雲芸耘魂逢雄洪鴻虹-渾馮紅=暈=焚墳訌泓弘宏[3]粉憤忿哄{～騙}									
∅	[1]翁嗡蕹{～菜}溫瘟鰮蓊塭{～塵}[2]文蚊紋聞雯□{鼻邊～}[3]吻穩蘊刎殞隕痕蚓									
#yŋ										
t	[1]中=忠衷[2]重={～新}									
tʰ	[2]重{～疊}蟲=									
l	[2]龍隆									
ts	[1]終鐘春盅踵{又}[2]從=[3]種{～子}腫踵									
tsʰ	[1]充沖忡衝從{～容}[2]□{扭傷}									
s	[2]松									
k	[1]恭躬宮巾斤筋{～骨}跟-根-芎供{口～}[2]窮藭穹[3]龔拱珙供{～養}靳									
kʰ	[1]邛穹{又}[2]芹菌囷蛩勤[3]恐鞏菌{又}									
ŋ	[2]銀齦狺									
h	[1]勳曛燻烘=薰匈胸凶欣洶[2]雄=熊[3]熒									
∅	[1]雍殷邕擁臃癰庸{又}[2]容榕瑢蓉熔=溶=勻庸茸戎絨融筠慵傭鏞□{均分}[3]勇忍=隱允尹懚									
#iaŋ										
p	[3]餅-[5]併-迸-摒-									
pʰ	[1]拼-𩩍{背}[2]□{關門聲}[3]□{跛}餅{量詞}[6]並{比～}									
m	[2]名-[6]命-									
t	[2]呈{又}埕庭坍{～倒}霆{雷公～}[3]鼎-偵[5]□{惡氣味濃}[6]定-錠-綻-									
tʰ	[1]廳聽-[2]呈程[3]捵町[5]痛聽-{又，七講八～}									
n	[3]染{混雜}									
l	[1]涼{微寒}[2]晾-[3]領-嶺-[5]□{火光閃動}[6]亮-									
ts	[1]正{～月}精-[2]濺-[3]䭕{味淡}[5]正-[6]淨-									
tsʰ	[1]清-{福～}青-{荊棘}[2]成-{～大去}城-{～門，地名}[3]請-癬醒{又}[5]倩-[6]鱔-									
s	[1]聲-[2]城-成-泉-[5]線聖-霰{又}[6]賤{便宜}盛{貯穀器}									
k	[1]驚-經-{拍～}[2]行-[3]囝[5]鏡-鍳-{手～}[6]健-									
kʰ	[3]□[5]罄{～頭}[6]□{合起來}									
ŋ	[1]□{豎起，喙鬚～}[2]迎-[5]□{打盹}[6]岸-									
h	[1]兄-薟{臭～}[5]炫-{做～}									
∅	[2]營-贏-[3]影-{痕～}[5]映{顯露}[6]艷									
#ieŋ										
p	[1]邊=鯿鞭[2]駢-便{～～}[3]扁貶匾蝙[5]變[6]便{方～}辯辮辨卞汴									
pʰ	[1]偏篇徧翩編[5]騙遍片									
m	[2]綿棉眠=□{～乇，薄削}便-{大～，小～}[3]免冕勉娩緬沔[6]面=麵									
t	[1]顛=甜巔癲滇[2]田纏=[3]典=點=展輾碘[5]玷=[6]電佃鈿甸奠滇{滿}墊=									
tʰ	[1]天添[2]恬舔[3]諂㥏[5]䋎{縫}									
n	[1]拈[2]年黏𬠖{鳥～}鮎[3]染=撚[6]唸=念=廿									
l	[2]連聯漣蓮=奩簾鐮廉簾憐=[3]臉攆輦碾輾斂[5]𩥇[6]殮練鍊煉鏈									
ts	[1]尖氈詹瞻煎沾霑纖覘[2]前=錢潛[3]踐濺=剪=戩蜒掌{～甲}枕-淺{不成熟}[5]箭=佔=戰=薦餞{蜜～}羴{～頭先}[6]賤=漸□{愛好玩}									
tsʰ	[1]千阡躚鮮-遷箋殲簽籤□{蝦}[2]尋蠶{～豆}[3]淺=闡[5]塹倩-箭-{量詞，花蜀～}戰-{又}									
s	[1]仙先=暹鮮=羶-扇{風～}[2]簷鹽蟬單{～於}蟬蟾神-[3]閃陝鮮{稀少}蘚癬=跣燹[5]扇鹽{醃}醃霰{又}[6]善膳繕羨鱔=擅贍									
k	[1]肩堅兼[2]墘虔乾[3]襇檢鹼=撿[5]見劍[6]儉									
kʰ	[1]愆謙鏗[2]鉗=擒=岑黔鈐拑{拉住}[3]遣繾譴[5]欠=芡縴歉{又}茜									
ŋ	[1]妍研{又}[2]嚴閻[3]研儼[5]硯癮[6]驗彥諺唁									
h	[1]掀{又}[2]賢嫌玄-弦懸=舷絃眩=胘[3]顯險蜆[5]□{擲}[6]現									
∅	[1]淹醃=閹菸煙=胭嫣燕{～京}咽掩{～公～大目}[2]圓-炎[3]掩=苒冉演衍兗琰堰[5]燕嚥厭宴靨佔{～去}[6]艷=院焰									
#uaŋ										
p	[1]般搬[2]盤槃磐[3]阪[5]半[6]拌絆畔叛									
pʰ	[5]判盼胖{又}[6]胖伴叛{又}									
m	[2]瞞鰻蔓{～菁骹}蹣[3]滿									
t	[1]端[3]短[5]斷{決～}[6]斷={～絕}鍛									
tʰ	[2]團溥湍									
n	[3]暖煖									
l	[2]巒鑾鸞[3]臠卵=[6]亂									
ts	[1]鑽{～研}[3]壯{又}[5]賺纂[6]饌撰									
tsʰ	[1]餐銓荃痊詮[3]喘舛[5]爨竄攛篡									
k	[1]宮關=棺冠觀鰥倌乾-[3]館管=館梗-{菜～}[5]貫慣=灌觀{寺～}冠{～軍}罐鸛[6]摜擀									
kʰ	[1]寬[2]環圈{又}寰圜[3]款盥									
ŋ	[2]頑[3]阮{又}浣[6]玩									
h	[1]歡懽驩旙幡番蕃藩翻[2]凡橫-帆=礬還=繁煩樊{又}桓[3]反返[5]喚煥飯=販=渙泛瘓梵幻{又}汜奐豢{～囝}[6]犯患範幻宦緩镮									
∅	[1]彎灣[2]逛{～街}灣{臺～}[3]碗婉宛莞浣{又}綰腕琬晚=挽䡝皖豌[6]換萬									
#uoŋ										
p	[1]分-奔賁[2]盆[3]本[6]飯-									
pʰ	[5]湓{汐}									
m	[2]門們捫芒-蚊-{風～}[3]晚-漫-{～去}罔{越，～好}[5]問									
t	[1]張[2]傳{～達}長={短～}腸=[3]轉囀[5]帳悵脹賬漲=[6]傳{自～}長{剩餘}篆丈{～奶}									
tʰ	[1]張{量詞}[2]椽[5]暢□{傳揚}仗-{拍～}[6]杖丈{大～夫}									
n	[2]娘[3]軟									
l	[2]良糧梁粱涼=量{動詞}[3]兩=輛{又}[5]漲{又，物價～}[6]量{份～}亮戀弄=輛									
ts	[1]專=磚耑顓漿將{～來}章樟璋瞕彰鏘[2]全泉=[3]掌槳獎蔣□{怎}[5]將醬障瘴									
tsʰ	[1]川穿昌鯧娼槍□{孔洞}猖蹡踹專-{～心}[2]牆□{蹲}薔戕[3]搶廠敞[5]串唱釧倡匠昶{又}[6]象像橡鞝上{～水}									
s	[1]傷箱鑲相廂襄驥商相{～同}觴[2]癢-常裳翔詳祥嫦庠旋嘗償-漩璿璿[3]想鯗賞上{～聲}[5]相{～片}[6]上癢尚吮檨{番～：芒果}									
k	[1]光關-胱[2]權狂顴□{整個}[3]捲廣管-箢{量詞}卷{量詞}[5]卷{考～}券{戲～}蚪眷[6]倦									
kʰ	[1]筐框匡誆方-{大～}[2]楻圈{～家}[3]礦曠壙[5]勸誑[6]眶									
ŋ	[2]元沅原源黿袁-玄={～孫}[3]阮[6]願									
h	[1]方=荒坊肪芳昏=婚慌[2]防=園妨皇蝗徨磺隍篁簧凰遑煌惶癀[3]彷訪紡=恍晃仿[5]況放=楦□{癤子}[6]遠-									
∅	[1]昏{頭～}汪冤鴛蜿[2]亡圓=員袁=完丸紈王黃垣猿轅妄{又}[3]往遠=網=枉罔=魍苑{宮～}惘䘼{手～}䩩{秤盤}[5]怨[6]望旺暈-{月～}爰媛援妄									
#yoŋ										
k	[1]薑羌薑疆捐涓娟鵑殭僵[2]強[3]強{勉～}繈[5]建絹毽[6]健=鍵腱									
kʰ	[1]腔=									
ŋ	[2]言[3]仰									
h	[1]香鄉暄萱喧煊軒掀[3]享響烜饗[5]向餉絢憲獻									
∅	[1]央秧-殃泱鴦蔫{物敗}鄢淵焉[2]瘍揚陽楊羊煬延筵涎佯熔烊{熔}溶-蛘{米蟲}洋鉛-沿然燃焉{又}緣曜櫞{香～}撚=[3]養壤癢=[5]映=恙怏[6]樣讓=攘嚷釀=漾									
#ɛiŋ										
p	[1]斑崩繃邊-[2]朋硼=鵬爿蹦便{～宜}□{半～}[3]反-板-版舨[5]並=併=鬢迸=捠㑟殯[6]病=									
pʰ	[1]烹[2]□{錢幣，音譯詞}硼{又}[5]聘娉									
m	[2]盟萌[3]猛=[5]面-[6]命=𩸍									
t	[1]燈=登□{毛刺}[2]填藤=騰謄瞪=澄=滕[3]等=點-典-玷-頂-{懸～}[5]鎮釘{動詞}訂瞪綻盯=[6]陣定=朕錠=									
tʰ	[1]蟶檉{木名}[2]沉{～浮}[3]狠{又}[5]聽={又}趁									
n	[1]奀[2]能[3]□{胸肉}[6]認佞									
l	[2]蓮-憐-菱-[3]冷[5]楞{量詞}[6]令另吝藺萱腎{～脬}									
ts	[1]曾爭=針增憎錚崢爭=蓁榛臻箴猙睜箏掙[2]層曾{～經}[3]剪-怎[5]正=進證症政晉浸=[6]靜=淨=靖盡儘									
tsʰ	[1]撐=呻-[2]田-蠶-[3]筅-[5]秤凊襯稱{相～}									
s	[1]生=參{人～}笙牲=甥森先-[2]前-[3]省={又}㾪{痩，～肉}[5]信聖=囟姓=性=勝迅訊汛芯{火藥～}[6]盛甚葚乘{千～}剩慎腎=									
k	[1]庚耕更={～改}賡莖羹跟=[2]鹹懸-{高}[3]減耿炯梗=哽=揀繭-[5]禁{～止}敬鏡=竟徑逕勁[6]頸肣妗噤腎{雞胃，肝～}									
kʰ	[1]牽-鏗襟-[2]擒{牽}[3]犬肯=[5]慶磬罄=									
ŋ	[1]□{死，貶}[2]狺[3]眼-{龍～}									
h	[1]哼亨[2]還-橫=行=衡=恒蘅珩[3]狠啈悻{又}[5]興{高～}迥[6]□{不出聲}任{～汝}									
∅	[1]鶯嚶嬰-鸚-薨轟纓-櫻-鷹-罌陰-□{放置}[2]閑-閒-[5]印應{答應}蔭{～涼}窨廕□{掩火}[6]任=刃賃孕紉泳胤詠仍{又}									
#aiŋ										
p	[5]堋扳[6]辦瓣扮									
pʰ	[5]聘									
m	[6]孟慢-蜢=									
t	[5]店凳鐙[6]殿墊-鄧靛橙=橂{硬，牢}閬{又}隊									
tʰ	[5]挺-									
n	[5]踮[6]唸-念-									
ts	[5]諍{又}甑蹭[6]贈諍									
tsʰ	[5]讖{出～}襯苫{草～}倩{又}									
s	[5]滲=									
k	[5]更{～好}慣-[6]縣									
kʰ	[5]㪠□{肋下}									
ŋ	[6]硬									
h	[5]莧[6]杏幸倖行{操～}									
∅	[6]限痕									
#ouŋ										
p	[1]幫梆[2]旁=榜膀傍{又}螃=[3]綁榜[5]糞放-畚[6]笨									
pʰ	[1]滂乓[3]丼{投井聲}[5]縫{門～}噴									
m	[1]忙□{忙亂}[2]忙茫芒[3]莽蟒[5]夢濛{雨～}[6]悶燜懣									
t	[1]當噹鐓墩鈍{刀～}中-[2]膛堂螳唐腸-棠長-{～短}豚塘溏搪□{蜀～}[3]堂擋檔盾漲-斷-{～折}[5]凍=棟頓=囤[6]燉動=洞=鈍恫									
tʰ	[1]湯吞[2]糖吞{侵吞}豚[3]倘儻趟[5]痛[6]腯{肥～}									
n	[1]嚷攘[2]囊瓢撚[3]暖煖釀{製酒}□{毛亂}[5]潤-{轉～}戇[6]閏韌-									
l	[1]□{拳擊}[2]郎瑯廊螂狼[3]朗𬡨[5]𢙱{慍～}[6]弄									
ts	[1]裝粧遵尊樽贓妝樁臧[2]存藏{動詞}鑽{～石}蹲=鱒[5]俊駿雋竣峻圳浚									
tsʰ	[1]村倉瘡蒼滄窗傖[2]床[3]忖愴[6]□{餃}									
s	[1]孫酸蓀霜鸘礵桑拴喪宣痠閂想{～爭}[2]床-{蒸籠}□{刺痛}[3]損撰選爽磉嗓[5]舜瞬送=宋=[6]順									
k	[1]缸扛{二人抬}綱剛釭岡崗江=肛根=罡豇[2]灴{燙}杠{門～}[3]講[5]棍貢贛灨槓[6]郡									
kʰ	[1]康糠慷{又}坤昆琨崑鯤鵾髡堃[2]扛[3]懇墾慷砍[5]控空{虧～}									
ŋ	[2]昂									
h	[1]熏{煙}[2]行-絎航杭痕降{投～}防-洚[3]悻-[5]奮訓諷[6]鳳混奉俸份餛									
∅	[1]秧-恩[2]行-{銀～}□{久}[3]影-[5]蕹{又，～菜}搵醞[6]運問=韻紊暈=									
#ɔuŋ										
p	[5]謗[6]磅棒傍{又}									
pʰ	[5]胖[6]蚌碰									
m	[5]□{愚笨}[6]氓-									
t	[5]當{～店}襠頓-[6]段緞遁丈-撞盪蕩{涮}□{失落}宕									
tʰ	[5]褪盪={～船}[6]燙□{重煮}盪={搖～}									
n	[6]嫩{小}									
l	[5]崙{量詞}□{亂}[6]卵論浪									
ts	[5]鑽{～子}壯葬[6]藏{西～}狀□{油燈罩}									
tsʰ	[5]寸創闖-[6]闖=									
s	[5]宋-巽喪{動詞}遜蒜算									
k	[5]降{～下}鋼艮槓絳澗{山～}									
kʰ	[5]困睏抗伉沆炕{火～}囥{藏起}									
ŋ	[6]戇{傻}									
h	[5]桁[6]恨項									
∅	[5]䁐{看守}[6]笐□{掠過}									
#øyŋ										
m	[1]□{鬆}[2]□{質地鬆而不實}[3]蠓𤷪{麻疹}									
t	[1]東-冬[2]同-銅筒[3]佟[5]中{射～}[6]重={～量}仲									
tʰ	[1]通-[2]蟲-桐-[3]桶									
n	[1]□{不要}[2]儂-膿[6]□{彈性鬆}冗{又}									
l	[1]□{通風}窿[2]籠聾嚨礱壟-瓏[3]攏									
ts	[1]棕[2]□{沖水}[3]鬃{假髮髻}總{頭頂紮成束的頭髮}[5]種{栽～}眾縱=									
tsʰ	[1]蔥菖{～蒲}[5]銃□{接上}謲{肘～}[6]□{垢起～}									
s	[1]鬆雙[2]蹤{愛熱鬧}[3]搡[6]頌訟誦□{穿衣服}穿{訓，穿衣服}									
k	[1]江-工-公-{相～}蚣-[3]港□{雌性}[5]供[6]共=近僅{又}饉槿-{木～花}									
kʰ	[1]空[5]䛪{拾～}□{愚昧}[6]虹-桕{～油}□{痕，量詞}									
ŋ	[5]□{怕}									
h	[1]烘魟[2]閧-[5]釁									
∅	[2]紅-[5]湧踴擁{又}壅甬蛹[6]用潤=傭{又}									
#ɔyŋ										
pʰ	[5]□{脹大}									
m	[5]夢-[6]網-𦁧{網}									
t	[5]凍-蝀[6]洞-重-□{箸～}									
tʰ	[5]□{水沖走}疼臀									
n	[5]□{鬆軟}									
l	[5]□{冗}[6]弄-衖襱{褲～，褲腿}									
ts	[5]棕									
tsʰ	[5]□{蓬勃}									
s	[5]送-									
k	[5]□{悶熱}[6]共-									
kʰ	[5]空{孔洞}									
h	[5]巷□{腫瘤}[6]烘-□{烈日襲人}									
∅	[5]甕[6]□{旺}									
#aʔ										
p	[7]百-伯-柏-掰[8]拔=跋=白-									
pʰ	[7]拍[8]鬻									
m	[7]□{癟，喙～～}[8]襪麥-脈-									
t	[7]答褡搭妲□{～鉤}劄笮{壓}[8]達遝踏撻擇-{～日子}□{熱水中保溫}									
tʰ	[7]塔闥塌榻遢[8]疊-宅-									
n	[7]凹{訓}[8]納衲捺鈉									
l	[7]邋{～遢}瘌喇[8]臘蠟鑞獵粒辣捋{～手䘼}									
ts	[7]匝紮紮劄軋窄仄眨[8]雜閘鍘-柵									
tsʰ	[7]察擦插鍤冊									
s	[7]殺煞薩颯霎剎[8]煠{水煮}									
k	[7]甲胛鉀夾=蛤鴿割葛合-{合作}□{曬穀蓆}格-骼隔-[8]□{～～叫}□{黏住}□{量詞}□{撬動}									
kʰ	[7]渴洽恰拾-客[8]□{文火煮}									
ŋ	[7]戛[8]□{摩擦}									
h	[7]瞎喝嗄{又，～～聲}[8]合=洽{又}闔盍曷轄褐									
∅	[7]遏鴨押狎壓揖-[8]盒匣□{浮腫}									
#œʔ										
k	[7]□{驚叫}嗝[8]□{扔，擲}									
kʰ	[8]□{咳，～痰}□{死，貶}									
h	[7]□{答應聲}									
∅	[7]噦{嘔吐聲}									
#eʔ										
pʰ	[8]□{頓坐}									
m	[7]□{嘴向內凹的樣子}[8]□{癟}									
t	[8]訥{說，說話不流利}									
tʰ	[8]□{拿，含戲謔意}									
n	[8]訥{語言不暢}□{和水揉}									
ts	[8]□{服飾美}□{潮濕}									
k	[7]給{～儂講}[8]□{惱火}									
kʰ	[8]□{吱聲}									
ŋ	[8]□{門軸轉動聲}									
h	[7]□{答應聲}									
#oʔ										
p	[8]薄-泊舶箔舶穙{租～}									
m	[8]膜莫-									
t	[8]戳{刺}									
l	[8]□{套進}樂-落-									
ts	[8]□{急走}									
tsʰ	[8]戳									
s	[8]鐲昨{～日，前天}									
ŋ	[8]嶽-岳-□{昂起}									
∅	[8]學-									
#ɔʔ										
p	[7]□{破口大罵}									
pʰ	[7]粕									
m	[7]□{黑暗中行}									
t	[7]桌									
tʰ	[7]托-託-									
n	[7]乇{物}									
l	[7]□{套進}									
ts	[7]倅{堵塞}作{仵作}									
s	[7]索-吮{訓}									
k	[7]擱閣袼{衣～}各-{～儂}									
h	[7]□{冷的食物倒進鍋裏加熱}									
∅	[7]□{乖巧}									
#iʔ										
p	[8]弼闢									
pʰ	[8]□{水噴出}									
m	[8]蜜密=覓域-□{人在水中}									
t	[8]笛直敵擲躑翟濯迪狄侄荻滌植-值-桎{要}									
tʰ	[8]剔{～牙}									
n	[8]日溺匿暱搦{又}入-{～味}									
l	[8]栗立笠瀝鮤{白～}歷曆礫靂癧力									
ts	[8]疾輯集屐=									
tsʰ	[8]□{水噴射}									
s	[8]實夕汐植=值=習殖什席蓆=碩=食=石=蝕=拾={～遺}翼									
k	[8]及極									
kʰ	[8]頡詰檄□{長不大}									
ŋ	[8]凝逆=									
h	[8]□{吸進}									
∅	[8]入=亦奕役譯繹驛=弋翌翼=液腋易{交～}蜴逸佚軼疫									
#uʔ										
p	[8]暴=僕瀑葡□{塵土大}									
pʰ	[8]□{浮腫}									
m	[8]木=目=沒{埋～}沐穆睦牧=苜霂									
t	[8]獨犢牘瀆毒=									
tʰ	[8]讀=禿黷{烏～～}									
l	[8]律轆率{效～}									
ts	[8]族鏃簇									
tsʰ	[8]簇{量詞}									
s	[8]述秫朮{白～}術									
k	[8]掘									
kʰ	[8]□{短}禿{訓}									
∅	[8]勿物									
#yʔ										
t	[8]逐軸躅妯									
n	[8]肉□{揉}									
l	[8]祿綠=麓鹿=陸=									
tsʰ	[8]□{踩}									
s	[8]熟孰續塾屬蜀=贖俗									
k	[8]□{濃}□{僵持}□{緊迫}									
∅	[8]鋊=育毓辱褥聿浴欲=慾=鷸鬻煜域=									
#iaʔ										
p	[7]□{併在一起}壁									
pʰ	[7]□{水擊石聲}[8]□{擊打}									
m	[7]□{緊貼}[8]□{心跳}									
t	[8]□{聞臭味}									
tʰ	[7]獺□{眨眼}									
n	[7]攝-𥍉躡囁[8]偌									
l	[7]□{鞋～}□{舌～}□{裂聲}□{裂開}									
ts	[7]□{不穩重}□{濺}□{嘗}									
tsʰ	[7]鑔{把瓜果刨成絲的器具，番薯～}忣{悸動}赤{～道}[8]□{睬}									
s	[7]□{行疾}霎{又}									
k	[7]□{生氣離去}[8]揭{高舉}									
kʰ	[7]隙{田}睞{～相}[8]屐-									
ŋ	[7]□{劣}[8]逆{昂頭}									
h	[7]□{高處倒下}嚇[8]頁									
∅	[7]□{晃}驛[8]曳{招手，扇動}蝶{小飛蛾}									
#ieʔ										
p	[7]鱉別彆癟別=[8]別{離～}									
pʰ	[7]瞥□{竹器}□{淺舀}撇劈僻-[8]□{膿}									
m	[7]乜[8]滅蔑篾									
t	[7]哲喆摘-[8]跌蝶碟牒疊=跌秩輒轍耋帙									
t	[7]鐵徹撤澈拆-									
n	[7]聶囁=攝=躡=鑷捏[8]搦{捉}									
l	[7]冽□{臉色變}[8]列烈裂{又}咧□{淺竹器}									
ts	[7]接摺節=櫛癤折浙隻跡-[8]捷婕睫									
tsʰ	[7]妾竊切砌刺{～羊毛}赤{金～～}[8]蠘									
s	[7]薛屑洩褻燮設葉攝-削-[8]涉=舌析{斷}瀕蝕-{～本}食-									
k	[7]結=潔=頡擷劫挈揭=篋愜莢頰挾{～菜}夾峽[8]傑傑桀竭									
kʰ	[7]缺-怯歉									
ŋ	[7]鑷{又}[8]業鄴蘖臬孽鎳額									
h	[7]血蠍嚇[8]穴俠峽=狹=脅協頁=涉{跋～}挾=									
∅	[7]曄益-[8]熱葉拽咽{嗚～}□{移動}									
#uaʔ										
p	[7]撥缽砵[8]跋鈸									
pʰ	[7]潑[8]伐-{～步，跨步}									
m	[7]抹=秣[8]末沫									
t	[8]奪=									
tʰ	[7]脫=									
l	[8]□{鋪位}									
ts	[8]□{出錯，出亂}									
k	[7]刮=括聒鴰豁適[8]□{快飲}									
kʰ	[7]闊									
h	[7]發=法髮=[8]伐=筏閥罰乏猾滑=									
∅	[7]挖□{豬聲}[8]襪活曰劃-									
#uoʔ										
p	[7]發-{～芽}□{將要}剝-[8]勃渤浡鵓縛									
pʰ	[8]餑曝-									
m	[8]牧{醫治，～病}									
t	[7]輟綴[8]著-									
n	[8]箬{葉子}若-									
l	[7]劣捋{～桌面}掠{又}[8]綠-錄略掠									
ts	[7]綴=啜裰爵拙茁酌=灼{又}輟燭-借祚[8]絕嚼著=									
tsʰ	[7]啜{喝}勺綽鵲雀妁尺-粟-□{擦洗}[8]蓆-□{驚}□{理睬}									
s	[7]雪說削={剝～}[8]石-踅碩-蜀-{一}									
k	[7]國幗蟈蕨□{粗壯}郭廓槨[8]局=侷=									
kʰ	[7]缺=闕厥蹶蕨曲-{唱～}[8]橛{量詞}									
ŋ	[8]月玉-獄-									
h	[7]忽惚笏囫霍藿髪-[8]钁戄穫-惑-									
∅	[7]沃-{澆}[8]越辱鉞刖樾曰=									
#yoʔ										
k	[7]決訣抉腳孑劇□{本領}									
kʰ	[7]卻孑{又}[8]劇{戲～}噱									
ŋ	[8]虐謔瘧									
h	[7]歇蠍{又}									
∅	[7]約=謁蒻□{軟弱}閱約{估計}[8]弱若=悅{又}鑰躍=籥藥									
#ɛiʔ										
p	[7]筆必畢璧煏逼[8]白=帛拔-									
pʰ	[7]疋匹霹僻=劈癖碧薜									
m	[8]密-默脈=									
t	[7]的適-嫡滴窒桎摘=[8]特擇=澤宅=									
tʰ	[7]踢惕倜敕飭𫌅[8]宅={又}									
l	[7]□{僅夠}溧慄[8]勒肋癧仂									
ts	[7]積職績織緝稷跡=跡質執即鯽脊瘠蹠桎=[8]截									
tsʰ	[7]七柒尺=拭-赤=漆斥戚蹙□{水噴}葺[8]賊									
s	[7]昔惜式失室識釋悉適=蟋錫飾息媳熄濕皙蜥析晰蝕-塞-拭-[8]十拾=									
k	[7]吉桔拮急給=亟訖{又}戟棘擊激[8]夾-									
kʰ	[7]泣隙吃{又}[8]□{用}									
ŋ	[7]噢吃吸=訖伋									
h	[7]熻歙{～鼻}奭吸-[8]獲穫{又}劃=峽{～兜，地名}									
∅	[7]乙壹一揖=抑=益=邑狹-[8]狹-									
#aiʔ										
p	[7]八別{知道}百=佰=柏=檗陌									
pʰ	[7]迫{～擊炮}									
t	[7]得德									
tʰ	[7]貼帖忒忑									
ts	[7]則責汁節-鍘=									
tsʰ	[7]側測惻策拆=廁{又}									
s	[7]色瑟虱穡嗇澀塞=									
k	[7]隔=格=革鍥膈潔-									
kʰ	[7]客=刻克剋□{目～，閉眼}咳□{擠}									
h	[7]血-黑赫									
∅	[7]厄扼搤抑軛									
#ouʔ										
p	[7]不腹-福-[8]薄=亳									
pʰ	[7]覆-[8]□{擊打，擊打聲}									
m	[7]沒□{蚊子，小蟲}[8]莫=寞漠={～然}									
t	[7]篤□{～火}督□{點}[8]奪-鐸度凸突□{肥～～}									
tʰ	[7]怵[8]□{往下落}									
n	[8]諾訥=									
l	[7]碌{～～}甪{～裏}□{溜走}[8]樂=落=洛烙絡=酪駱									
ts	[7]卒猝[8]昨={又}鑿=濁擢濯=柞									
tsʰ	[7]出[8]撮{又}戳=簇-									
s	[7]束速觫恤簌戌縮索=[8]挲{用手撫平}									
k	[7]穀穀酷梏鵠礐轂覺{起來}[8]滑-									
kʰ	[7]哭屈-[8]撞搕□{動}磕-									
ŋ	[8]樂{音～}嶽=岳=									
h	[7]福=復[8]學=鶴核劾紇貉									
∅	[7]屋熨鬱{憂～}握[8]□{坐在地上手，腳，臀並用前行}									
#ɔuʔ										
p	[7]博搏蔔{～卦}駁=𦢊爆-膊剝=									
pʰ	[7]璞挨樸撲{～克}									
m	[7]嫫幕漠-{沙～}□{爛了}									
t	[7]掇{～椅}琢啄涿卓悼酌{對～}									
tʰ	[7]託托=柝橐□{熱水衝}拓脫-橐									
n	[7]□{初入水}									
l	[7]踱犖									
ts	[7]作捽昨=									
tsʰ	[7]錯撮蹉{齷～}猝攥{～毛}									
s	[7]率{～領}蟀朔索=									
k	[7]角={牛～梳}覺=刮-各=骨									
kʰ	[7]壑涸窟嚳恪玨確磕瞌愨									
ŋ	[7]顎鱷鄂萼噩諤愕									
h	[7]搕{又}									
∅	[7]惡齷沃=喔									
#øyʔ										
pʰ	[8]雹									
m	[8]墨目-木-茉									
t	[7]竹竺築促[8]毒-									
tʰ	[7]□{不伸}[8]讀-									
n	[7]□{皺}									
l	[8]六陸-磟漉									
ts	[7]叔-粥祝足囑燭=									
tsʰ	[7]蹙觸=躅{又}促=[8]鑿{動詞}									
s	[7]宿叔=淑菽粟=夙肅蓿[8]□{顛簸}									
k	[7]菊掬鞠□{頭納水中}									
kʰ	[7]曲=乞粬蛐童=畜-屈={委～}									
h	[7]旭畜=頊㗜蓄=[8]或惑=斛□{氣喘}									
∅	[7]鬱㗜{又}									
#ɔyʔ										
p	[7]北									
pʰ	[7]珀魄									
m	[7]抹-									
t	[7]觸觕									
tʰ	[7]□{捅，刺}									
l	[7]□{散了}									
tsʰ	[7]軸-									
s	[7]摔									
k	[7]角□{四分之一鬥}									
kʰ	[7]殼									
h	[7]蓄-									
∅	[7]約=謁蒻□{軟弱}閱約{估計}[8]弱若=悅{又}鑰躍=籥藥									
#ɛiʔ										
p	[8]白=帛拔-									
m	[8]密-默脈=									
t	[8]特擇=澤宅=									
tʰ	[8]宅={又}									
l	[8]勒肋癧仂									
ts	[8]截									
tsʰ	[8]賊									
s	[8]十拾=									
k	[8]夾-									
