来源：	宋小丽 2012《山西孝义白壁关话语音研究》；Skanda 整理录入
说明：	
#符号说明：-白=文*俗?待考	
#调值	［1］24［2］11［3］312［5］55［7］2［8］312
#ɿ	
p	［1］蓖批-{～头}［3］彼鄙比秕贬-{～低}［5］蔽敝弊币毙闭箅{～子}陛{～下}被-{～子}婢避篦{～梳}备-鞴-{～马}弼
pʰ	［1］批{～评}砒{～霜}披痞{地～}痹［2］皮疲琵枇啤［3］脾庇擗{～柴叶子：使离开原物体}［5］屁辔{～头}
m	［2］迷糜{～粟}眉-{～眼}冥-{～婚}鸣-{叫～}明-{～亮}名-{～字}［3］米［5］谜命-{要～}□{假～：假装}
t	［1］低钉-{铁～～}靪-{～鞋}羝{圪～：公羊}牴{羊用角～人}［3］底抵{不～事}［5］帝弟第递地
tʰ	［1］堤听-梯停-{～～儿地}［2］题提蹄啼［3］体［5］替涕剃嚏{喷～}
n	［2］泥尼□{压碎}疑倪［3］你拟［5］腻匿泥{～匠}宜-{适～}
l	［2］犁黎离{～开}篱璃{琉～}梨厘狸{圪～：松鼠}□{薄～～地儿：非常薄}铃-{～～}凌-{冻～：冰块}［3］礼李里理=鲤娌{妯～}［5］丽励厉隶荔离{～开半寸}璃{玻～}利痢吏疬
ts	［1］鸡稽支枝肢栀咨姿咨脂饥{～饿}肌几{茶～}滋之芝基几机讥饥［2］屐欺-{狗～：玩赌时捣鬼}［3］挤紫纸只旨指姊子梓止趾址己几{～个}［5］祭际穄济剂计继系{～鞋带}髻技妓寄冀至自字志痣纪记忌既即鲫镜-{～子}静-{～在：安静}
tsʰ	［1］妻齐脐砌雌差{参～}欺青-{～苹果}清-{～汤寡水}精-{～明：清醒}跐{～踏：践踏}［2］疵{吹毛求～}奇骑岐瓷祁鳍慈磁辞词祠其棋期=麒旗［3］启此企齿起杞{～人忧天}祈岂乞［5］契刺赐翅器弃次汽气
s	［1］西溪奚-兮-斯厮{～儿}撕燍{～气：食物变味}施私龇{～牙}师狮尸司丝思诗嬉熙希稀夕恓{～惶}牺醯{～油}星-{～宿}腥-{鱼～气}肥-{足～}畦{菜～～}［2］匙时［3］洗玺徙矢屎死使史驶始喜擤{～鼻涕}［5］细系戏是氏视嗜示四肆似祀巳寺嗣饲士柿事市恃试侍婿{女～子}□{活～～：用纸糊的纸人}
z	［1］伊医衣依［2］宜{便～}仪移夷姨饴遗蝇-{～子}赢-{～家}营-{南～里：地名}［3］依椅倚{～老卖老}蚁矣已以尾-{～巴}溢{水因沸腾而流出}委-{～托}［5］艺缢易{难～}谊义议肄异意毅影-{～虎子：影子}益-亦译-疫-役-颐懿抑-翼-
#ʅ	
tʂ	［1］知蜘{～蛛}蒸-{～馍馍}争-{～吵}［3］整-{～理}［5］滞{～留}制{～造}智{～力}致稚痔置治正-{～好}阵-{一～儿}
tʂʰ	［1］侈{奢～}嗤{～笑}痴［2］池驰迟持［3］耻［5］称-{量具}□{铺～：破布条}
ɳ	［1］粘-{～～：粘的东西}
ʂ	［1］声-{～音}升-{～子：量具}［2］盛-{～饭}绳-{～～索索}［3］婶-{～儿}食-{打野～}［5］世势誓逝剩-
ʐ	［5］日=
#i	
p	［1］鞭-{～子}编-{～书}边-［3］匾-［5］变-辫-辨-辩-便-{方～}遍-{～地}箅{隔～儿：蒸食物的工具}
pʰ	［1］篇-{一～文章}偏-［2］便-{～宜}［3］谝-屄{～～：女阴}［5］骗-片-篇-劈
m	［2］绵-棉-{～线}［3］免-［5］面-
t	［1］掂-{～掇}颠-{～倒}［3］点-典-{～当}□{软～：行贿}［5］店-簟{～席}电-殿-{宫～}奠-{祭～}佃-{～户}垫-{～钱}
tʰ	［1］添-天-［2］甜-田-填-［3］舔
n	［2］你{～们}拈{～起来}年-{过～}阎-{～王}［3］辇-撚-撵-［5］念-艳-{～丽}
l	［2］廉镰-连-联-簾怜-莲-帘-［3］脸-{～面}［5］敛-{收～}殓-{装～}理-{整～}链-{车～子}
tɕ	［1］皆稭{麦～}尖-{～的}煎-{～药}肩-{～膀}［3］姐剪-{～刀}茧-{～子}［5］借籍{～故}剑-践-件-箭-溅-贱-饯-荐-见-
