#ɿ	
ɕ	[1]虚嘘{吹嘘}须需戌[2]徐俗[3]墟{墟市}许[5]絮序叙绪续婿{女壻}恤畜{畜牧}蓄{储蓄}续
∅	[1]淤吁迂狱浴[2]鱼渔于{于此}余余舁{抬}愚虞娱于盂榆逾愉[3]语与{及，给与}雨宇禹羽裕[5]御誉{荣誉}预豫遇寓芋愈{愈好，病愈}喻域郁育玉欲欲
#ʅ	
tʂ	[1]知蜘{蜘蛛}支枝肢脂之芝汁质织[2]执侄稙{早种禾}直值职殖植[3]纸只{只有}旨指止趾址[5]掷炙滞{停滞，积滞}制智栀{栀子花}致雉{雉鸡}稚{幼稚}至置痔治志志痣秩
tʂʰ	[1]吃眵{眼眵}痴嗤{嗤笑}[2]池驰匙{汤匙，钥匙}迟持[3]尺侈{奢侈}豉{豆豉}耻齿[5]赤斥翅饬式
ʂ	[1]施师狮尸尸诗湿失[2]石时鲥十什{什物}拾{拾起来}实食蚀[3]适豕矢屎使史驶始室识[5]释世势誓逝舐{以舌取物}是氏示视嗜士仕柿事试市恃侍饰
#ɚ	
∅	[2]儿而[3]尔耳饵[5]二贰{贰心}
#a	
p	[1]八[2]巴芭疤拔[3]把{把握，把守，一把}欛{2柄}[5]霸欛{柄}坝{堤}坝{平川}爸罢
pʰ	[2]爬琶{琵琶}杷{枇杷}钯{钯子}耙{犁耙，耙地}[5]怕帕
m	[1]妈抹{2}[2]麻痲蟆{蛤蟆}[3]马码{码子}抹{抹布，抹桌子}[5]骂
f	[1]发[2]乏伐筏罚[3]法{方法，法子}[5]发
t	[1]搭[2]答达[3]打[5]大
tʰ	[1]他塌溻{汗溻湿了}[3]塔獭{水獭}[5]踏搨{搨本}沓{一沓纸}榻
n	[1]纳[2]哪{哪个}拿[5]那捺{撇捺}
l	[1]拉腊蜡辣[5]鑞{锡鑞}
k	[5]尬尴尬
kʰ	[1]擖用刀刮
x	[1]哈[2]虾虾蟆
ts	[2]杂
tsʰ	[1]擦[2]茶搽
s	[3]洒洒撒{撒手，撒种}[5]萨
tʂ	[1]渣炸{炸弹}札{用针札}扎[2]闸炸{用油炸}札铡{铡刀}[3]眨{眨眼}[5]䖳{水母}诈榨{榨油}乍栅{栅栏}
