来源：	沈明 2014《山西岚县方言》；sainirwuu 整理录入
说明：	代表城关音系。
#符号说明：	-白=文*俗?待考
#调值	［1］214［2］44［3］312［5］53［7］4［8］312
#ɿ
ts	［1］资姿咨{～文}滋知支枝肢栀之芝正-{～月}蒸-{～馍馍}［3］紫子姊梓{人名}纸只{～有}脂旨{圣～}指止址祉{拜神～：拜祖宗}［5］自字滞{食～：积食}制製智致稚{幼～}至置{～田买地}治志痣这{～回子：这会儿}正-{画贴得不～}志{称重量～一～有多重；～斤两}
ʦʰ	［1］痴{～眉瞪眼}呲{～胡子瞪眼}称-{～东西}鸱{恶老～：老鹰}［2］雌{～雄}瓷垐{～实}慈{～眉善目}磁池迟持程-{～家会，村名}城-{草～，村名}哧{忽～：气喘}［3］此子{抓～～：一种儿童游戏}耻齿［5］刺次伺{～候}翅秤-{一杆～}□{喷水喷得～～地}
s	［1］斯{～文假醋}撕私司饲{～养员}丝思施师狮尸诗寺{上～場，村名}升-{一～米；～子：旧时量米具，也是容量单位}兴-{忽～：得意；高兴}声-{出～}□{蛇～：蜥蜴}□{面～：浆糊}□{忽：气喘}燍{～气：饭馊了的气味}［2］匙{～～：调羹}辞{～典}词祠{～堂}时绳-{～儿：绳子}［3］死屎使史驶始省-{年～：去年}［5］四肆赐似祀巳寺{～窳，村名}嗣饲{～料}世势誓是氏示视士仕柿事试市恃侍{陪～人}剩-{～饭}
#i
p	［1］屄{女阴}鄙{～低}［3］比秕{～子}彼［5］蔽弊币毙闭臂被避备箅病-{生～咧}
pʰ	［1］批披砒{～□ɕiəŋ53：砒霜}［2］琵皮平-{～地}坪-{椿树～，村名}瓶-［3］脾{～气；肝～}［5］屁坪-{阳坡～，村名}
m	［2］迷{～路}谜{～语}眯{笑～圪洞洞：酒窝}眉媚糜{～子}靡弥{接续：这件祆儿袖子太瘦咧，找条布～上}箭䉲{席～子；笤帚～子}明-{天～咧}名-{～字}［3］米［5］迷{～糊}媚命-{～好}
t	［1］低提{～起来}丁-{～家庄，村名}钉-{～子}疔-{～儿：毒疮}［3］底抵顶-{～子}［5］弟帝第递地定-{结果补语标记，相当于普通话的“住”：掩不～；盖～咧；抿～嘴}钉-{～钉子}逮{～捕}
n	［2］泥{和～}尼{～姑}倪宜{庄户人，也一迟也一早，也～糊涂也～好}［3］你［5］泥{～子；～板：盛泥用的木板}腻□{～罐子满咧：骂人恶贯满盈}
l	［2］梨犁黎离篱璃厘狸{～猫}铃-{～子：铃儿}翎-{野鸡～}灵-{魂～：灵魂}狑-{圪～：松鼠}［3］礼李里{一～地}裏{～～外外}理鲤娌{妯～}领-{～子}岭-{～上，村名}［5］例厉励丽隶利吏另-{～外}
tɕ	［1］鸡稽讥饥肌机基姬精-{～明}荆-{～峪堡，村名}□{□taŋ214～牛：阉过的公牛}［3］挤幾{～个}己虮井-{～水}□{一～：索性：一～做完就算咧}［5］际祭济剂计继撃{～腰带}寄技妓冀{～家沟，村名}纪记忌既季甑-{笼～：蒸笼}镜-{～子}净-{干～}正-{～道，村名}径-{鹿～沟，村名}□{～手布：丢手绢儿，儿童游戏}□{量词：一～营生}
tɕʰ	［1］妻欺期清-{～饭：稀饭}青-{～草}轻-{～凉凉：很轻}堤{～上，村名}梯听-{～说：听话}［2］其旗棋齐脐奇骑岐歧祁杞{枸～}睛-{天～咧}亓{姓}题提{～高}啼{哭～～：下葬时吹的曲调名}蹄□{～子粉：土豆淀粉或高粱淀粉做的凉粉儿}［3］启企起岂体［5］契器弃气汽替涕剃屉
ɕ	［1］西飞-牺{～盟会}恓{～惶～惶：可怜}溪嬉熙{人名}希稀星-{～宿：星星}腥-{～油；猪油}吸{～百里，村名}［2］奚{姓}畦肥-携{～带}饧-{～蛋蛋：饴糖块儿}□{睡～咧：小孩儿睡得沉叫不醒}［3］洗玺{玉～}喜蟢{～蛛蛛}省-{～不得：不明白；不懂}醒-{睡～咧：小孩儿睡足了}擤-{～鼻涕}［5］细系繋{联～}係戏婿费-{跑路～鞋，念书～人}
Ø	［1］医衣依应-{叫不～}［2］仪移伊姓夷{蛮～}姨谊疑{～～惑惑：犹豫}沂遗蝇-{～子；苍蠅}贏-{～咧}［3］椅倚{～寄：依靠}已以尾-{～巴}苇-{芦～沟，村名}□{～嗉子圪蛋：喉结}萦{～记：惦记}［5］艺{卖～的}翳{～子}义议易意异毅亿忆亦{人云～云}翼{～城，县名}□{～□tɕi：格外：～好}影-{～□xu子：影}
#u
p	［3］补捕{逮～}堡{～上，村名}［5］布佈{公～}部步抱{～紧}伏{(扶妇切)～鸡儿子：孵小鸡}
pʰ	［1］铺{～炕}扑{～克}［2］蒲{～团}菩{～萨}脯［3］谱普堡{荆峪～，村名}［5］铺{～子}
m	［2］模{～子；～范}谋{思～}［3］某亩母［5］暮墓幕募牟姓牧务-{致力于：～住个甚就非得是个甚}
f	［1］夫肤敷麸［2］俘扶芙符{～合}浮蜉{蚂蚍～：蚂蚁}蝠{夜壁～：蝙蝠}傅{师～}［3］府{～里：旧时专指太原}俯甫{杜～}斧抚{～恤金}腐辅否［5］付傅姓赋父赴附富妇负副符{画～}阜{曲～}
t	［1］都{首～；～是}嘟{圪～嘴：噘嘴}□{圪～：拳头}［3］堵赌肚{～子：做食品的牲畜的胃}［5］杜肚{～子疼；肠肠～～}度渡={～口}镀{电～}
tʰ	［2］徒屠涂塗图［3］土吐{～痰}［5］兔渡-{～水水；过摆渡}吐{～沫}
n	［3］女{～子：女孩儿}
ts	［1］猪诛{～九族}蛛{～～：蜘蛛}株朱殊珠居{～舍：家}诸{～葛亮}锥-{～儿：锥子}［3］阻主拄煮［5］苎{～麻}著助驻注柱住蛀炷{一～香}铸缀-{～扣子：钉扣子}坠-{耳～：耳坠}
tsʰ	［1］初吹-{风～得；～牛}［2］除锄厨［3］褚姓储楚础处{为人～事}杵暑{大～；小～}［5］处{到到～～：到处}□{擦：写错唠用橡皮～唠；胳膊上叫～唠一块皮}
s	［1］梳疏{稀～}蔬{菜～：蔬菜}书舒{～坦}枢输殊□{～不□ɕiəŋ312：伸懒腰}［2］谁-［3］鼠黍署{专～}薯{红～}数{动词}水-{喝～}［5］庶{～民百姓}恕数{名词}竖树睡-{～觉}戍{～子，村名}□{酒～子：小酒壶，多用于祭祀等庄重场合}
ʐ	［2］如茹擩{～我一圪都(拳)；～出手来}［3］乳{炼～}［5］擩{～进去}
k	［1］姑菇孤箍{桶～}□{樗～：臭椿}［3］古估{～价}股鼓膨{水～：腹水}［5］雇顾故固
kʰ	［1］枯{～树}骷{干～髅：辱骂没有儿子的人}□{眼～钵子咧：有眼无珠：你眼～钵子咧，那是个坏人么你看不出来？}［3］苦［5］库裤□{～镰：镰刀的一种，用来割粗硬的秸秆，如高梁、玉米、谷子等}
x	［1］乎{几～：几～没啦赶上车；几～没摔倒}呼［2］胡湖糊煳髯鬏瑚狐{～子：狐狸}壶和{(麻将)～咧}［3］虎浒{水～}唬{吓～}［5］互护户沪
Ø	［1］乌{黑～蛇}污巫{游方郎中}诬{～告}［2］吴无蜈{～蚣}［3］五伍午忤{～逆}武捂舞［5］误悟务={致力于：做甚的～甚}雾戊乌{黑～～的}呜
#y
n	［2］鱼-渔-盂-{钵～：钵子}［3］女{男～}
l	［2］驴［3］吕侣铝旅缕屡垒-{～墙}［5］泪-虑滤{～过：过滤}累-{连累：你走得太慢，队伍叫你～住咧}
tɕ	［1］居车{～马炮}拘驹堆-{量词，一圪～：一堆儿}［3］举咀-{碾～，村名}嘴-矩{不依规～，不成方圆}［5］巨拒距据锯聚句具惧俱犋{～牛}剧醉-{喝～咧}柜-{平面～：平柜}
tɕʰ	［1］蛆趋区驱瞿{姓}樗{～□ku214：臭椿}［2］渠［3］取{争～}娶{婚丧嫁～}趣{兴～}□{～子：中式衣服的纽子}［5］去{～火}脆-{～不～}
ɕ	［1］虚兄-{～弟；弟～}□{把米、面等放在簸箕里左右摇晃、转动}［2］徐随-{～便}须{必～}需{～要}［3］许水-{渡～～：过摆渡}［5］序叙绪续{～女：前妻的父母称续弦}絮{杨～}岁-{～数}遂-{半身不～}隧-{～道}穗-讳-{忌讳：有秃的～秃，有瞎的～瞎}
Ø	［1］淤{血～}吁{呼～}［2］於于盂={～县}余馀愚虞{姓}瑜{周～}榆茔-{坟墓：明～暗宅}峪{白桦～，村名}□{吆喝骒马转弯}［3］语雨宇禹羽苇-{～子：芦苇}［5］舁{两人抬：～水}御誉预豫遇寓喻尉{～迟恭}慰-{～问；～抚}郁育{教～}玉{～石}峪{柳～，村名}浴{闹沐～,村名}娱{～乐}
#ər
Ø	［2］儿{侄～子}而［3］耳扔{～色儿：扔色子}尔{～朱荣：北魏时期太原王。今古城乡的遗留城墙相传为尔朱荣所建}［5］二贰
#a
p	［1］巴疤芭扒{～梁上坡；～起来}□{海～～：蛤蜊}［3］把{～门关上；一～米}［5］霸把{刀～}坝罢浜{《沙家～》}□{撅：～起后㞘子(屁股)}
pʰ	［2］爬钯［5］怕乓{乒～球}
m	［1］妈［2］麻痂痲{～疹}蟆{蛤～：青蛙}［3］马码玛蚂{～蚍蜉；蚂蚁}［5］骂
t	［1］爹{～～：面称父亲}［3］打［5］大{～师傅：掌勺厨师}道八{～靡，村名}
tʰ	［1］他［5］塔{～上，村名}
n	［2］拿{吃～卡要}□{～糕：把土豆蒸熟碾成泥，蘸着调料吃}［3］哪{～一天？}
l	［1］拉［3］冷-{～水}［5］旯{圪～：角落}落{～下}□{跨：一步～过去}
ts	［1］渣臜{腌～：脏}［3］咋{怎么：-来的；～来来？}拃闸{～门}［5］乍{～儿：乍一下：多年不念，～儿分不开这两块字}诈榨炸{～弹}奓{～刃：宽刃}痄{腮～：腮腺炎}
tsʰ	［1］楂{山～}差{不～甚：差不多}叉杈{树～子}钗{玉～}［2］茶搽查査碴{胸～：可供食用的猪腔骨茬}咱{～们}镲{～儿}［5］岔差{～劲}杈{呛门圪～：较粗大的门闩}
s	［1］沙{～子}纱砂杉{～树：云杉}萨{菩～(新)}□{面～子：一种点心，类似萨其马}［3］洒栅{门～：栅栏}石{乱～，村名}［5］沙{～沙子}□{虫蛀：虫儿把木头～得不结实咧}
kʰ	［3］卡{吃拿～要}
ŋ	［1］阿{～弥陀佛}腌{～臜}［3］哑
x	［1］哈{～气}［2］罅{～门}［3］匣-{单念}［5］下-{～雨}夏-{～日：夏天}吓-{～一跳}
Ø	［2］哪{～块？～一块？}［5］哪{～来的？}
#ia
n	［2］牙-芽-{豆～}衙-娘{面称母亲}□{海～花：凤仙花}［3］哑［5］轧压{～垐实唠}
l	［3］两{～块；几斤几～？}［5］□{稍等，可能是“立一立”的合音：我和他～～再去}
tɕ	［1］家镓稼加枷痂嘉佳夹{膈节～窝：膈肢窝}价{似～：似的：说话兀口气活像块当官似～}［3］假{真～}贾［5］假{放～}架驾嫁价家{安～嫣，村名}将{麻～}
tɕʰ	［1］揢{～孩：抱孩子}［3］卡{～子}
ɕ	［1］虾［2］霞□{～说：说反话让人难堪}［5］厦{～门；高楼大～}下={～棋}夏={～至}
Ø	［1］丫{～环}［2］涯{天～}［3］雅={人名}仰={瞻～}［5］亚压{～宝}日{“一日的合音：你是哪～来的？}
#ua
ts	［1］抓［3］爪{～子；～牙}
tsʰ	［5］□{～～底：很快的样子：你～～底做哇！}
s	［3］耍{～手艺的}［5］□{～～底：很快的样子：～～底来哇！}
ʐ	［2］□{～名：为小利损害名声}
k	［1］瓜{木～：当地的一种灌木；松～～：松球}［3］寡剐［5］挂卦褂掛
kʰ	［1］夸［3］垮［5］跨挎{～包}胯
x	［1］花华{中～}华{姓}［2］铧划{～船；～拳}［5］化话画划{计～}桦{～树塔，村名}
Ø	［1］哇{～声踏气：高声张扬的样子}挖{耳～子：掏耳朵的小勺儿}窳{天～，村名}［3］瓦{砖～}搲{～米～面}［5］瓦{～刀}窪{田～，村名}窳{黑龙～，村名}□{用铡刀铡}哇{叫得～～地}
#ya
tɕʰ	［5］曲{可能是“曲立”的合音，“曲立”是一村名}
Ø	［5］哕{干～：干呕；吐得～～地}
#ɤ
p	［1］波菠玻□{一～走一～说：一边走一边说}［3］簸{～一～}［5］簸{～箕}□{大口吃的样子：孩饿咧，吃得～～地}
pʰ	［1］坡［2］婆［5］破
m	［2］魔{～鬼}磨{～刀}摩{～托}［3］抹{～黑}［5］磨{～面；～地}魔{用筷子扶乩：～出来哪块神来？}□{荆条做的耙子}
t	［1］多［5］舵大{～麻：蓖麻；～年下；～小}驮{～子}
tʰ	［1］拖驼{～绒}［2］驮{～驮子}
n	［2］挪［5］懦{～弱}
l	［2］罗萝箩锣啰{～唆}骡螺{～丝}□{～门：正门}［3］□{～动：触；碰}［5］□{～～而而：做事待做不待做的样子：这块事他不想做，你看他～～而而的}
ʐ	［3］惹
#ɿe
ts	［1］遮［3］左佐者［5］蔗{甘～}
tsʰ	［1］搓车{马～}奢{～侈}［2］蛇{大～头，村名}［3］扯朝{赵～舍，村名}［5］扯{拉扯的样子：～地推}
s	［1］赊［2］蛇佘{～太君}［3］舍{～不得}［5］射麝社舍{居～：家}□{秋～：蝉}
#ie
p	［5］迸-{～裂子}别{～扭}□{淘气：这孩可～嘞}
pʰ	［2］棚-{～子：院子南墙堆放草的棚子}［3］苤{～蓝}□{摘；掰：～一朵花；～玉稻黍}［5］□{～～而而：两眼离得远且鼻子扁平的难看样子：眉眼长得～～而而地家}
m	［2］虻-{～甲：牛虻}□{～～□ɕie44□ɕie44：腼腆的样子}［3］猛-{～不唠打我一下}［5］□{犁；耙：～地}□{～～：柳笛；唢呐等的发音器}
t	［1］爹{父亲背称}□{可能是“底样”的合音，这～做；这～高}［5］店{～上，村名}□{这～～：这里}
n	［2］苶{～子：傻子}［3］你{表领属：～家行；～的袋袋}
l	［2］罗{～□ue312蛛蛛：结网的大蜘蛛}［3］咧{～开：绽子深咧，肉～开咧}□{□pəʔ～：“撇”的分音后字}［5］□{有意无意拖延：早说叫他做，他～得还没啦做}
tɕ	［1］耕-{～地}［3］姐［5］借
tɕʰ	［1］□{～树：落叶松}［2］茄［3］且{～等等：稍等}［5］青-{铁～，村名}钱
ɕ	［1］些［2］斜邪□{□mie44□mie44～～：腼腆的祥子}［3］写［5］泄泻{～肚}卸谢灺{熄灭：火～咧；灯～咧}杏-{～儿；～仁}
k	［1］哥歌□{□luəʔ～：连枷}
kʰ	［3］可{～咧：病轻了}［5］可{～意：合心意}
ŋ	［1］屙［2］蛾鹅俄讹硪{行～：打夯}［3］我［5］饿
x	［1］呵{打～牙：打哈欠}［2］河荷{～花}何饸{～烙：用特制礤床压制而成的长面条}［3］荷{拿：～过锄儿来}［5］贺河{东～，村名}荷{薄～}
Ø	［2］爷遗{遗落：～下一个字；把东西～在你家行咧}［3］也野［5］夜液{输～}燕{～儿}
#ue
t	［3］朵躲□{打～：打短工}［5］剁惰垛{柴禾～；～口；-垛子}
tʰ	［1］□{～头纳间：形容身材矮小、长相不周正：长得～头纳间的，谁能看上你嘞？}［2］砣［3］妥{停～：(事情)办完了}椭［5］唾埚{圪～，村名}□{圪～：一种面食；状似“猫耳朵”}□{～□tʰəʔlau44：捻棉线或麻绳用的简易工具}
l	［5］摞
ts	［5］座坐
tsʰ	［2］矬{身～矮小}［5］锉错
s	［1］唆{教～}［3］锁琐唢
ʐ	［1］诿［5］□{受压下塌：～下腰咧；草叫压得～下去咧}
k	［1］锅［3］果裏［5］过
kʰ	［1］科棵颗{一～米}［3］颗{～～：颗粒状的东西}［5］课骒{～马：母马}阔{～气}
x	［2］禾和{～面；～气；我～你}［3］火伙［5］和{～子饭，小米、蔬菜、面条煮在一起，类似于汤面}货祸壑{卧石～：古城乡和皇姑梁中间的一道断梁}
Ø	［1］窝莴［3］□{罗～蛛蛛：结网的大蜘蛛}［5］卧□{虫～咧：虫蛀了}
#ye
tɕ	［5］角{两～，村名}
tɕʰ	［2］瘸［3］却{躲避：～艰避难}
ɕ	［1］靴［2］横-{～线线：旧式织布机上的纬线；～躺竖卧}
Ø	［1］□{讥笑；挤兑：他叫人～下去咧}［3］月{正～；腊～}［5］月{你的生日在几～嘞？}
#uə
p	［1］帮邦［3］榜绑［5］谤{诽～}棒{生～：楞头青}
pʰ	［1］胮{肿：～眉肿眼}［2］旁螃庞{姓}［5］胖
m	［1］馍{～～：圆馒头}［2］芒{～种}忙茫盲{文～}［3］莽{王～}蟒
f	［1］方妨{不～事：不碍事}芳蜂{～儿：蜜蜂}［2］防房［3］仿{～引子}纺访坊{楼～坪，村名}［5］放坊{马～，村名}
t	［1］当{～时}裆［3］党挡［5］当{～铺}荡
tʰ	［1］汤［2］堂棠唐糖塘搪{～泥：用泥套炉子}屯{～儿营：村名(〈岚县志》写作“屯营”)}［3］躺{～下}［5］趟烫
n	［1］那{～儿；～块}［2］囊
l	［2］郎廊狼榔［5］浪朗□{□xəʔ～：“巷”的分音后字}□{□pəʔ～：“棒”的分音后字}
ts	［1］脏将{趋向补语标记：黑～来；跑～来}张章樟庄装这{～时候；～人；～东西}［3］长{生～}涨掌［5］葬脏{五～}藏{西～}丈仗杖匠帐账胀障瘴状壮庄{普家～，村名}□{用棉花絮：～被子；～棉祆}
