原文		單字	IPA轉寫	
A				
	A	亞打	ʔ	a
	Ai	矮隘帝大	ʔ	ai
	Ak	軛	ʔ	ak
	Am	膽闇	ʔ	am
	An	晏但	ʔ	an
	Ang	等	ʔ	aŋ
	Ap	鴨答	ʔ	ap
	At	押達	ʔ	at
	Au	坳刀	ʔ	au
C				
Ch	a	渣	tʃ	a
Ch'	a	詫	tʃʰ	a
Ch	ai	制債	tʃ	ai
Ch'	ai	踹	tʃʰ	ai
Ch	ak	側澤	tʃ	ak
Ch'	ak	拆	tʃʰ	ak
Ch	am	斬	tʃ	am
Ch'	am	杉	tʃʰ	am
Ch	an	盞	tʃ	an
Ch'	an	產	tʃʰ	an
Ch	ang	爭	tʃ	aŋ
Ch'	ang	撐	tʃʰ	aŋ
Ch	ap	劄	tʃ	ap
Ch'	ap	插	tʃʰ	ap
Ch	at	軋	tʃ	at
Ch'	at	察	tʃʰ	at
Ch	au	找	tʃ	au
Ch'	au	炒	tʃʰ	au
Ch	ei	…	tʃ	ei
Ch'	ei	始	tʃʰ	ei
Ch	eiê	者	tʃ	eiɐ
Ch'	eiê	且	tʃʰ	eiɐ
Ch	eiêk	酌	tʃ	eiɐk
Ch'	eiêk	綽	tʃʰ	eiɐk
Ch	eiêng	張	tʃ	eiɐŋ
Ch'	eiêng	昌	tʃʰ	eiɐŋ
Ch	em	蘸	tʃ	em
Ch'	em	椿舂	tʃʰ	em
Ch	en	政	tʃ	en
Ch	ǐng	政	tʃ	ɪŋ
Ch'	en	程	tʃʰ	en
Ch'	ǐng	程	tʃʰ	ɪŋ
Ch	ep	…	tʃ	ep
Ch'	ep	*	tʃʰ	ep
Ch	eu	縐	tʃ	eu
Ch	i	至主	tʃ	i
Ch'	i	恥	tʃʰ	i
Ch	iau	照	tʃ	iau
Ch'	iau	超	tʃʰ	iau
Ch	iêk	隻	tʃ	iɐk
Ch'	iêk	尺	tʃʰ	iɐk
Ch	iêm	沾	tʃ	iɐm
Ch'	iêm	諂	tʃʰ	iɐm
Ch	iên	戰	tʃ	iɐn
Ch'	iên	廛	tʃʰ	iɐn
Ch	iêt	折	tʃ	iɐt
Ch'	iêt	澈	tʃʰ	iɐt
Ch	ǐk	直	tʃ	ɪk
Ch	et	直	tʃ	et
Ch'	ǐk	赤	tʃʰ	ɪk
Ch	im	針	tʃ	im
Ch'	im	沉	tʃʰ	im
Ch	in	眞	tʃ	in
Ch'	in	袗	tʃʰ	in
Ch	ip	汁	tʃ	ip
Ch	it	質	tʃ	it
Ch'	it	*	tʃʰ	it
Ch	iu	周	tʃ	iu
Ch'	iu	臭獸	tʃʰ	iu
Ch	oê	阻	tʃ	oɐ
Ch'	oê	初	tʃʰ	oɐ
Ch	oên	專	tʃ	oɐn
Ch	oêt	拙	tʃ	oɐt
Ch'	oêt	怵	tʃʰ	oɐt
Ch	oi	喙	tʃ	oi
Ch	ok	濯捉	tʃ	ok
Ch'	ok	戳	tʃʰ	ok
Ch	ong	壯	tʃ	oŋ
Ch'	ong	床	tʃʰ	oŋ
Ch	ui	追	tʃ	ui
Ch'	ui	處吹	tʃʰ	ui
Ch	uk	竹	tʃ	uk
Ch'	uk	畜	tʃʰ	uk
Ch	un	准津	tʃ	un
Ch'	un	春川	tʃʰ	un
Ch	ung	忠	tʃ	uŋ
Ch'	ung	充	tʃʰ	uŋ
Ch	ut	*	tʃ	ut
Ch'	ut	出	tʃʰ	ut
E				
	Ei	地蔕	ʔ	ei
	Eiau	釣	ʔ	eiau
	Eiê	爹	ʔ	eiɐ
	Eiêk	諑	ʔ	eiɐk
	Eiêm	點	ʔ	eiɐm
	Eiên	*	ʔ	eiɐn
	Eiêng	定	ʔ	eiɐŋ
	Eiêp	碟	ʔ	eiɐp
	Em	*	ʔ	em
	En	典定	ʔ	en
	ǐng	典定	ʔ	ɪŋ
	Ep	…	ʔ	ep
	Et	靮跌	ʔ	et
	ǐk	靮跌	ʔ	ɪk
	Eu	區鬥	ʔ	eu
F				
F	a	花	f	a
F	ai	快	f	ai
F	ak	*	f	ak
F	an	犯	f	an
F	ang	宏	f	aŋ
F	at	法	f	at
F	ei	非費慧	f	ei
F	eiê	…	f	eiɐ
F	eiêt	*	f	eiɐt
F	eu	浮	f	eu
F	oê	火	f	oɐ
F	oên	寬緩	f	oɐn
F	oêt	濶	f	oɐt
F	oi	悔	f	oi
F	ok	縛	f	ok
F	ong	方	f	oŋ
F	u	富	f	u
F	uk	福	f	uk
F	un	訓	f	un
F	ung	風	f	uŋ
F	ut	佛	f	ut
H				
H	a	夏他	h	a
H	ai	係鞋體太	h	ai
H	ak	黑	h	ak
H	am	陷堪貪	h	am
H	an	限恨炭	h	an
H	ang	行藤	h	aŋ
H	ap	恰歃合塔	h	ap
H	at	乞撻	h	at
H	au	考好討	h	au
H	ei	喜	h	ei
H	eiau	曉挑	h	eiau
H	eiê	靴	h	eiɐ
H	eiêk	喫踢	h	eiɐk
H	eiêm	險添	h	eiɐm
H	eiêng	香	h	eiɐŋ
H	eiêp	怯貼	h	eiɐp
H	em	咸氹	h	em
H	en	愆兄天廳	h	en
H	ǐng	愆兄天廳	h	ɪŋ
H	ep	*	h	ep
H	et	歇鐵剔	h	et
H	ǐk	歇鐵剔	h	ɪk
H	eu	口偷	h	eu
H	iêng	艇	h	iɐŋ
H	im	謙欽	h	im
H	in	欣歆	h	in
H	ip	泣	h	ip
H	iu	休	h	iu
H	oê	河拕	h	oɐ
H	oên	寒	h	oɐn
H	oêt	渴	h	oɐt
H	oi	開胎	h	oi
H	ot	學託	h	ot
H	ong	康湯	h	oŋ
H	ou	土	h	ou
H	ui	去退	h	ui
H	uk	哭禿	h	uk
H	un	犬獻吞盾	h	un
H	ung	洪同	h	uŋ
H	ut	血缺	h	ut
I				
	It	噎	ʔ	it
	Iu	丟	ʔ	iu
K				
K	a	家	k	a
K'	a	卡掯	kʰ	a
K	ai	鷄佳	k	ai
K'	ai	溪啟	kʰ	ai
K	ak	革	k	ak
K'	ak	…	kʰ	ak
K	am	監泔	k	am
K'	am	嵌	kʰ	am
K	an	間	k	an
K'	an	很	kʰ	an
K	ang	耕	k	aŋ
K'	ang	鯁	kʰ	aŋ
K	ap	甲	k	ap
K'	ap	*	kʰ	ap
K'	at	…	kʰ	at
K	au	樛膠高	k	au
K'	au	靠巧	kʰ	au
K	ei	基	k	ei
K'	ei	暨	kʰ	ei
K	eiê	*	k	eiɐ
K'	eiê	茄	kʰ	eiɐ
K	eiêk	腳	k	eiɐk
K'	eiêk	却	kʰ	eiɐk
K	eiêng	薑	k	eiɐŋ
K'	eiêng	强	kʰ	eiɐŋ
K'	êm	蠄	kʰ	ɐm
K	en	見敬	k	en
K	ǐng	見敬	k	ɪŋ
K'	en	乾傾矜	kʰ	en
K'	ǐng	乾傾矜	kʰ	ɪŋ
K	ep	蛤	k	ep
K'	ep	給	kʰ	ep
K	et	潔佶激	k	et
K	ǐk	潔佶激	k	ɪk
K'	et	揭劇	kʰ	et
K'	ǐk	揭劇	kʰ	ɪk
K	êt	㓤	k	ɐt
K'	êt	咳	kʰ	ɐt
K	eu	垢	k	eu
K'	eu	叩溝	kʰ	eu
K	iau	嬌	k	iau
K'	iau	橋	kʰ	iau
K	iêk	蹻	k	iɐk
K'	iêk	屐	kʰ	iɐk
K	iêm	兼	k	iɐm
K'	iêm	鉗	kʰ	iɐm
K	iêng	頸	k	iɐŋ
K'	iêng	擎	kʰ	iɐŋ
K	iêp	劫及	k	iɐp
K	iêt	*	k	iɐt
K'	iêt	*	kʰ	iɐt
K	im	金	k	im
K'	im	琴	kʰ	im
K	in	根	k	in
K'	in	芹	kʰ	in
K	ip	急	k	ip
K'	ip	汲跲	kʰ	ip
K	it	吉	k	it
K	iu	九	k	iu
K'	iu	求	kʰ	iu
K	oê	歌過	k	oɐ
Kw	oê	歌過	kw	oɐ
K	oên	干官	k	oɐn
Kw	oên	干官	kw	oɐn
K	oêt	割	k	oɐt
Kw	oêt	割	kw	oɐt
K'	oêt	豁	kʰ	oɐt
K'w	oêt	豁	kʰw	oɐt
K	oi	改個	k	oi
Kw	oi	改個	kw	oi
K'	oi	概儈	kʰ	oi
K'w	oi	概儈	kʰw	oi
K	ok	各椁	k	ok
K'	ok	确霍	kʰ	ok
K	ong	江	k	oŋ
K'	ong	伉港筐	kʰ	oŋ
K	u	古	k	u
K'	u	枯箍	kʰ	u
K	ui	居	k	ui
K'	ui	軀	kʰ	ui
K	uk	谷	k	uk
K'	uk	曲	kʰ	uk
K	un	捐君	k	un
K'	un	拳羣	kʰ	un
K	ung	恭	k	uŋ
K'	ung	窮戇	kʰ	uŋ
K	ut	骨鷸	k	ut
K'	ut	屈	kʰ	ut
Kw	a	瓜	kw	a
K'w	a	誇罣	kʰw	a
Kw	ai	怪	kw	ai
K'w	ai	…	kʰw	ai
Kw	ak	湱	kw	ak
K'w	ak	緙	kʰw	ak
Kw	an	關	kw	an
Kw	ang	轟鑛	kw	aŋ
K'w	ang	逛筐	kʰw	aŋ
Kw	at	聒刮	kw	at
Kw	ei	貴	kw	ei
K'w	ei	愧虧	kʰw	ei
Kw	en	炯	kw	en
Kw	ǐng	炯	kw	ɪŋ
K'w	en	*	kʰw	en
K'w	ǐng	*	kʰw	ɪŋ
Kw	et	虢	kw	et
Kw	ǐk	虢	kw	ɪk
K'w	et	隙洫	kʰw	et
K'w	ǐk	隙洫	kʰw	ɪk
Kw	it	…	kw	it
Kw	ok	國	kw	ok
K'w	ok	廓擴	kʰw	ok
Kw	ong	光	kw	oŋ
K'w	ong	狂	kʰw	oŋ
L				
L	a	罅	l	a
L	ai	犁賴	l	ai
L	ak	勒	l	ak
L	am	婪	l	am
L	an	懶	l	an
L	ang	舲冷	l	aŋ
L	ap	蠟	l	ap
L	at	辣	l	at
L	au	勞	l	au
L	ei	李裏	l	ei
L	eiê	*	l	eiɐ
L	eiêk	掠	l	eiɐk
L	eiêng	兩	l	eiɐŋ
L	em	霖	l	em
L	en	連令	l	en
L	ǐng	連令	l	ɪŋ
L	ep	笠	l	ep
L	et	歷	l	et
L	ǐk	歷	l	ɪk
L	eu	蔞	l	eu
L	iau	繚	l	iau
L	iêk	…	l	iɐk
L	iêm	廉廩	l	iɐm
L	iêng	靚	l	iɐŋ
L	iêp	獵	l	iɐp
L	im	林	l	im
L	in	憐鄰	l	in
L	ip	苙粒	l	ip
L	it	劣	l	it
L	iu	柳	l	iu
L	oê	羅	l	oɐ
L	oên	亂卵	l	oɐn
L	oêt	埒	l	oɐt
L	oi	來	l	oi
L	ok	洛	l	ok
L	ong	狼	l	oŋ
L	ou	路	l	ou
L	u	…	l	u
L	ui	雷戾	l	ui
L	uk	六	l	uk
L	un	聯	l	un
L	ung	龍	l	uŋ
L	ut	慄	l	ut
Ll		斯	ɬ	
