#注释	永嘉县志，落橙抄
#声调	[1]44[2]31[3]45[4]34[5]52[6]22[7]323[8]212
#a	
tɕ	[1]尖沾兼煎疑颤肩坚瞻[3]检剪展茧跣笕视涀[5]占佔剑箭溅战建荐见牮[7]接摺褶劫哲黎折浙节结洁䥛截
tɕʰ	[1]歼签谦迁笺千牵[3]遣歉浅[5]欠勤{〜快}[7]切揭挈妾
dʑ	[2]钳搛{大量〜菜}乾{〜坤}虔掮[4]俭件[6]缠键健腱[8]杰彻撤辙掷搩{抱}
ȵ	[2]倪泥宜尼疑沂严言谚年腻俨蹑研-[4]仪议蚁你拟染俨碾[6]艺谊义毅验谚[8]聂镊业孽热匿溺
ɕ	[1]仙鲜轩先杴{火〜}[3]陕险筅显癣[5]苋线扇宪献[7]胁挟设歇蠍携
ɦ	[2]协潜炎盐阎檐焰蝉禅单{姓}然燃延前贤筵弦沿蟾砚=[4]善膳演[6]渐盐{动词}醃践贱现饯艳[8]涉叶页协舌折-{〜本}截
∅	[1]蔫焉烟[3]淹掩阉厣堰燕宴[5]厌䞁[7]页咽噎
#ɿ	
ts	[1]知之蜘恣姿咨脂兹滋梓辎芝[3]子旨指姊紫止趾址础{磉〜}[5]智至置志痣致[7]只滓
tsʰ	[1]雌疵差{参〜}痴嗤[3]此耻齿翅[5]次侈刺翅涩{〜口}
dz	[2]迟弛持[4]雉稚痔[6]治恃
s	[1]私思尸师狮施司丝筛-{米〜}撕斯厮腮梳-矢徙[3]徙{又}死使史驶=始[5]赐四肆思{意〜}史{御〜}试
z	[2]而词祠嗣饲时鲥辞慈磁嗜瓷梭豉鋤-{〜头}[4]是尔似巳士仕市柿耳祀在-[6]自示视字伺寺事氏侍饵
∅	[1]伊医衣依[3]野椅倚[5]爷{阿〜}易-意以忆亿
#ʮ	[1]租诸诛蛛株朱珠追锥居车-{〜马炮}拘俱{〜全}驹圭闺规窥龟轨癸-归-{当〜}[3]祖主嘴举诡癸-愧鬼[5]著拄驻注蛀铸醉-据锯句圭{又}闺{又}季贵
ts	[1]租诸诛蛛株朱珠追锥居车-{〜马炮}拘俱{〜全}驹圭闺规窥龟轨癸归-{当〜}[3]祖主嘴举诡癸{又}愧鬼[5]著拄驻注蛀铸醉-据锯句圭{又}闺{又}季贵
tsʰ	[1]粗趋枢吹炊赤-{〜脚}区驱亏-{吃〜}[3]处{〜理}暑{大〜}娶取[5]醋处趣去
dz	[2]除储槌锤隧渠巨拒瞿逵葵[4]绪褚署薯=柱跪矩
s	[1]苏酥书舒须需输虽绥尿-靴墟嘘毁辉挥[3]暑{〜假}数-{动词}水许毁{又}[5]素-{吃〜}诉塑絮暑{又}黍庶恕数-{路〜}戍岁税穗毁-{换牙}讳纬
z	[2]如汝儒殊随遂{又}隧{又}谁余与[4]序叙聚竖乳蕊[6]树瑞穗{又}
∅	[1]於淤迂于
#ø	[3]姅{女阴}[5]半[7]钵泼
p	[3]姅{女阴}[5]半[7]钵泼
pʰ	[1]潘[5]判[7]泼{又}扑-
b	[2]般搬盘盆[4]伴拌绊叛胖=[6]叛{又}[8]钹勃悖
m	[2]瞒馒鳗[4]满[6]幔[8]末沫抹没
t	[1]端敦墩[3]短[5]断{决〜}锻[7]答掇
tʰ	[1]贪[5]探[7]脱
d	[2]潭团糰屯臀-抟[4]断囤[6]段缎钝遁[8]突夺
n	[2]南男[4]暖[6]嫩[8]纳
l	[1]𠠪𫫵{狗〜〜}[2]鸾銮栾𠠪峦[4]漤{〜柿}卵-{男阴}[6]乱论[8]粒
ts	[1]尊蹲=钻{〜洞}簪[3]纂[5]钻[7]噆{刺激痛感}匝{年龄计算单位，十二岁为一匝}
tsʰ	[1]参汆=村[3]惨窜篡忖[5]寸窜-{双脚并跳}
dz	[6]栫{塞子}
s	[1]闩拴孙酸[3]损[5]算蒜逊[7]刷涮{饭〜}
z	[2]存蚕[4]凿{动词}[8]凿{名词}杂
k	[1]甘柑沿跟-根[3]感敢橄[7]合-{〜股}鸽
kʰ	[1]刊勘堪龛[3]砍款[5]坎看[7]渴咳丐
ŋ	[1]兀玩-
h	[1]蚶蛤-憨酣[3]罕[5]汉{罗〜}爆熯
ɦ	[2]含痕[4]骇{又}[6]撼[8]合盒
∅	[1]恩庵[3]哕{〜起,即恶心}[5]暗案
#yø	[1]褒[3]保堡煲宝褒[5]报
tɕ	[1]专砖绢捐[3]转卷[5]眷卷{又}绢{又}[7]决拙
tɕʰ	[1]穿喘圈[3]犬喘[5]栓劝券[7]出
dʑ	[2]传椽篆拳权颧[6]传{〜记}倦[8]术掘
ȵ	[2]愚虞危伪阮渔[4]软[6]御遇寓蕊{花〜}伪[8]月
ɕ	[1]欢宣喧婚荤鼾[3]选[5]汉焕唤楦[7]血说雪
k	[1]干肝官棺观冠跟-[3]竿杆秆赶管绾馆琯[5]干{〜活}贯灌罐观{寺〜}冠{〜军}[7]骨割
kʰ	[5]困-睏[7]窟
ɦ	[2]寒韩砚-{〜瓦}桓丸完全泉船员园圆缘辕玄袁眩魂[4]远缓旱[6]汗焊翰岸旋院县眩{又}悬换-[8]穴越阅悦述绝
∅	[1]安桉鞍冤渊温瘟[3]碗豌剜腕苑稳砚-{又}[5]案怨熨
#ə	[1]唠[2]劳捞涝牢痨{〜病}[4]老[6]痛{痛〜}
p	[1]褒[3]保堡煲宝褒[5]报
pʰ	[1]㯱{柚子}蜉{肥而不实}[3]剖
b	[2]袍[4]抱[6]暴曝
m	[2]毛谋牡[4]亩[6]冒帽茂贸
f	[3]否孬
V	[2]浮[4]阜[6]复{旧读“〜兴”}
t	[1]刀叨雕-{〜鹰}[3]岛倒祷捣[5]到倒{〜水}
tʰ	[1]滔叨{又}绦[3]讨[5]套
d	[2]桃逃淘陶萄涛糖-{〜糕}[4]道稻[6]掏盗导
n	[4]脑恼瑙
l	[1]唠[2]劳捞涝牢痨{〜病}[4]老[6]痨{瘑〜}
ts	[1]遭糟[3]早枣蚤[5]躁灶澡
tsʰ	[1]草{潦〜}村-{〜班}[3]草[5]操糙
s	[1]骚[3]嫂[5]扫
z	[1]曹槽𤵥[4]皂造[6]嘈
k	[1]高膏篙羔糕[3]稿搞[5]告
kʰ	[1]烤楮[3]考洘{头〜药、二〜药}[5]靠
ɡ	[6]隑{倚靠}
ŋ	[2]熬[6]傲鳌鏊
h	[1]蒿[3]好[5]好{喜〜}耗
ɦ	[2]豪壕毫[4]浩源[6]号
∅	[1]鏊{俗作火岙}[3]袄[5]懊奥澳岙
#yə	[2]朝潮乔侨桥荞{又}[4]赵兆[6]召绕-轿
p	[1]标彪膘膔镖镳[3]表裱姨
pʰ	[1]飘漂{〜亮}[3]漂{〜白}[5]票
b	[2]嫖膘瓢
m	[2]苗描瞄谬{〜论}[4]眇秒渺藐谬{荒〜}[6]妙庙
t	[1]刁貂雕[3]鸟-屌[5]钓吊
tʰ	[1]挑[3]挑{〜选}[5]跳粢汆[7]帖贴
d	[2]条调{〜羹}趒[4]掉{〜纱、〜头}[6]掉调[8]叠-{〜稻杆堆}
l	[2]燎疗聊辽撩寥了龙-隆-{乾〜}[4]垅蓼[6]料廖[8]猎略掠
tɕ	[1]焦蕉椒瞧朝-{明〜}昭招沼骄娇矫荞浇诏[3]缴侥激-[5]照叫饺
tɕʰ	[1]锹繰瞧超[5]窍
dʑ	[2]朝潮乔侨桥荞{又}[4]赵兆[6]召绕-轿
ȵ	[4]嬲[6]绕{又}
ɕ	[1]消梢捎宵霄硝销悄俏肖鞘烧萧箫虓枭[3]小少[5]笑肖{又}
