#注释	永嘉县志，落橙抄
#声调	[1]44[2]31[3]45[4]34[5]52[6]22[7]323[8]212
#a	
tɕʰ	[1]秋湫楸鞦抽[3]丑[5]臭[7]畜-{牲〜}曲
dʑ	[2]囚绸稠筹仇酬售[4]纣[8]袖{领〜}宙柚-胄轴逐□{奚落人家}
ȵ	[8]肉
ɕ	[1]修羞收馐[3]手首守[5]秀锈绣兽[7]叔肃宿畜蓄戌
ɦ	[2]泅柔揉[4]受授[6]袖{衫〜}寿[8]就熟塾族辱褥袖{领〜}
#əy	[1]心森参{人〜}深辛新莘薪身申伸僧[3]沈审婶迅讯汛[5]信渗
t	[1]都[3]赌肚-{猪肚}[5]堵妬
tʰ	[3]土吐{〜痰}[5]兔吐{呕〜}
d	[2]屠途涂图徒{〜弟}[4]肚{〜皮}杜[6]度渡镀
l	[2]卢炉芦河庐驴[4]卤𰛮吕旅屡裸{又}履彙-{汇集、搜集}[6]路露鹭虑滤
#aŋ	[1]夯[3]很[5]□{啃咬}
p	[1]奔崩喷-[3]本畚
pʰ	[1]喷[5]喷{〜香}
b	[2]盆湓[6]笨
m	[2]门蚊-明{〜年}[6]闷问-𱬅
f	[1]分纷汾芬昏-{〜君}𱄀{〜泔水}[3]粉[5]粪奋
v	[1]温-[2]文坟蚊纹闻馄[4]焚愤吻刎忿[6]混浑问=闻份分{〜格}
t	[1]扽登瞪灯蹲{〜点}[3]等丼[5]顿凳瞪鐙磴敦-燉-
tʰ	[1]𧰥-吞-{慢〜}捅-㖔{差的意思}[5]瞪-汆
d	[2]腾芚邓疼饨沌蜓-[4]断-𨄇{膛过水}[6]段-{树〜}掉-{掉下去}遁{失落}
n	[2]人-能[4]暖-[8]恁-{这样}
l	[2]抡纶伦沦轮棱楞-{〜角}[4]卵[6]抡{用拳打}
ts	[1]针斟津珍榛臻蓁真诊疹曾{姓氏}增憎[3]枕稹[5]进浸晋镇振震赈
tsʰ	[1]亲[5]侵寝趁衬
dz	[2]沉陈尘臣秦[6]阵曾{〜经}
s	[1]心森参{人〜}深辛新莘薪身申伸僧[3]沈审婶迅讯汛[5]信渗
z	[2]仁人层辰晨娠神寻秦[4]甚尽甚肾侭[6]任妊慎刃曾{又}赠宁-{〜可}
k	[1]昆跟䐊[3]滚𠖫{盖也}绲[6]棍謴{骂}𤼐
kʰ	[1]啃昆{又}坤[3]肯捆[5]困恳垦
ɡ	[2]含-浛{覆}[4]䜋{含在嘴里}
h	[1]夯[3]很[5]□{啃咬}
ɦ	[6]恒恨
∅	[1]盒-{凹进去}[3]揞{〜火}
#iaŋ	[2]澄呈程逞埕[6]剩郑称-{〜两头}程{姓氏}
tɕ	[1]今金巾斤经茎筋襟京惊䈽[3]紧锦颈[5]禁劲径敬遣镜浄{〜光}
tɕʰ	[1]钦轻卿氢[3]衾[5]揿磬搇
dʑ	[2]岑琴禽擒勤芹鲸[4]妗近[6]仅谨径瑾儆噤
ȵ	[2]迎吟壬妊任{姓氏}人-{新〜}银宁凝𪥰柠訚[4]忍[6]赁韧宁{~可}认泞
ɕ	[1]欣兴馨揿[3]兴{作〜}行[5]衅兴{高〜}𲋁{首动}
ɦ	[2]淫寅盈螾赢瀛形型邢颖瀛[4]引
∅	[1]音阴荫因姻咽洇应鹰殷莺鹦樱{〜桃}婴缨英[3]饮隐影[5]印应{响〜}荫{坟〜}
#eŋ	[1]冬东[3]董懂[5]冻栋
p	[1]彬宾槟鬓冰兵邠[3]丙炳饼禀秉[5]迸并柄殡
pʰ	[1]姘[3]品聘娉[5]拼{〜命}
b	[2]贫频凭平坪评瓶屏萍苹[4]并[6]病
m	[2]民鸣明盟名铭岷[4]闽悯敏抿皿[6]命
t	[1]丁叮钉疔打[3]顶鼎[5]钉订
tʰ	[1]汀听厅[3]挺艇[5]听{打〜}
d	[2]亭停廷庭蜓婷[4]锭澄-[6]定
l	[2]林淋临邻鳞燐吝陵凌菱灵棂零铃伶拎翎粼[4]领岭[6]令另
#ieŋ	[1]公蚣工功攻弓躬宫拱[3]戆[5]贡汞巩𠞖
tɕ	[1]正征精晶睛贞侦拯惩憎-{嫌〜}蒸[3]井整[5]证症正政
tɕʰ	[1]清称青蜻蛏[3]请称[5]称
dʑ	[2]澄呈程逞埕[6]剩郑称-{〜两头}程{姓氏}
ɕ	[1]升声星腥[3]省{反〜}醒[5]胜性姓圣
ɦ	[2]乘绳塍承丞仍情婧晴成城诚扔[4]静靖[6]盛净
#oŋ	[1]均君军中弓宫盹躬[3]准炯迥中遵卷-[5]俊众中{〜状元}隽
p	[1]弸{凸起}崩□{打〜、接吻}[3]琫{声音}[5]迸𥦜{香烟计量单位}嘣{破裂}
pʰ	[1]㠮{肿胀}[3]捧[5]碰椪{〜柑}
b	[2]朋篷塳鬅[4]熢[6]𣟀
m	[2]蒙蠓芒-{麦〜}濛[4]懵[6]梦
t	[1]冬东[3]董懂[5]冻栋
tʰ	[1]通[3]统[5]痛
d	[2]同铜桐筒童瞳幢[4]动桶[6]洞
n	[2]农浓脓[6]糯-
l	[2]龙=笼聋隆茏[4]拢垄=[6]弄
ts	[1]宗综踪棕鬃[3]总[5]粽
tsʰ	[1]聪匆葱从{〜容}
s	[1]松嵩[3]怂=𢱤[5]送宋
z	[2]丛崇戎绒茸纯醇淳
k	[1]公蚣工功攻弓躬宫拱[3]戆[5]贡汞巩𠞖
kʰ	[1]空[3]孔恐{〜怕}[5]控空{缺〜}
h	[1]风枫疯讽烘轰丰峰锋峰封[3]哄俸[5]嗅-哄{又}轰{〜炸}訇渹
ɦ	[2]红虹弘宏洪冯逢缝鸿[4]奉[6]凤缝{裂〜}讧{腐烂}
∅	[1]翁瓮[5]滃齆齅
#ioŋ	
tɕ	[1]均君军中弓宫肫躬[3]准炯迥中遵卷-[5]俊众中{〜状元}隽
tɕʰ	[1]春冲充囱倾椿穿-{〜针}穹[3]顷宠[5]串蠢铳舂
dʑ	[2]虫裙穷窘群琼[4]盾菌[6]群郡仲
ɕ	[1]兄熏勋薰[3]荀榫笋[5]荀峻殉训舜浚
ɦ	[2]旬循巡唇匀云耘荣营萦萤雄熊融容蓉镕溶熔茔庸[6]顺闰润韵运晕
∅	[1]雍尹塕[3]拥永
#m̩	
	[2]魔磨摩摹模[4]母某拇[6]磨墓暮慕戊[8]目木牧
#ŋ̍	
	[2]吴娱蛾俄鹅-讹梧鱼-儿宜{旧}疑{〜心}[3]尾-{〜巴}[4]五伍午吾我耳-[6]二贰悟卧饿误
