tʰuo	[34]拖脱托	[42]坨驮	[54]妥椭	[31]唾={~骂}		4		
nuo	[34]搦	[42]挪		[31]懦诺		3		
luo	[34]啰落烙酪骆洛乐	[42]罗锣箩糯骡螺	[54]裸	[31]摞		4		
tsuo	[34]作{~坊}	[42]凿	[54]昨左佐攥{把袋子口~住}撮{一撮毛}	[31]坐座做=		4		
tsʰuo	[34]搓撮{~合}	[42]矬		[31]措挫错锉		3		
suo	[34]蓑梭唆莎{~草}缩		[54]锁琐索	[31]□{四个的合音}		3		
tʂuo	[34]桌	[42]着{~落}酌浊灼琢啄镯捉卓				2		
tʂʰuo	[34]绰戳{挑拨：~着他打人}焯	[42]戳{~了一刀}		[31]辍绰{宽~}		3		
ʂuo	[34]说	[42]勺芍	[54]所	[31]朔硕		4		
ʐuo	[34]弱若					1		
kuo	[34]锅过{超出：走~了}郭聒国=		[54]果裹餜括戈	[31]过		3		
kʰuo	[34]科棵颗□{打：用棍子~他}	[42]□{~利：干脆}		[31]课阔扩		3		
xuo	[34]豁	[42]活禾和	[54]火伙	[31]货祸霍藿		4		
uo	[34]窝倭涡踒莴握蜗		[54]我	[31]卧沃		3		
lyə	[34]略掠劣					1		
tsyə		[42]嚼爵				1		
tsʰyə	[34]□{七个的合音}			[31]雀鹊		2		
syə	[34]削					1		
tɕyə	[34]脚觉角		[54]□{几个的合音}			2		
tɕʰyə				[31]却确搉		1		
ɕyə		[42]学				1		
yə	[34]虐疟约岳药钥乐	[42]□{一个的合音}				2		
piε	[34]鳖憋	[42]别	[54]瘪	[31]彆		4		
pʰiε	[34]撇瞥		[54]撇{掰断，折断}			2		
miε	[34]灭蔑篾					1		
tiε	[34]爹跌	[42]蝶碟迭谍叠牒				2		
tʰiε	[34]铁帖贴					1		
niε	[34]捏聂镊摄{白，~影}					1		
liε	[34]列烈	[42]乜{斜：~斜}				2		
tsiε	[34]接节疖	[42]截捷	[54]姐	[31]借		4		
tsʰiε	[34]且切妾					1		
siε	[34]些楔	[42]邪斜	[54]写	[31]泻卸		4		
tɕiε	[34]皆阶街结揭	[42]杰洁劫	[54]解秸	[31]介界戒诫械解押解		4		
tɕʰiε	[34]怯	[42]茄	[54]	[31]惬窃		4		
ɕiε	[34]歇蝎血	[42]偕谐鞋携胁协	[54]𢴲{揭开：~开锅}	[31]懈解蟹		4		
iε	[34]噎叶业曳冶页液掖孽拽{~车}	[42]爷	[54]也野崖-	[31]夜腋		4		
tsyε		[42]绝				1		
syε	[34]薛削{剥~}	[42]踅{~摸}	[54]雪	[31]屑{头皮~}		4		
tɕyε	[34]掘决钁蹶	[42]橛{木~子}		[31]倔		3		
tɕʰyε	[34]缺	[42]瘸	[54]撅{折断：~树枝}			3		
ɕyε	[34]靴	[42]穴				2		
yε	[34]曰悦阅月越粤		[54]哕	[31]跃=		3		
pæ	[34]掰伯百柏	[42]白帛{财~}	[54]摆	[31]拜败		4		
pʰæ	[34]拍迫魄{~力}	[42]排牌徘		[31]派		3		
mæ	[34]麦脉陌默	[42]埋	[54]买	[31]卖迈		4		
tæ	[34]得德		[54]歹逮呆	[31]带戴贷待怠代袋黛大		3		
tʰæ	[34]胎苔{舌~}特态	[42]台苔抬		[31]泰太		3		
næ			[54]乃奶	[31]耐奈		2		
læ	[34]列裂肋勒猎捩{揪：~把菜}	[42]来		[31]赖籁癞		3		
tsæ	[34]灾栽斋窄摘则侧{~棱：倾斜}	[42]泽择{~菜}宅责宰宰杀	[54]宰{~相}载年份崽	[31]再载在债寨		4		
tsʰæ	[34]猜钗差侧{~面}测厕拆策册	[42]才材财豺柴裁	[54]彩采踩	[31]菜蔡		4		
sæ	[34]腮鳃筛涩塞虱色		[54]□{~手}	[31]赛晒		3		
kæ	[34]该隔格革{改~}	[42]革{~命}	[54]改	[31]概溉盖丐		4		
kʰæ	[34]开刻克客		[54]凯揩铠楷	[31]慨		3		
xæ	[34]咳{~声叹气}赫	[42]孩还核{~实}骸	[54]海□{东西坏了}	[31]害骇亥		4		
ɣæ	[34]哀唉挨	[42]捱扼额	[54]矮蔼	[31]碍爱艾		4		
tʂuæ			[54]跩{走路圪~圪~}	[31]拽		2		
tʂʰuæ	[34]揣{~手}		[54]揣{~摩}	[31]踹膗邋遢		3		
ʂuæ	[34]衰摔		[54]甩	[31]帅率蟀		3		
kuæ	[34]乖		[54]拐	[31]怪		3		
kʰuæ			[54]块几块钱擓挎着	[31]块会快筷侩		2		
xuæ		[42]怀槐淮获或惑		[31]坏		2		
uæ	[34]歪		[54]崴	[31]外		3		
pei	[34]杯背碑悲笔卑北		[54]彼	[31]贝背倍蓓焙臂-被备		3		
pʰei	[34]胚胚披	[42]培陪赔裴		[31]沛配帔辔佩		3		
mei	[34]墨没=	[42]梅枚玫媒煤眉霉	[54]每美	[31]妹昧媚魅		4		
nei			[54]馁			1		
tsei		[42]贼				1		
sei		[42]谁		[31]睡		2		
kei	[34]给					1		
tuei	[34]堆	[42]㨃{吵，我跟他~了一架}		[31]对队兑		3		
tʰuei	[34]推	[42]颓	[54]腿	[31]退蜕		4		
nuei				[31]内		1		
luei		[42]雷擂	[54]蕾磊儡累垒	[31]累泪类		3		
tsuei			[54]嘴	[31]罪		2		
tsʰuei	[34]催崔摧		[54]璀	[31]淬翠粹瘁脆啐		3		
suei	[34]尿{~脬}	[42]随隋遂	[54]髓虽	[31]碎岁穗		4		
tʂuei	[34]追锥			[31]坠缀赘		2		
tʂʰuei	[34]吹炊	[42]垂槌锤				2		
ʂuei			[54]水	[31]税瑞{白，人名多用}		2		
ʐuei			[54]蕊	[31]睿瑞=锐		2		
kuei	[34]圭闺规龟轨归国-		[54]诡癸鬼	[31]桂跪柜贵		3		
kʰuei	[34]盔亏	[42]魁傀奎逵葵		[31]愧溃		3		
xuei	[34]灰恢诙麾挥辉晖徽	[42]回茴蛔	[54]悔毁	[31]贿汇溃{~脓}绘会彗惠慧讳卉		4		
uei	[34]偎煨危威	[42]桅韦违围{~墙}为	[54]伪委围{包~}伟苇纬猥	[31]卫喂为畏位魏慰胃外{~爷：外公}		4		
pɔ	[34]包苞雹胞褒煲		[54]保堡宝饱嫑	[31]报暴爆豹刨{~子}		3		
pʰɔ	[34]抛泡{眼~}剖	[42]袍刨	[54]跑	[31]脬炮泡		4		
mɔ	[34]冒{~失}	[42]毛茅矛猫蟊	[54]卯铆	[31]冒{~肚：拉肚子}帽貌茂贸		4		
