来源：	sainirwuu 整理录入
tsʰ	［1］叉杈差［2］查茬{～畔：发际线}茶搽楂［3］衩{倒～～：口袋}［5］岔差
s	［1］洒沙纱衫r{衣～旁：衣字旁}生r{骰子}沙{挑～：挑拣}厦
tʂ	［1］今{“今日”的合音}
tʂʰ	［3］扯-{揪～。拉～。黏～～：魔术贴}［5］蝉r{秋～：蟋蟀}成r{八～：骂人脑子不正常}
x	［2］蝦何-{无奈～}［3］瑕{～货：次品}［5］下-吓
k	［1］羔r{抽羊～疯：癫痫}根r{地～：过去。原～：原本。胎～：本来}歌r{扭秧～}狗r{小～～}［2］个r{大～，大个子。}
kʰ	［1］卡=
ŋ	［5］额r{瓦～瓦～：形容额头与眉骨大的长相}蛾r{烟～：烟囱里的黑尘}
Ø	［1］尔耳饵扔-{丢}［2］阿=儿而［5］二贰
#iɑ
p	［1］饼r{～匠：打饼子的}
pʰ	［1］撇r{一～一捺}
m	［2］命r{～无：死亡的调侃说法}［5］庙r{双～，地名}明={“明日”合音}
n	［1］眼r{一～，一点点。}
tɕ	［1］加佳家{实指的“家”。～头：家里}痂嘉［3］贾假［5］价{～钱}驾假嫁将{麻～}镜r{照～}劲r{煽～：惯性。眼～：眼力}
tɕʰ	［3］卡-{～住，特指异物卡在喉咙里}揢［5］前r{腊～，很好}钱r
ɕ	［1］些r{毛～。黄绵～}
Ø	［1］丫［2］牙芽崖=涯衙［3］哑雅影r{映～～}［5］压亚砑氩意r{专故～：故意}样r{看～货：徒有其表的东西}日r{胡～：燕子}
#uɑ
d	［1］墩r{烽火台。方～，四方形状的烽火台}
t	［5］脱{碗～，一种小吃}坨{圪～，一种面食}
l	［3］佬r{山～：山汉}老r{你～家，看似敬语，实为贬义称呼}［5］烙r{盐干～：一种小吃}
ts	［1］枣r{醉～}
tsʰ	［1］葱r{害～：长疮了。}
s	［1］索r{庙里请的红绳绳。戴～}
tʂ	［1］抓
tʂʰ	［1］歘
ʂ	［1］耍
ʐ	［2］挼
k	［1］瓜官r{老～：象棋里的“将”和“帅”}［3］剐寡果-{功～：所下的功夫}裹-{掖～：掖起来。圆～：完善一下}［5］卦挂故r{从～：本来。表递进关系，后面往往跟着更糟的情况}过-{罪～：所受的罪}棍r{冰～}
kʰ	［1］夸［3］垮胯［5］跨挎裤r
x	［1］荒{饥～，债务}花华会r{时候。甚～：什么时候}［2］铧划踝{～拉圪堵：脚踝骨}［5］黄r{一种食品}华化画话桦划货r{耍～～：玩具。}
ŋ	［3］袄r
#yɑ
n	［3］脑r{豆腐～}扭r{大头圪～：蝌蚪}女r{常用于人名。}
tɕ	［3］角r{圪～，洗澡搓下来的脏东西}［5］㓋r{皮冻}
tɕʰ	［3］雀r{泛指鸟类}［5］曲r{山～：当地民歌的俗称}
#æ
p	［1］扳班般颁斑搬［3］板版扁-［5］办半伴扮拌{搅～}绊瓣畔
pʰ	［1］潘攀［2］爿盘［5］判叛盼襻拌{～命：拼命}
m	［2］蛮馒瞒屄{代字，女阴。～窍子}摱{扔}［3］满螨［5］幔慢漫蔓
f	［1］番翻藩［2］帆凡矾烦繁［3］反［5］犯泛饭范贩
v	［1］弯剜湾豌［2］丸完玩顽［3］皖碗［5］腕
t	［1］丹单担耽［3］胆掸［5］担旦但诞弹淡蛋氮扮{又读。学～：鹦鹉学舌（此词其他晋语都是音“学扮”）}
tʰ	［1］贪摊滩［2］弹坛谈痰=谭潭檀［3］坦毯［5］叹炭探碳探
n	［2］男南难［3］暖-［5］喃=难
l	［2］兰拦燣蓝篮［3］览揽缆榄漤懒卵-{～蛋：睾丸}［5］烂滥乱-{忙～}
ts	［1］簪［3］攒眨{～眼}斩盏［5］暂赞錾栈站绽蘸
tsʰ	［1］参餐=搀［2］惭残蚕谗馋［3］产惨铲［5］灿餐-
s	［1］三山杉衫［2］删珊［3］伞散［5］散似{又读。和……也～家：像……一样}
tʂ	［1］沾毡粘瞻［3］展［5］占战蛇{训读。生肖“蛇”}
tʂʰ	［2］禅=缠蝉蟾［3］阐［5］颤辿{漫～坡：缓坡}
ʂ	［1］掮膻［2］禅-{住}［3］闪陕［5］禅单疝=扇善膳鳝
ʐ	［1］冉染=［2］然燃黏-{～泥：烂泥。～明：以后很长时间。～扯扯：魔术贴}［5］染-
x	［1］酣憨［2］含罕{稀～}函寒韩衔-还咸-闲-{杀～贱：恶作剧}［3］喊［5］鼾汉汗䗣{油～：蚜虫}焊憾撼=翰陷-{耍钱～进去踏脱：深陷赌博的状态}苋-{人～苗子：一种野草}
#iɛ
k	［1］干甘肝泔柑［3］杆竿尴秆赶敢感橄擀［5］干
kʰ	［1］刊勘龛堪看［3］坎砍［5］看
ŋ	［1］安庵鞍氨鹌铵［2］安{准备。多～上些：多准备些。～做甚呀：想干什么}严-{关～}［3］唵掩-{～头：瓦房顶的两侧}［5］揞按案暗岸
Ø	［1］爷{口语呼“爷”}
#uæ
t	［1］端［3］短［5］段断缎锻躖
tʰ	［1］湍猯［2］团痰-
n	［1］暖=
l	［2］恋={旧文读}鸾［3］卵=［5］乱=
ts	［1］钻［5］钻
tsʰ	［1］氽［2］攒{动词。圪～：往一起走}全-{形容词，聚拢在一起的样子}［5］窜篡纂
s	［1］酸［5］蒜算
tʂ	［1］专砖［3］转［5］传转赚撰篆
tʂʰ	［1］川穿［2］传船椽［3］喘［5］串
ʂ	［1］闩栓［5］疝-涮
ʐ	［3］阮软［5］喃-
k	［1］关官棺观冠鳏［3］馆管［5］观冠贯惯灌罐
kʰ	［1］宽［3］款
x	［1］欢［2］还环桓［3］缓［5］幻宦唤换患焕和{训读，借词或连词。～……也似家。我～你}
#ɤ
p	［1］波玻菠［2］薄{厚～}［3］跛簸［5］薄{～荷}簸
pʰ	［1］坡颇［2］婆［5］破
m	［1］馍［2］摩磨魔［5］磨
v	［1］倭窝挝捼阿-{～弥陀佛}［3］我{第一人称单数}［5］卧
