来源：	sainirwuu 整理录入
pʰ	［1］姘［2］贫频平评凭坪苹屏瓶萍［3］拼品［5］拼聘娉
m	［2］抿民名明=铭鸣［3］皿闽呡悯敏［5］命墨{又读。～锭黢黑：形容颜色很黑}
t	［1］丁钉靪羝{圪～羊}［3］顶鼎［5］钉订定锭
tʰ	［1］厅汀听廷亭蜓［2］庭停［3］挺艇铤［5］嚏{啊～：打喷嚏的拟声词}听{旁～生}停{等}
n	［2］宁凝［5］宁佞硬
l	［1］呤{代字。位于四字格第二个字，是形容词性四字格前词的词尾。泥～圪捲：泥乎乎的样子。扑～九怪：拟声词，拿太多东西不方便的样子。忽～烫斓：青一块紫一块的样子。踢～四海：不精干的样子，尤其走路时候}灵{日～：形容人处事灵活}［2］邻林临淋憐鳞伶灵凌铃陵绫翎菱零龄磷［3］拎檩岭领［5］吝赁令另
tɕ	［1］更-{半夜五～}耕-巾今=斤金津筋襟京经茎荆惊晶睛精井紟{～鞋带}［3］仅紧谨锦禁尽{先～}颈景警［5］尽劲妗近进晋浸禁净径竞竟敬靖境静镜甑{笼～}
tɕʰ	［1］坑-亲侵钦寝青轻卿氢清蜻顷涔{管～山：山名，在五寨县一带}［2］芹秦=琴禽勤擒情=晴擎［3］倾请［5］亲吣庆磬
ɕ	［1］心辛欣锌新薪馨兴星腥［2］刑行形型寻［3］醒省［5］信衅兴杏姓幸性讯-迅葚-
Ø	［1］因阴姻音殷隐英莺婴缨樱鹦鹰萦{～心半记：担心}［2］吟寅淫银迎茔盈荥莹萤营=蝇贏［3］尹引饮颖影=［5］窨洇荫饮印映=应=孕-用-
#uəŋ
t	［1］东冬{十～腊月}敦墩蹲［3］董懂［5］扽动冻栋洞吨囤饨沌盾钝顿遁冬{立～}
tʰ	［1］通［2］同桐铜童瞳屯豚臀［3］统捅桶筒［5］痛恸退{□ʂɒ前～后：形容人畏畏缩缩}
n	［2］浓
l	［2］胧笼垅{代字，“堆”的意思。柴～：柴草堆。火～：旺火。一～：一堆}聋隆伦沦轮论农龙=［3］陇垄拢=［5］论弄
ts	［1］宗综棕踪鬃尊遵忠［3］总［5］纵
tsʰ	［1］囱匆葱聪村皴［2］崇从丛存［5］寸
s	［1］松怂{～恿}孙［2］怂{没力气}［3］损笋［5］讼宋诵送舜颂逊-{让～}
tʂ	［1］中终盅钟衷［3］肿种冢准［5］中种仲众重
tʂʰ	［1］春冲春椿［2］虫纯唇醇重［3］充宠蠢［5］冲顺-{～手家具：顺手工具}
ʂ	［5］顺=
ʐ	［2］戎绒茸［3］冗［5］闰润
k	［1］工弓公功攻供宫恭蚣躬［3］巩汞拱=滚［5］供共贡棍
kʰ	［1］空坤昆［3］孔恐捆［5］空控困
x	［1］昏婚荤［2］弘红宏洪虹鸿浑馄魂横{～梁会：地名}［3］哄［5］轰哄烘混
#yəŋ
l	［2］龙-{～磺：硫磺}［3］拢-{～不将去：靠不过去}
tɕ	［1］军君莙均钧菌［3］迥窘拱-［5］俊郡粽㓋
tɕʰ	［2］穷琼裙群
ɕ	［1］凶兄胸勋熏薰［2］匈雄熊巡旬荀循［5］训讯迅逊=殉嗅-{～人：动物爱跟着人}
Ø	［1］拥痈雍［2］容蓉镕庸云匀荣融［3］永咏泳勇涌允［5］用孕=运韵熨晕
#ɑʔ
p	［7］八拔拨剥钵饽=驳勃脖卜铂钹茇{低矮的树木或者灌木或者是部分植物的量词}博爆{油～：一种烹饪方式}薄{姓}
pʰ	［7］泊泼朴醭{白～}仆［8］饽-{面～：和面时撒的面粉。浊入送气}
m	［7］没{～沿～沿：水势浩大貌}摸膜抹末沫陌莫寞
f	［7］发乏伐罚筏法
v	［7］袜沃握龌幄
t	［7］搭达沓答鞑荙=
tʰ	［7］塌溻塔獭拓遢沓榻踏特［7］荙-{莙～。浊入送气}
n	［7］纳捺娜{人名读法}衲钠那
I	［7］邋腊{～月}蜡辣剌喇{～嘛}拉{～稀}
ts	［7］杂扎札铡宅-炸{油～}眨{眼～毛：眼睫毛}
tsʰ	［7］擦插察
s	［7］撒萨杀𢶍繬{～捆：打捆}
tʂ	［7］螫折哲蛰摺辙褶浙着
tʂʰ	［7］彻撤掣澈焯
ʂ	［7］舌设涉摄折
ʐ	［7］热若弱
k	［7］割搁阁革格葛鸽隔=各合{不～股：合不来}
kʰ	［7］磕咳渴刻可{～惜}客=壳颏{下～子：下巴}
ŋ	［7］额扼轭恶鄂腭鳄遏搕㷈{～炉子：把炉子里的火用碎煤盖住，保存火种}
x	［7］喝合盒鹤赫郝{姓}瞎-{～老：鼹鼠}
#iɑʔ
tɕ	［7］夹甲钾胛羯-{山～子：山羊}挟
tɕʰ	［7］掐怡洽鹊-{野～子：喜鹊}［8］截-{半～。浊入送气}
ɕ	［7］瞎=匣峡狭辖蝎学-{～扮：鹦鹉学舌}
Ø	［7］押鸭鸦压{～岁钱}
#uɑʔ
t	［7］夺度咄铎踱掇敠
tʰ	［7］托脱庹
n	［7］诺
l	［7］烙酪乐肋洛络落骆{～宾王}
ts	［7］凿{证据确～}昨作柞嘬
tsʰ	［7］撮族
s	［7］缩索朔硕
tʂ	［7］卓拙捉桌灼酌镯
tʂʰ	［7］焯戳绰
ʂ	［7］刷说甩{～墨水：把钢笔里的墨水甩出去}
k	［7］刮聒
kʰ	［7］扩括阔廓
x	［7］滑猾劐豁活获
#yɑʔ
tɕ	［7］角
ɕ	［7］宿-{～吃：在别人家蹭吃}
#iɛʔ
p	［7］白-柏憋鳖别檗伯掰帛{纸圪～子：硬纸片}
pʰ	［7］拍撇迫魄
m	［7］灭麦脉蔑觅-{寻死～活。钻头～圪旯。}
t	［7］跌谍叠碟蝶喋滴{～水点子}
tʰ	［7］贴铁帖餮
n	［7］捏聂镊蹑疟孽逆虐匿溺{～水}
l	［7］列烈猎裂捩掠略
tɕ	［7］脚接捷羯=揭结截=节杰指-{六～～}劫竭隔及-{趁}
tɕʰ	［7］妾怯切却窃客-
ɕ	［7］学薛-歇楔歇蝎协
Ø	［7］乐药业叶页约-岳钥噎掖压{～菜石：腌菜时候上面压的石头}
#yɛʔ
tɕ	［7］决诀觉掘倔厥蕨橛爵嚼-绝崛蹶獗噘{日～：骂}䦆
tɕʰ	［7］缺雀确榷搉鹊=撅{把树枝～断}
ɕ	［7］雪血薛=
Ø	［7］曰月{～亮}悦阅粤越［8］月{正～。连读变调阳入}
#əʔ
p	［7］不
pʰ	［7］扑瀑曝
m	［7］木目睦没{～有}
f	［7］佛伏服袱幅福辐复蝠缚腹氟覆栿{～梁}
v	［7］屋勿物午{晌～}
l	［7］勒=
ts	［7］则择泽责摘窄滓侧-{～楞}指-{～头}子{儿～}脊-{～背}
tsʰ	［7］册侧=测策拆厕䜺{圪～～：碎玉米粒}
s	［7］色涩啬瑟虱厮-{～猴：小孩间相互打闹}塞=
tʂ	［7］这{～么价：这样}汁织只{量词}执侄直=值职植炙质秩稙
tʂʰ	［7］吃尺斥赤［8］直-{竟然。浊入送气}
ʂ	［7］失湿十什石识实拾蚀食式饰室适释殖射{～南墙：撞南墙}［8］实{老～。连读变调阳入}食{粮～。连读变调阳入}殖{骨～。连读变调阳入}十{五～。连读变调阳入}石{青～。连读变调阳入}
ʐ	［7］日
k	［7］胳骨-{～头}圪个{量词}去-{补语。去哪～呀：去哪里}合{十～一升}
kʰ	［7］去-{动词。～哪去呀：去哪里}
x	［7］核黑吓{恐～}蛤{～蟆}
#iəʔ
p	［7］北逼鼻笔必毕弼碧壁璧
pʰ	［7］劈辟霹匹僻
m	［7］泌觅=秘密蜜墨-默苜{～蓿}
t	［7］狄敌笛嫡得德的滴{量词}糴{～米}
tʰ	［7］剔踢
l	［7］力历立笠粒栗
tɕ	［7］给{～予}击迹积绩指-{～甲}激及=吉级即极急疾集=辑籍脊=戟寂鲫藉
tɕʰ	［7］缉七戚漆乞讫沏{～死：淹死。～水猛猛：猛得把人按到水下使其无法呼吸}泣［8］集-{～攒。浊入送气}
ɕ	［7］夕吸昔析息悉惜锡熄膝蟋习塞-{～子}席袭媳腊{程度副词。～嵌儿：很好。～板灰：很差}
Ø	［7］一揖乙亦役抑译疫益逸邑驿缢溢=
#uəʔ
t	［7］督毒读牍犊独笃厾㞘
tʰ	［7］秃突
l	［7］陆录鹿禄绿氯六{～指指}
ts	［7］做
tsʰ	［7］促猝族
s	［7］速
tʂ	［7］触竹琢啄浊烛嘱术{白～}祝筑蜀{大～葵}逐卒粥=
tʂʰ	［7］出绌处{去～}
ʂ	［7］叔淑秫赎熟{～人}术束述属
ʐ	［7］辱入褥
k	［7］谷骨=锢郭国榖虢核{桃～子}
kʰ	［7］哭窟酷圐
x	［7］忽或惑霍藿
#yəʔ
l	［7］律率勒-
tɕ	［7］掬局菊强足橘焗=
tɕʰ	［7］曲屈黢焌{～灯子：旧时的点火工具}㖆{代字。～紧：一旦}［8］焗-{一种烹饪方式。浊入送气}
ɕ	［7］俗肃宿=戌恤畜续蓄穴屑{烂纸圪～}削蓿{苜～}
Ø	［7］育郁狱浴域隩哕溢-欲裕峪{井～沟：地名}
