ɿ	
tɕ	[52]居狙追锥车{~马炮}珠[21]煮鬼举[25]嘴[215]罪拒醉季惧最贵巨距句具距聚
tɕʰ	[52]区蛆驱躯吹炊[22]厨锄锤除[21]取娶曲跪[25]柜[215]树住驻苎□{酸痛}[55]趣祛畜
ɕ	[52]书输虚需须圩舒殊虽墟[22]徐薯暑随[21]水许鼠署[215]遂[55]序隧续绪恤旭岁
Ø	[52]瘀[22]余虞围愚于愉娱[21]雨予羽与宇[25]雩[215]芋裕育玉寓预域御
ɛ	
p	[52]搬[21]本
pʰ	[25]笨
m	[22]瞒门[215]闷[25]满
f	[52]分纷芬[22]坟焚[21]粉[215]份愤奋[55]粪
t	[52]灯登[21]等[215]凳瞪
tʰ	[52]吞[22]腾滕藤[21]□{用脚踩}[215]邓
l	[52]扔[22]能[21]燃
n	[21]捻[215]嫩
ts	[52]曾增鱛睁[21]□{压}[215]甑赠
tsʰ	[52]抻□{~酒}[22]层橙澄[21]逞□{熟透}
s	[52]孙甥森绅僧
h	[22]恒衡痕□{厉害}[21]肯狠[215]恨
Ø	[52]恩□{抱}
ĩ	
p	[52]兵冰斌彬宾滨缤槟殡[21]禀[215]并
pʰ	[52]拼[22]瓶苹萍贫频嫔评凭屏[21]品□{甩}[25]鼻
m	[22]鸣铭冥民茗瞑明{文读，~星}[21]闽敏闵抿
f	[55]瞓
t	[52]笠□{钻}[22]淋临鳞[21]顶
tʰ	[22]停亭婷霆庭廷蜓[21]挺艇[215]定{文读，一~}
l	[22]林宁凝琳霖轮麟仁邻玲龄灵凌铃[21]忍[215]认另壬任令
n	[22]人银[25]蝇
tɕ	[52]金经巾斤津筋今鲸珍侦蒸贞真针征甄[22]诊[21]紧镇锦整蒸拯仅谨瑾堇警疹枕[215]浸敬晋竞证正症政阵劲朕禁震靖境竟
tɕʰ	[52]亲侵[22]成城诚擒禽寻琴秦勤臣晨陈承沉尘[21]惩寝□{看}[25]芹近□{鸡胗：~嘚}[215]□{一直，经常}[55]秤称
ɕ	[52]新辛欣欣心身伸身星声鑫馨芯昕锌薪忻升[22]绳行型神形刑邢[21]沈□{炫耀}[25]深[215]剩兴圣胜肾杏乘盛[55]信
Ø	[52]音英因殷阴茵鹰莺樱婴鹦[22]淫莹吟营萤迎盈[21]饮颖[215]应映印
ã	
p	[52]班般斑颁扳[21]板版[215]办
pʰ	[52]潘攀袢□{摔}
m	[22]蛮[215]慢曼漫蔓
f	[52]翻蕃帆番[22]凡烦矾繁樊[21]反返[215]范泛饭犯[55]贩
t	[52]担{~任}丹单耽[21]胆掸[215]石担{扁~}
tʰ	[52]贪滩摊瘫[22]谈潭谭坛痰檀昙弹{~琴}[21]坦毯[25]淡[215]蛋旦诞弹{子~}[55]探叹碳
l	[22]男难兰篮蓝栏岚拦澜南[21]揽缆览[25]懒[215]烂滥
n	[52]拿
ts	[21]展斩[215]占赞战站
tsʰ	[52]餐参{~加}掺搀[22]残蚕禅馋蝉[21]惨铲产[215]赚暂[55]灿颤□{顽皮}
s	[52]三山删衫[21]散伞闪陕[55]汕
h	[22]闲咸[25]苋□{表示疑问语气}[215]限[55]喊
Ø	[215]晏
ia	
