繁體	简体	聲韻	聲調	注釋		調值
鐘	钟	tɕiɔ̃	224			
韁	缰	tɕiã	224			
顫	颤	tɕie	224			
駒	驹	tɕy	224			
驕	骄	tɕiɔu	224			
驚	惊	tɕiŋ	224			
鬮	阄	tɕiəu	224			
鯨	鲸	tɕiŋ	224	半邊		
鳩	鸠	tɕiəu	224	文		
龜	龟	tɕy	224			
丘	丘	tɕʰiəu	224	一～田		
伸	伸	tɕʰyœ	224			
傾	倾	tɕʰiŋ	224			
充	充	tɕʰioŋ	224			
區	区	tɕʰy	224			
千	千	tɕʰiã	224			
卿	卿	tɕʰiŋ	224			
吹	吹	tɕʰy	224			
囪	囱	tɕʰioŋ	224			
圈	圈	tɕʰyœ	224			
娼	娼	tɕʰiã	224			
川	川	tɕʰyœ	224			
抽	抽	tɕʰiəu	224			
揪	揪	tɕʰiəu	224			
昌	昌	tɕʰiã	224			
春	春	tɕʰioŋ	224			
椿	椿	tɕʰioŋ	224			
槍	枪	tɕʰiã	224			
樞	枢	tɕʰy	224	半邊		
殲	歼	tɕʰie	224	半邊		
沖	冲	tɕʰioŋ	224			
清	清	tɕʰiŋ	224			
炊	炊	tɕʰy	224			
牽	牵	tɕʰie	224			
瘡	疮	tɕʰiɔ̃	224			
秋	秋	tɕʰiəu	224			
稱	称	tɕʰiŋ	224			
穿	穿	tɕʰioŋ	224	～針		
穿	穿	tɕʰyœ	224			
簽	签	tɕʰie	224			
腔	腔	tɕʰiã	224	～談：口音		
菖	菖	tɕʰiã	224			
虧	亏	tɕʰy	224			
蜻	蜻	tɕʰiŋ	224			
謙	谦	tɕʰie	224			
超	超	tɕʰiɔu	224			
趨	趋	tɕʰy	224			
蹺	跷	tɕʰiɔu	224			
車	车	tɕʰiɔ	224			
輕	轻	tɕʰiŋ	224			
遷	迁	tɕʰie	224			
鍬	锹	tɕʰiɔu	224			
青	青	tɕʰiŋ	224			
驅	驱	tɕʰy	224			
些	些	ɕiɔ	224			
仙	仙	ɕie	224			
休	休	ɕiəu	224			
修	修	ɕiəu	224			
傷	伤	ɕiã	224			
兄	兄	ɕioŋ	224			
先	先	ɕiã	224			
凶	凶	ɕiɔ̃	224			
升	升	ɕiŋ	224			
商	商	ɕiã	224			
喧	喧	ɕyœ	224			
噓	嘘	ɕy	224			
墟	墟	ɕy	224			
奢	奢	ɕiɔ	224			
孀	孀	ɕiɔ̃	224			
宣	宣	ɕyœ	224			
宵	宵	ɕiɔu	224			
屑	屑	ɕiɔu	224	不～，半邊		
廂	厢	ɕiã	224			
悄	悄	ɕiɔu	224	半邊		
揮	挥	ɕy	224			
搜	搜	ɕiəu	224			
收	收	ɕiəu	224			
旬	旬	ɕioŋ	224			
星	星	ɕiŋ	224			
書	书	ɕy	224			
梢	梢	ɕiɔu	224	半邊		
殉	殉	ɕioŋ	224			
消	消	ɕiɔu	224			
湘	湘	ɕiã	224			
熏	熏	ɕioŋ	224			
燒	烧	ɕiɔu	224			
瓖	瓖	ɕiã	224			
相	相	ɕiã	224			
硝	硝	ɕiɔu	224			
箱	箱	ɕiã	224			
簫	箫	ɕiɔu	224			
綏	绥	ɕy	224			
羞	羞	ɕiəu	224			
聲	声	ɕiŋ	224			
胸	胸	ɕiɔ̃	224			
腥	腥	ɕie	224			
腥	腥	ɕiŋ	224			
膻	膻	ɕie	224			
興	兴	ɕiŋ	224			
舒	舒	ɕy	224			
蕭	萧	ɕiɔu	224			
薰	薰	ɕioŋ	224			
虛	虚	ɕy	224			
襄	襄	ɕiã	224			
賒	赊	ɕiɔ	224			
軒	轩	ɕie	224			
輝	辉	ɕy	224			
輸	输	ɕy	224			
鄉	乡	ɕiã	224			
銷	销	ɕiɔu	224			
陝	陕	ɕie	224			
雖	虽	ɕy	224			
雙	双	ɕiɔ̃	224			
需	需	ɕy	224			
霄	霄	ɕiɔu	224			
霜	霜	ɕiɔ̃	224			
靴	靴	ɕiɔ	224			
須	须	ɕy	224			
香	香	ɕiã	224			
鮮	鲜	ɕie	224			
亨	亨	hãi	224			
哈	哈	ho	224	～背		
坊	坊	hɔ̃	224			
妨	妨	hɔ̃	224			
慌	慌	hɔ̃	224			
方	方	hɔ̃	224			
芳	芳	hɔ̃	224			
荒	荒	hɔ̃	224			
蒿	蒿	həu	224			
蝦	虾	hɔ	224			
轟	轰	hoŋ	224	新		
雄	雄	hɔ̃	224	雞～		
龕	龛	hɛ	224			
媚	媚	mi	224			
媽	妈	mɔ	224			
微	微	mi	224			
楣	楣	mi	224			
眉	眉	mi	224			
拿	拿	nɔ	224			
挪	挪	nɔ	224			
倪	倪	ȵi	224			
兒	儿	ȵi	224			
娛	娱	ȵy	224			
寓	寓	ȵy	224			
愚	愚	ȵy	224			
沾	沾	ȵie	224	別，黏		
漁	渔	ȵy	224			
研	研	ȵie	224			
粘	粘	ȵie	224	別，黏		
虞	虞	ȵy	224			
魚	鱼	ȵy	224			
黏	黏	ȵie	224			
囖	囖	lo	224			
拉	拉	lɔ	224			
摟	搂	ləu	224			
澇	涝	lɔu	224			
丫	丫	ɔ	224			
依	依	i	224			
倭	倭	uɔ	224			
優	优	iəu	224			
冤	冤	yœ	224			
劃	划	uɔ	224			
哀	哀	ɛ	224			
嘔	呕	əu	224			
因	因	iŋ	224			
坳	坳	ɔu	224			
埃	埃	a	224			
塢	坞	ʏ	224			
央	央	iã	224			
妖	妖	iɔu	224			
姻	姻	iŋ	224			
威	威	y	224			
嬰	婴	iŋ	224			
安	安	uɛ	224			
幽	幽	iəu	224			
庵	庵	ɛ	224			
彎	弯	uã	224			
恩	恩	ɛ	224			
憂	忧	iəu	224			
挨	挨	a	224			
於	于	y	224			
椏	桠	ɔ	224			
櫻	樱	iŋ	224			
歐	欧	əu	224			
歪	歪	ua	224			
殃	殃	iã	224			
殷	殷	iŋ	224			
毆	殴	əu	224			
汙	污	ʏ	224			
淤	淤	y	224			
淵	渊	yœ	224			
溫	温	uɛ	224			
灣	湾	uã	224			
烏	乌	ʏ	224			
焉	焉	iã	224			
煙	烟	iã	224			
煨	煨	uai	224			
甌	瓯	əu	224			
瘟	瘟	uɛ	224			
癰	痈	iɔ̃	224			
秧	秧	iã	224			
窪	洼	uɔ	224			
纓	缨	iŋ	224			
翁	翁	uoŋ	224			
肫	肫	ioŋ	224			
腰	腰	iɔu	224			
英	英	iŋ	224			
蔫	蔫	iã	224	菜曬～罷		
蔫	蔫	ie	224	食物不新鮮		
蛙	蛙	uɔ	224			
衣	衣	i	224			
要	要	iɔu	224			
迂	迂	y	224			
醫	医	i	224			
阿	阿	o	224	～膠		
陰	阴	iŋ	224			
音	音	iŋ	224			
鴉	鸦	ɔ	224			
鶯	莺	iŋ	224			
鷹	鹰	iŋ	224			
鸚	鹦	iŋ	224			
並	并	piŋ	21	～排		
伴	伴	pɛ	21			
倍	倍	pai	21			
叛	叛	pɛ	21			
抱	抱	pɔu	21			
拌	拌	pɛ	21			
棒	棒	pɔ̃	21			
畔	畔	pɛ	21			
簿	簿	pʏ	21			
蚌	蚌	pɔ̃	21			
被	被	pi	21			
辨	辨	pie	21			
辮	辫	piã	21			
辯	辩	pie	21			
部	部	pu	21			
雹	雹	pɔu	21	文		
鮑	鲍	pɔu	21			
龐	庞	pɔ̃	21			
動	动	toŋ	21			
□	□	tɐŋ	21	～雨，～雪		
墮	堕	to	21			
弟	弟	ti	21			
待	待	tɛ	21			
惰	惰	to	21			
斷	断	tœ	21	文		
斷	断	tɐŋ	21			
杜	杜	tʏ	21			
桶	桶	toŋ	21			
淡	淡	tã	21			
稻	稻	tɔu	21			
第	第	ti	21			
簟	簟	tiã	21			
肚	肚	tʏ	21			
舵	舵	to	21			
道	道	tɔu	21			
雉	雉	ti	21	～鳥尾：雉雞毛		
厚	厚	kəu	21			
徛	徛	kɛ	21			
其	其	tsɿ	21			
妗	妗	tsɐŋ	21			
岐	岐	tsɿ	21			
渠	渠	tsɿ	21	他也		
苧	苎	tsɿ	21			
豸	豸	tsɿ	21	蟲～		
賺	赚	tsɐŋ	21			
近	近	tsɐŋ	21			
仕	仕	sɿ	21			
在	在	sɛ	21			
坐	坐	so	21			
士	士	sɿ	21			
巳	巳	sɿ	21			
市	市	sɿ	21			
是	是	sɿ	21			
柿	柿	sɿ	21			
氏	氏	sɿ	21			
甚	甚	sɐŋ	21			
痔	痔	sɿ	21			
皂	皂	sɔu	21			
盡	尽	sɐŋ	21			
祀	祀	sɿ	21			
罪	罪	sai	21			
而	而	sɿ	21	～且		
蕈	蕈	sɐŋ	21			
造	造	sɔu	21			
丈	丈	tɕiã	21			
上	上	tɕiã	21	～山		
仗	仗	tɕiã	21	～勢欺人		
件	件	tɕie	21			
儉	俭	tɕie	21			
宙	宙	tɕiəu	21			
巨	巨	tɕy	21			
拒	拒	tɕy	21			
杖	杖	tɕiã	21			
柱	柱	tɕy	21			
渠	渠	tɕy	21			
紂	纣	tɕiəu	21			
臼	臼	tɕiəu	21			
舅	舅	tɕiəu	21			
苧	苎	tɕy	21	文		
距	距	tɕy	21			
跪	跪	tɕy	21			
重	重	tɕiɔ̃	21			
乳	乳	ɕy	21			
像	像	ɕiã	21			
儒	儒	ɕy	21			
受	受	ɕiəu	21			
善	善	ɕie	21			
單	单	ɕie	21			
就	就	ɕiəu	21			
嶼	屿	ɕy	21			
序	序	ɕy	21			
授	授	ɕiəu	21			
敘	叙	ɕy	21			
橡	橡	ɕiã	21			
漸	渐	ɕie	21			
社	社	ɕiɔ	21			
緒	绪	ɕy	21			
羨	羡	ɕie	21			
聚	聚	ɕy	21			
膳	膳	ɕie	21			
豎	竖	ɕy	21			
象	象	ɕiã	21			
靖	靖	ɕiŋ	21			
靜	静	ɕiŋ	21			
鱔	鳝	ɕie	21			
耳	耳	ȵi	21			
餌	饵	ȵi	21	半邊		
婦	妇	ʏ	21			
梵	梵	uã	21			
混	混	uɐŋ	21			
渾	浑	uɐŋ	21			
父	父	ʏ	21			
犯	犯	uã	21			
範	范	uã	21			
腐	腐	ʏ	21			
負	负	ʏ	21			
阜	阜	uɔu	21			
餛	馄	uɐŋ	21			
佩	佩	pai	11			
便	便	pie	11			
刨	刨	pɔu	11			
吠	吠	pi	11	狗～起		
告	告	pi	11			
埠	埠	pʏ	11			
婢	婢	pi	11			
孵	孵	pu	11			
捕	捕	pu	11	～捉		
捕	捕	pʏ	11	～快		
敗	败	pa	11			
暴	暴	pɔu	11			
曝	曝	pɔu	11			
步	步	pʏ	11			
汴	汴	pie	11			
瀑	瀑	pɔu	11			
焙	焙	pai	11			
爆	爆	pɔu	11			
瓣	瓣	pã	11			
病	病	piŋ	11			
稗	稗	pɔ	11			
笨	笨	pɐŋ	11			
篦	篦	pi	11			
罷	罢	pɔ	11			
背	背	pai	11			
菢	菢	pu	11			
蓖	蓖	pi	11			
被	被	pi	11			
辦	办	pã	11			
避	避	pi	11			
鐾	鐾	pi	11			
代	代	tɛ	11			
佃	佃	tiã	11			
但	但	tã	11			
兌	兑	tai	11			
地	地	ti	11			
墊	垫	tiã	11			
大	大	ta	11	文		
大	大	ta	11			
大	大	to	11			
奠	奠	tiã	11			
宕	宕	tɔ̃	11			
定	定	tiŋ	11			
導	导	tɔu	11			
度	度	tʏ	11			
彈	弹	tã	11	n		
掉	掉	tiɔu	11			
段	段	tœ	11			
殿	殿	tiã	11			
毒	毒	tʏ	11	v		
洞	洞	toŋ	11			
渡	渡	tʏ	11			
盜	盗	tɔu	11			
盾	盾	tœ	11			
緞	缎	tœ	11			
蕩	荡	tɔ̃	11			
蛋	蛋	tã	11			
袋	袋	tɛ	11			
調	调	tiɔu	11			
豆	豆	təu	11			
踱	踱	tʏ	11	半邊		
逗	逗	təu	11			
遁	遁	tœ	11			
遞	递	ti	11			
鄧	邓	tɛ	11			
錠	锭	tiŋ	11			
鍍	镀	tʏ	11			
隊	队	tai	11			
隸	隶	ti	11			
電	电	tiã	11			
健	健	kɛ	11	～壯：老年人身體好		
掛	挂	kuɔ	11			
環	环	kuã	11	籃～：籃子的提梁		
妓	妓	tsɿ	11			
忌	忌	tsɿ	11			
技	技	tsɿ	11			
暫	暂	tsã	11			
棧	栈	tsã	11			
治	治	tsɿ	11			
滯	滞	tsɿ	11			
稚	稚	tsɿ	11			
站	站	tsã	11			
箸	箸	tsɿ	11			
綻	绽	tsã	11	穀物等飽滿也		
事	事	sɿ	11			
似	似	sɿ	11			
侍	侍	sɿ	11			
俟	俟	sɿ	11			
助	助	su	11			
嗜	嗜	sɿ	11			
字	字	sɿ	11			
寨	寨	sa	11			
寺	寺	sɿ	11			
座	座	so	11			
恃	恃	sɿ	11			
慎	慎	sɐŋ	11			
睡	睡	sai	11			
示	示	sɿ	11			
腎	肾	sɐŋ	11			
自	自	sɿ	11			
藏	藏	sɔ̃	11			
視	视	sɿ	11			
誓	誓	sɿ	11			
豉	豉	sɿ	11			
贈	赠	sɛ	11			
逝	逝	sɿ	11			
飼	饲	sɿ	11			
髒	脏	sɔ̃	11			
仲	仲	tɕioŋ	11			
住	住	tɕy	11			
俱	俱	tɕy	11			
倦	倦	tɕyœ	11			
健	健	tɕie	11	文		
傳	传	tɕyœ	11			
共	共	tɕiɔ̃	11			
具	具	tɕy	11			
墜	坠	tɕy	11			
懼	惧	tɕy	11			
撞	撞	tɕiɔ̃	11			
柩	柩	tɕiəu	11			
櫃	柜	tɕy	11			
瞿	瞿	tɕy	11			
競	竞	tɕiŋ	11			
篆	篆	tɕyœ	11			
腱	腱	tɕie	11			
舊	旧	tɕiəu	11			
藉	藉	tɕiɔ	11	～口		
虹	虹	tɕioŋ	11			
警	警	tɕiŋ	11			
轎	轿	tɕiɔu	11			
郡	郡	tɕioŋ	11			
鄭	郑	tɕiŋ	11			
鍵	键	tɕie	11			
駐	驻	tɕy	11			
上	上	ɕiã	11			
乘	乘	ɕiŋ	11			
剩	剩	ɕiŋ	11			
匠	匠	ɕiã	11			
墅	墅	ɕy	11			
壽	寿	ɕiəu	11			
射	射	ɕiɔ	11			
尚	尚	ɕiã	11			
擾	扰	ɕiɔu	11			
樹	树	ɕy	11			
淨	净	ɕiŋ	11			
狀	状	ɕiɔ̃	11			
瑞	瑞	ɕy	11	～安，地名		
盛	盛	ɕiŋ	11			
眩	眩	ɕyœ	11			
紹	绍	ɕiɔu	11			
署	署	ɕy	11			
薯	薯	ɕy	11			
袖	袖	ɕiəu	11			
訟	讼	ɕiɔ̃	11			
誦	诵	ɕiɔ̃	11			
謝	谢	ɕiɔ	11			
賤	贱	ɕie	11			
遂	遂	ɕy	11			
邵	邵	ɕiɔu	11			
隧	隧	ɕy	11			
順	顺	ɕioŋ	11			
頌	颂	ɕiɔ̃	11			
麝	麝	ɕiɔ	11			
冒	冒	mɔu	11			
務	务	mʏ	11			
募	募	mʏ	11			
味	味	mi	11			
命	命	miŋ	11			
問	问	mɐŋ	11			
墓	墓	mʏ	11			
夢	梦	moŋ	11			
妹	妹	mɛ	11			
孟	孟	mã	11			
帽	帽	mɔu	11			
廟	庙	miɔu	11			
悶	闷	mɐŋ	11			
慕	慕	mʏ	11			
慢	慢	mã	11			
戊	戊	mɔu	11			
暮	暮	mʏ	11			
暮	暮	m	11	昨～日：昨天		
望	望	mɔ̃	11			
未	未	mi	11			
磨	磨	mɔ	11			
緬	缅	mie	11			
茂	茂	mɔu	11			
萬	万	mã	11			
蔓	蔓	mã	11			
貌	貌	mɔu	11			
貿	贸	mɔu	11			
賣	卖	ma	11			
邁	迈	mã	11			
霧	雾	mʏ	11			
面	面	miã	11	～條		
面	面	mie	11			
內	内	nɛ	11			
奈	奈	nãi	11			
嫩	嫩	nœ	11			
怒	怒	nʏ	11			
糯	糯	no	11			
耐	耐	nãi	11			
難	难	nã	11	n		
鬧	闹	nɔu	11			
二	二	ȵi	11			
任	任	ȵiŋ	11			
僞	僞	ȵy	11			
刃	刃	ȵiŋ	11			
嚷	嚷	ȵiã	11			
壤	壤	ȵiã	11			
壬	壬	ȵiŋ	11			
念	念	ȵiã	11			
攘	攘	ȵiã	11			
毅	毅	ȵi	11			
硯	砚	ȵie	11			
禦	御	ȵy	11			
紉	纫	ȵiŋ	11			
繞	绕	ȵiɔu	11			
義	义	ȵi	11			
膩	腻	ȵi	11			
藝	艺	ȵi	11			
認	认	ȵiŋ	11			
諺	谚	ȵie	11			
讓	让	ȵiã	11			
貳	贰	ȵi	11			
賃	赁	ȵiŋ	11			
釀	酿	ȵiã	11			
韌	韧	ȵiŋ	11			
願	愿	ȵyœ	11			
驗	验	ȵie	11			
魏	魏	ȵy	11			
傲	傲	ŋɔu	11			
悟	悟	ŋʏ	11			
樂	乐	ŋɔu	11	要也		
玩	玩	ŋuã	11			
硬	硬	ŋãi	11			
礙	碍	ŋɛ	11			
臥	卧	ŋuɔ	11	～鋪		
誤	误	ŋʏ	11			
鏊	鏊	ŋɔu	11			
雁	雁	ŋã	11			
頑	顽	ŋuã	11			
餓	饿	ŋo	11	文		
餓	饿	ŋuai	11	肚～		
亂	乱	lœ	11			
亮	亮	liã	11			
令	令	liŋ	11			
例	例	li	11			
利	利	li	11			
勵	励	li	11			
匯	汇	lʏ	11	～總		
厲	厉	li	11			
吏	吏	li	11			
弄	弄	loŋ	11			
慮	虑	lʏ	11			
斂	敛	lie	11			
料	料	liɔu	11			
楝	楝	liã	11			
殮	殓	lie	11			
浪	浪	lɔ̃	11			
淚	泪	lai	11	文		
淚	泪	li	11			
漏	漏	ləu	11			
濾	滤	lʏ	11			
煉	炼	liã	11			
爛	烂	lã	11			
痢	痢	li	11			
練	练	liã	11			
荔	荔	li	11			
諒	谅	liã	11			
論	论	lœ	11			
賂	赂	lʏ	11			
賴	赖	la	11			
路	路	lʏ	11			
量	量	liã	11			
陋	陋	ləu	11			
露	露	lʏ	11			
類	类	lʏ	11			
麗	丽	li	11			
乎	乎	ʏ	11			
也	也	iɔ	11			
互	互	ʏ	11			
份	份	uɐŋ	11			
位	位	y	11			
佑	佑	iəu	11			
兮	兮	i	11			
匯	汇	uai	11			
又	又	iəu	11			
右	右	iəu	11			
壞	坏	ua	11			
夏	夏	ɔ	11			
外	外	ua	11			
夜	夜	iɔ	11			
奉	奉	uoŋ	11			
奚	奚	i	11			
妄	妄	uɔ̃	11			
宦	宦	uã	11			
害	害	ɛ	11			
岸	岸	uɛ	11			
巷	巷	ɔ̃	11			
幻	幻	uã	11			
廈	厦	ɔ	11			
忘	忘	uɔ̃	11			
恨	恨	ɐŋ	11			
患	患	uã	11			
惠	惠	y	11			
慧	慧	uai	11	能幹		
懈	懈	a	11			
換	换	uã	11			
效	效	ɔu	11			
旺	旺	ɔ̃	11			
易	易	i	11			
暇	暇	ɔ	11			
暈	晕	ioŋ	11			
會	会	uai	11			
柚	柚	iəu	11			
校	校	ɔu	11			
械	械	a	11			
樣	样	iã	11			
汗	汗	uɛ	11			
油	油	iəu	11	v		
潤	润	ioŋ	11			
炎	炎	ie	11			
焊	焊	uɛ	11			
焰	焰	ie	11			
現	现	iã	11			
用	用	iɔ̃	11			
畫	画	uɔ	11			
異	异	i	11			
痕	痕	ɐŋ	11			
縣	县	yœ	11			
縫	缝	uoŋ	11	n		
翰	翰	uɛ	11			
耀	耀	iɔu	11			
耶	耶	iɔ	11			
胃	胃	y	11			
艷	艷	ie	11			
芋	芋	y	11			
衛	卫	y	11	～生		
復	复	uɔu	11	唧唧～唧唧		
話	话	uɔ	11			
誘	诱	iəu	11			
護	护	ʏ	11			
譽	誉	y	11			
豫	豫	y	11			
賀	贺	o	11			
躍	跃	iɔu	11	別，耀		
運	运	ioŋ	11			
醃	腌	ie	11	別，鹽		
釉	釉	iəu	11			
閏	闰	ioŋ	11			
附	附	ʏ	11			
院	院	yœ	11			
陷	陷	ã	11			
韻	韵	ioŋ	11			
預	预	y	11			
飯	饭	uã	11			
餡	馅	ã	11			
鳳	凤	uoŋ	11			
鷂	鹞	iɔu	11			
鹽	盐	ie	11	v，		
鼬	鼬	iəu	11			
並	并	piŋ	35			
並	并	piŋ	35	～且		
半	半	pɛ	35			
報	报	pɔu	35			
壩	坝	pɔ	35			
布	布	pʏ	35			
幣	币	pi	35			
弊	弊	pi	35			
怖	怖	pʏ	35			
扮	扮	pã	35			
拜	拜	pa	35			
敝	敝	pi	35			
斃	毙	pi	35			
柄	柄	piŋ	35			
殯	殡	piŋ	35			
爸	爸	pɔ	35			
痹	痹	pi	35			
糞	粪	pɐŋ	35	～箕		
絆	绊	pɛ	35			
背	背	pai	35	背脊～		
背	背	pi	35	～脊背		
蔽	蔽	pi	35			
變	变	pie	35			
豹	豹	pɔu	35			
貝	贝	pai	35			
輩	辈	pai	35			
遍	遍	piã	35			
閉	闭	pi	35	門～起來		
陛	陛	pi	35			
霸	霸	pɔ	35			
判	判	pʰɛ	35			
姘	姘	pʰiŋ	35			
屁	屁	pʰi	35			
庇	庇	pʰi	35	別，屁		
怕	怕	pʰɔ	35			
拼	拼	pʰiŋ	35			
沛	沛	pʰai	35			
泡	泡	pʰɔu	35			
派	派	pʰa	35			
漂	漂	pʰiɔu	35	～亮，～白粉		
炮	炮	pʰɔu	35			
片	片	pʰiã	35			
盼	盼	pʰã	35			
破	破	pʰa	35			
破	破	pʰu	35	文		
票	票	pʰiɔu	35	鈔～		
胖	胖	pʰɔ̃	35			
襻	襻	pʰã	35			
跛	跛	pʰu	35	別，破		
配	配	pʰai	35			
鋪	铺	pʰʏ	35	n		
頗	颇	pʰu	35			
騙	骗	pʰie	35			
凍	冻	toŋ	35			
凳	凳	tɛ	35			
到	到	tɔu	35			
吊	吊	tiɔu	35			
對	对	tai	35			
帝	帝	ti	35			
帳	帐	tiã	35			
帶	带	ta	35			
店	店	tiã	35			
戴	戴	ta	35	～帽		
戴	戴	tɛ	35	姓		
擔	担	tã	35	n		
斷	断	tœ	35	～價錢		
旦	旦	tã	35			
棟	栋	toŋ	35			
渧	渧	ti	35			
漲	涨	tiã	35	水～起來		
澄	澄	tɐŋ	35	半邊		
濎	濎	tiŋ	35			
當	当	tɔ̃	35			
碓	碓	tai	35	踏～		
置	置	ti	35			
脹	胀	tiã	35			
訂	订	tiŋ	35			
賬	账	tiã	35			
釘	钉	tiŋ	35	v		
釣	钓	tiɔu	35			
鍛	锻	tœ	35			
頓	顿	tɐŋ	35			
鬥	斗	təu	35			
兔	兔	tʰʏ	35			
剃	剃	tʰi	35			
叨	叨	tʰɔu	35			
吐	吐	tʰʏ	35			
太	太	tʰa	35			
套	套	tʰɔu	35			
屜	屉	tʰi	35			
廳	厅	tʰiŋ	35			
態	态	tʰa	35			
探	探	tʰɛ	35			
掭	掭	tʰiã	35			
替	替	tʰi	35			
歎	叹	tʰã	35			
汀	汀	tʰiŋ	35			
泰	泰	tʰa	35			
涕	涕	tʰi	35			
炭	炭	tʰã	35			
燙	烫	tʰɔ̃	35			
痛	痛	tʰoŋ	35			
聽	听	tʰiŋ	35			
舔	舔	tʰiã	35	文		
褪	褪	tʰɐŋ	35			
貸	贷	tʰa	35			
跳	跳	tʰiɔu	35			
退	退	tʰai	35			
透	透	tʰəu	35			
丐	丐	kɛ	35			
介	介	ka	35			
個	个	ki	35			
個	个	ko	35			
價	价	kɔ	35			
劊	刽	kuai	35			
卦	卦	kuɔ	35			
告	告	kəu	35			
固	固	kʏ	35			
圭	圭	kuai	35			
夠	够	kəu	35			
嫁	嫁	kɔ	35			
尬	尬	ka	35			
屆	届	ka	35			
崗	岗	kɔ̃	35	山～頂		
幹	干	kuœ	35			
怪	怪	kua	35			
慣	惯	kuã	35			
戒	戒	ka	35			
故	故	kʏ	35			
教	教	kɔu	35			
更	更	kãi	35			
會	会	kuai	35			
杠	杠	kɔ̃	35	門～		
校	校	kɔu	35			
校	校	kɔu	35	上～		
棍	棍	kuɐŋ	35			
構	构	kəu	35			
檜	桧	kuai	35			
澗	涧	kã	35			
灌	灌	kuã	35			
界	界	ka	35			
疥	疥	ka	35			
監	监	kã	35	太～		
窖	窖	kɔu	35			
繪	绘	kuai	35			
罐	罐	kuã	35			
芥	芥	ka	35			
蓋	盖	kɛ	35			
諫	谏	kã	35			
貢	贡	koŋ	35			
貫	贯	kuã	35			
購	购	kəu	35			
較	较	kɔu	35			
過	过	kuɔ	35			
酵	酵	kɔu	35	～娘		
鋸	锯	ki	35			
錮	锢	kʏ	35			
鑒	鉴	kã	35			
閨	闺	kuai	35			
降	降	kɔ̃	35	～落		
雇	雇	kʏ	35			
雜	杂	kɔ	35			
顧	顾	kʏ	35			
駕	驾	kɔ	35			
侉	侉	kʰuɔ	35			
勘	勘	kʰɛ	35			
叩	叩	kʰəu	35			
啃	啃	kʰɐŋ	35			
囥	囥	kʰɔ̃	35			
垮	垮	kʰuɔ	35			
塊	块	kʰuai	35			
寇	寇	kʰəu	35			
嵌	嵌	kʰã	35			
庫	库	kʰʏ	35			
快	快	kʰuai	35			
愧	愧	kʰuai	35			
慨	慨	kʰɛ	35			
扣	扣	kʰəu	35			
抗	抗	kʰɔ̃	35			
揢	揢	kʰɔ	35	拿也		
曠	旷	kʰɔ̃	35			
概	概	kʰɛ	35			
溉	溉	kʰɛ	35			
看	看	kʰã	35			
睏	睏	kʰuœ	35			
礦	矿	kʰɔ̃	35			
筷	筷	kʰuai	35			
褲	裤	kʰʏ	35			
誇	夸	kʰuɔ	35			
課	课	kʰuɔ	35			
跨	跨	kʰuɔ	35			
靠	靠	kʰəu	35			
付	付	fʏ	35			
傅	傅	fʏ	35			
副	副	fʏ	35			
化	化	fɔ	35			
喚	唤	fã	35			
奮	奋	fɐŋ	35			
富	富	fʏ	35			
廢	废	fi	35			
忿	忿	fɐŋ	35			
悔	悔	fai	35			
憤	愤	fɐŋ	35			
戽	戽	fʏ	35	～田：耘田		
晦	晦	fai	35			
泛	泛	fã	35			
漢	汉	fɛ	35			
煥	焕	fã	35			
翡	翡	fi	35			
肺	肺	fi	35			
訃	讣	fʏ	35			
貨	货	fɔ	35			
販	贩	fã	35			
費	费	fi	35			
賦	赋	fʏ	35			
赴	赴	fʏ	35			
佐	佐	tso	35			
做	做	tso	35			
債	债	tsa	35			
冀	冀	tsɿ	35			
再	再	tsɛ	35			
制	制	tsɿ	35			
劑	剂	tsɿ	35			
壯	壮	tsɔ̃	35	文，健～		
奏	奏	tsəu	35			
寄	寄	tsɿ	35			
志	志	tsɿ	35			
振	振	tsɐŋ	35			
擠	挤	tsɿ	35			
既	既	tsɿ	35			
晉	晋	tsɐŋ	35			
智	智	tsɿ	35			
最	最	tsɛ	35			
榨	榨	tsɔ	35			
浸	浸	tsɐŋ	35			
滲	渗	tsɐŋ	35	文，別，浸		
濟	济	tsɿ	35			
灶	灶	tsɔu	35			
痣	痣	tsɿ	35			
皺	皱	tsəu	35			
祭	祭	tsɿ	35			
禁	禁	tsɐŋ	35			
穄	穄	tsɿ	35			
笊	笊	tsɔu	35			
粽	粽	tsoŋ	35			
綜	综	tsoŋ	35			
縐	绉	tsəu	35			
縱	纵	tsoŋ	35			
繋	繋	tsɿ	35			
繼	继	tsɿ	35			
罩	罩	tsɔu	35			
羈	羁	tsɿ	35			
至	至	tsɿ	35			
致	致	tsɿ	35			
葬	葬	tsɔ̃	35			
蘸	蘸	tsã	35			
襟	襟	tsɐŋ	35			
計	计	tsɿ	35			
記	记	tsɿ	35			
詐	诈	tsɔ	35			
贊	赞	tsã	35			
蹤	踪	tsoŋ	35			
躁	躁	tsɔu	35			
載	载	tsɛ	35			
進	进	tsɐŋ	35			
醉	醉	tsai	35	文		
鎮	镇	tsɐŋ	35			
鑽	钻	tsœ	35			
鑽	钻	tsœ	35			
際	际	tsɿ	35			
震	震	tsɐŋ	35			
髒	脏	tsɔ̃	35			
刺	刺	tsʰɿ	35			
創	创	tsʰɔ̃	35			
去	去	tsʰɿ	35			
嗤	嗤	tsʰɿ	35			
