繁體	简体	聲韻	聲調	注釋		調值
慷	慷	kʰɔ̃	224			
揩	揩	kʰa	224			
敲	敲	kʰɔu	224			
昆	昆	kʰuɐŋ	224			
炕	炕	kʰãi	224	別，坑		
烤	烤	kʰɔu	224			
砍	砍	kʰã	224			
科	科	kʰuɔ	224			
空	空	kʰoŋ	224	n		
空	空	kʰoŋ	224	a		
窠	窠	kʰuɔ	224			
箍	箍	kʰʏ	224			
糠	糠	kʰɔ̃	224			
虧	亏	kʰuai	224	文		
鉛	铅	kʰã	224	又		
開	开	kʰai	224			
魁	魁	kʰuai	224			
俘	俘	fʏ	224			
分	分	fɐŋ	224			
呼	呼	fʏ	224			
夫	夫	fʏ	224			
妃	妃	fi	224			
婚	婚	fɛ	224			
封	封	foŋ	224			
峰	峰	foŋ	224			
徽	徽	fai	224	～章，安～		
恢	恢	fai	224			
敷	敷	fʏ	224			
昏	昏	fɛ	224			
楓	枫	foŋ	224			
歡	欢	fã	224			
灰	灰	fai	224			
烘	烘	foŋ	224			
番	番	fã	224			
瘋	疯	foŋ	224			
盔	盔	fai	224			
紛	纷	fɐŋ	224			
翻	翻	fã	224			
膚	肤	fʏ	224			
芬	芬	fɐŋ	224			
花	花	fɔ	224			
葷	荤	fɛ	224			
藩	藩	fã	224			
蜂	蜂	foŋ	224			
諷	讽	foŋ	224			
豐	丰	foŋ	224			
轟	轰	foŋ	224	～炸機		
轟	轰	foŋ	224			
鋒	锋	foŋ	224			
非	非	fi	224			
風	风	foŋ	224			
飛	飞	fi	224			
麩	麸	fʏ	224			
鼾	鼾	fɛ	224			
之	之	tsɿ	224			
今	今	tsɐŋ	224			
偵	侦	tsɐŋ	224			
咨	咨	tsɿ	224			
基	基	tsɿ	224			
增	增	tsɛ	224			
妝	妆	tsɔ̃	224			
姿	姿	tsɿ	224			
宗	宗	tsoŋ	224			
尊	尊	tsœ	224			
巾	巾	tsɐŋ	224			
幾	几	tsɿ	224	茶～		
抓	抓	tsɔ	224			
支	支	tsɿ	224			
斟	斟	tsɐŋ	224			
斤	斤	tsɐŋ	224			
曾	曾	tsɛ	224			
枝	枝	tsɿ	224			
查	查	tsɔ	224			
栽	栽	tsai	224	～菜		
梔	栀	tsɿ	224			
棕	棕	tsoŋ	224			
楂	楂	tsɔ	224			
榛	榛	tsɐŋ	224			
樁	桩	tsɔ̃	224	一～～，二～～		
機	机	tsɿ	224			
渣	渣	tsɔ	224			
滋	滋	tsɿ	224			
災	灾	tsɛ	224			
爭	争	tsãi	224			
珍	珍	tsɐŋ	224			
疹	疹	tsɐŋ	224			
真	真	tsɐŋ	224			
睜	睁	tsãi	224			
知	知	tsɿ	224			
租	租	tsœ	224			
稽	稽	tsɿ	224			
筋	筋	tsɐŋ	224			
箏	筝	tsãi	224			
簪	簪	tsɛ	224			
糟	糟	tsɔu	224			
罇	罇	tsœ	224			
肌	肌	tsɿ	224			
肢	肢	tsɿ	224			
臻	臻	tsɐŋ	224			
芝	芝	tsɿ	224			
茲	兹	tsɿ	224			
莊	庄	tsɔ̃	224			
蜘	蜘	tsɿ	224	文		
裝	装	tsɔ̃	224			
診	诊	tsɐŋ	224			
譏	讥	tsɿ	224			
貞	贞	tsɐŋ	224			
資	资	tsɿ	224			
贓	赃	tsɔ̃	224			
蹲	蹲	tsœ	224	半邊		
輜	辎	tsɿ	224			
遭	遭	tsɔu	224			
遵	遵	tsœ	224			
鄒	邹	tsəu	224			
金	金	tsɐŋ	224			
針	针	tsɐŋ	224			
雞	鸡	tsɿ	224			
饑	饥	tsɿ	224			
鬃	鬃	tsoŋ	224			
齋	斋	tsa	224	吃～		
倉	仓	tsʰɔ̃	224			
催	催	tsʰai	224			
初	初	tsʰo	224			
匆	匆	tsʰoŋ	224			
匡	匡	tsʰɔ̃	224			
參	参	tsʰɛ	224			
叉	叉	tsʰɔ	224			
吹	吹	tsʰuai	224	文		
妻	妻	tsʰɿ	224			
寵	宠	tsʰoŋ	224			
岔	岔	tsʰɔ	224			
崔	崔	tsʰai	224			
差	差	tsʰa	224			
差	差	tsʰɔ	224			
差	差	tsʰɔ	224	參～		
抄	抄	tsʰɔu	224			
搓	搓	tsʰo	224			
搓	搓	tsʰɔu	224	～麻將		
撐	撑	tsʰãi	224			
操	操	tsʰɔu	224			
杈	杈	tsʰɔ	224			
村	村	tsʰœ	224			
框	框	tsʰɔ̃	224			
棲	栖	tsʰɿ	224			
欺	欺	tsʰɿ	224			
欽	钦	tsʰɐŋ	224			
深	深	tsʰɐŋ	224			
溪	溪	tsʰɿ	224			
炊	炊	tsʰuai	224	文		
猜	猜	tsʰai	224			
琛	琛	tsʰɐŋ	224			
眶	眶	tsʰɔ̃	224			
