来源：	韩昆瑜 2020《山西文水开栅方言语音研究》；Hynuza, Skanda 整理录入
l	［1］□{拟声词，描述哭声}□{□pʰiəʔ423～：乱动}［3］两［5］□{～上走了：撒手就走，什么都不管}
tɕ	［1］佳家加痂嘉傢{家具}耕-{～地}［3］假{真～}贾［5］假{放～}架驾嫁稼价
tɕʰ	［1］□{～孩：抱着孩子；生孩子}［3］卡{～住}［5］掐-{～住脖子}
ȵ	［1］牙-{～疼}芽［3］□{母亲，一般用于轻松幽默的场合}［5］砑{～平}硬-{～炭}
ɕ	［1］遐虾{鱼～}瑕暇虾{～蟆}霞［5］下={～棋}夏={立～}厦{～门}杏-{～儿}
Ø	［1］衙鸦丫{～头}涯{天～}崖={悬～}鸭={～脖子}押牙={西班～}哑={聋～人}压={气～}［3］雅［5］亚
#uɑ
ts	［1］抓□{拟声词，表示说话痛快或下雨急的声音}［3］爪{～子}
tsʰ	［1］□{拟声词，表示较大的水流声}
s	［1］□{形容人答应了却做不到}［3］耍
k	［1］瓜刮={～痧}［3］寡剐□{闭嘴}［5］掛卦挂
kʰ	［1］夸［3］垮胯［5］跨
x	［1］花华{中～}铧横-{～□liɑ22：横着}划{～船}［5］划{计～}化华{～山，姓}桦{～树}画话
Ø	［1］蛙挖娃［3］瓦［5］洼
#yɑ
tɕ	［3］□{～巴巴，形容人说话语气不好}
ɕ	［1］□{“谁家”的合音}□{横}［3］□{～在这里，挡在这里}［5］□{～住：挡住}
Ø	［3］哕{干～}
#ɛ
p	［1］杯陪-{～随}赔背{～包}碑卑悲白={～面}［3］摆伯={～～}［5］贝拜韛{风箱}败倍辈背{～诵}稗{～子草}焙{～干}
pʰ	［1］排牌坯{土～子}培陪={我～你}拍={～子}［3］胚{～胎}裴［5］沛派配佩
m	［1］埋梅枚媒煤{～炭}霉□{立～～：倒立}莓［3］买煤{烧～}［5］寐卖迈妹昧
t	［1］呆台-{圪～～，台阶}□{藏}［3］□{～一下这个：弄一下这里}歹逮［5］胎-{补～}待怠殆戴贷代袋带大{～夫，～黄}□{不愿意}
tʰ	［1］胎={轮～}台={～北}苔{舌～，青～}抬［3］□{不～气：形容人不自觉}□{～钱儿：花很多钱}［5］态太泰
n	［1］□{～刀：挨刀子}［3］乃奶［5］耐奈内
l	［1］来［3］□{不～，摇摆}□{郭～：不烂子}［5］赖癞
ts	［1］灾栽斋贼［3］宰载{年～}载{～重}载{满～}［5］在再债寨
tsʰ	［1］猜才材财裁钗差{出～}柴={木～}□{～面：和面}豺［3］彩采睬棌{～树}［5］菜蔡
s	［1］腮鳃柴-{劈～}筛{～子}□{形容人刁钻}［3］□{走路摇摆的样子}［5］赛晒塞{边～}
k	［1］该□{欠钱}［3］改［5］概溉盖丐{乞～}
kʰ	［1］开□{没～：没办法}［3］凯慨{慷～，感～}楷□{挤}
ŋ	［1］哀埃{尘～}挨{～近，～住}［3］霭{和～}矮［5］艾爱隘碍
x	［1］孩鞋-{买～}［3］海［5］亥害骇{惊～}□{形容人好说话，不计较}□{形容东西走形}解{～开：明白}
Ø	［1］哎唉
#uɛ
t	［1］堆□{圪～：小声嘀咕}［3］怼{～命：拼命}［5］对队兑
tʰ	［1］推［3］腿［5］退蜕{～皮}褪
n	［1］□{吃东西咀嚼的样子}
l	［1］雷［5］擂
ts	［1］□{形容吃东西香}［5］罪拽{拖}
tsʰ	［1］催［3］揣{～度}［5］□{形容人笨，做事笨拙}
s	［1］衰摔［3］甩□{形容人拖拖拉拉}［5］碎率{～领}蟀帅
k	［1］□{～刀布：磨刀布}乖［3］拐［5］怪
